Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
3,Bolivia,,2020-03-31,107,6,0,107,6,0,0.056074766355140186,1.0,0.0,6,
4,Bolivia,,2020-04-30,1110,59,117,1104,53,117,0.1539855072463768,0.31176470588235294,0.6882352941176471,170,0.6882352941176471
5,Bolivia,,2020-05-31,9982,313,968,9806,254,851,0.11268611054456455,0.22986425339366515,0.7701357466063349,1105,0.08190045248868782
6,Bolivia,,2020-06-30,33219,1123,9340,31938,810,8372,0.2874945206337278,0.08821607492920933,0.9117839250707906,9182,0.14164817846445577
7,Bolivia,,2020-07-31,76789,2977,23582,66326,1854,14242,0.24268009528691614,0.11518389662027834,0.8848161033797217,16096,-0.026967821691068927
8,Bolivia,,2020-08-31,116598,5027,60408,90039,2050,36826,0.431768455891336,0.05273176252700895,0.947268237472991,38876,0.06245213409326933
9,Bolivia,,2020-09-30,135311,7965,95529,69876,2938,35121,0.5446648348503063,0.07719593263091516,0.9228040673690848,38059,-0.024464170103906224
10,Bolivia,,2020-10-31,141757,8725,111503,38263,760,15974,0.4373415571178423,0.04541651727022828,0.9545834827297717,16734,0.03177941536068685
11,Bolivia,,2020-11-30,144708,8957,121702,24480,232,10199,0.4261029411764706,0.02224139583932509,0.977758604160675,10431,0.023175121430903278
12,Bolivia,,2020-12-31,160124,9165,132097,29465,208,10395,0.3598506702867809,0.019617089502970857,0.9803829104970292,10603,0.002624306336354243
13,Bolivia,,2021-01-16,185680,9596,142948,44418,431,10851,0.2539961276959791,0.03820244637475625,0.9617975536252438,11282,-0.01858535687178542
