Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
5,Brazil,Sao Paulo,2020-05-31,109698,7615,0,109698,7615,0,0.06941785629637733,1.0,0.0,7615,
6,Brazil,Sao Paulo,2020-06-30,281380,14763,49295,273765,7148,49295,0.20617317772542143,0.12664103608950622,0.8733589639104937,56443,0.8733589639104937
7,Brazil,Sao Paulo,2020-07-31,542304,22997,351610,478246,8234,302315,0.6493499161519385,0.026514334291850884,0.9734856657081491,310549,0.10012670179765537
8,Brazil,Sao Paulo,2020-08-31,804342,30014,644441,429735,7017,292831,0.6977509395325026,0.023401856940850032,0.9765981430591499,299848,0.003112477351000842
9,Brazil,Sao Paulo,2020-09-30,985628,35622,855068,311173,5608,210627,0.6949028354002436,0.025934746918861423,0.9740652530811386,216235,-0.0025328899780113767
10,Brazil,Sao Paulo,2020-10-31,1116127,39311,999718,225437,3689,144650,0.6580064496954804,0.024868712880631527,0.9751312871193685,148339,0.0010660340382299127
11,Brazil,Sao Paulo,2020-11-30,1241653,42095,1084660,202624,2784,84942,0.4329496999368288,0.03173517543259695,0.968264824567403,87726,-0.006866462551965435
12,Brazil,Sao Paulo,2020-12-31,1462297,46717,1287986,335542,4622,203326,0.6197376185395569,0.022226710523784794,0.9777732894762152,207948,0.009508464908812186
13,Brazil,Sao Paulo,2021-01-31,1777368,53034,1524085,442665,6317,236099,0.5476285678786441,0.02605851098937364,0.9739414890106264,242416,-0.0038318004655888416
14,Brazil,Sao Paulo,2021-02-28,2041628,59493,1805549,464509,6459,281464,0.6198437489908699,0.022433081066813004,0.977566918933187,287923,0.0036254299225606523
15,Brazil,Sao Paulo,2021-03-31,2469849,74652,2120478,604807,15159,314929,0.5457741064504875,0.04592411720510894,0.9540758827948911,330088,-0.02349103613829595
16,Brazil,Sao Paulo,2021-04-30,2903709,96191,2552653,708579,21539,432175,0.6403153353401667,0.04747263694750437,0.9525273630524956,453714,-0.0015485197423954489
17,Brazil,Sao Paulo,2021-05-31,3272043,111374,2911445,623199,15183,358792,0.6000892170879607,0.04059897051941975,0.9594010294805803,373975,0.006873666428084624
18,Brazil,Sao Paulo,2021-06-30,3727348,127681,3279369,704529,16307,367924,0.5453728661275831,0.042440615150781694,0.9575593848492183,384231,-0.0018416446313619383
19,Brazil,Sao Paulo,2021-07-16,3919754,134320,3566058,512704,6639,286689,0.5721195855698414,0.022633366061201112,0.9773666339387989,293328,0.019807249089580536
