Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
1,Canada,,2020-01-31,3,0,0,3,0,0,0.0,,,0,
2,Canada,,2020-02-29,21,0,6,21,0,6,0.2857142857142857,0.0,1.0,6,
3,Canada,,2020-03-31,9246,152,1592,9240,152,1586,0.1880952380952381,0.08745684695051784,0.9125431530494822,1738,-0.08745684695051781
4,Canada,,2020-04-30,56716,4179,21424,54972,4027,19832,0.4340209561231172,0.1687832683683306,0.8312167316316694,23859,-0.08132642141781277
5,Canada,,2020-05-31,92488,7906,49213,66885,3727,27789,0.47119683038050386,0.11825739307018657,0.8817426069298134,31516,0.05052587529814401
6,Canada,,2020-06-30,106029,8780,69120,48910,874,19907,0.42488243712942136,0.04205764881382032,0.9579423511861797,20781,0.07619974425636622
7,Canada,,2020-07-31,118297,9025,102906,40397,245,33786,0.8424140406465827,0.007199318268637418,0.9928006817313626,34031,0.03485833054518295
8,Canada,,2020-08-31,130849,9193,116020,18918,168,13114,0.7020826725869542,0.012648697485318477,0.9873513025146815,13282,-0.005449379216681094
9,Canada,,2020-09-30,162736,9391,137181,37523,198,21161,0.5692242091517202,0.009270096914649563,0.9907299030853505,21359,0.003378600570668966
10,Canada,,2020-10-31,238191,10276,198952,91619,885,61771,0.6838756153199664,0.014124744637385087,0.9858752553626149,62656,-0.004854647722735583
11,Canada,,2020-11-30,382708,12239,304595,173480,1963,105643,0.620278994696795,0.018242477185287067,0.981757522814713,107606,-0.004117732547901931
12,Canada,,2020-12-31,587429,15762,493638,270595,3523,189043,0.7116391655426005,0.01829502612091439,0.9817049738790856,192566,-5.254893562733898e-05
13,Canada,,2021-01-31,783735,20041,710699,274335,4279,217061,0.8068237738531358,0.019332249028643715,0.9806677509713563,221340,-0.0010372229077293404
14,Canada,,2021-02-28,871243,21990,819420,140503,1949,108721,0.7876700141633987,0.017610915333875484,0.9823890846661245,110670,0.0017213336947682345
15,Canada,,2021-03-31,989493,22960,918581,148083,970,99161,0.6761816008589777,0.009687309624392047,0.990312690375608,100131,0.007923605709483472
16,Canada,,2021-04-30,1229305,24220,1125237,287764,1260,206656,0.7225226227047163,0.006060139671790531,0.9939398603282095,207916,0.0036271699526014833
17,Canada,,2021-05-31,1389814,25528,1331521,240357,1308,206284,0.8636819397812421,0.006300820840880188,0.9936991791591198,207592,-0.00024068116908970705
18,Canada,,2021-06-30,1423170,26273,1389487,66121,745,57966,0.8879327293900576,0.012689274582275895,0.9873107254177241,58711,-0.006388453741395628
19,Canada,,2021-07-22,1432606,26484,1401177,16846,211,11690,0.7064585064703788,0.017729602554407194,0.9822703974455929,11901,-0.0050403279721312755
