Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
1,China,Zhejiang,2020-01-31,538,,14,538,,14,,,,,
2,China,Zhejiang,2020-02-29,1205,1,1016,,,1002,,,,,
3,China,Zhejiang,2020-03-31,1257,1,1226,240,0,210,0.875,0.0,1.0,210,
4,China,Zhejiang,2020-04-30,1268,1,1264,41,0,38,0.926829268292683,0.0,1.0,38,0.0
5,China,Zhejiang,2020-05-31,1268,1,1267,3,0,3,1.0,0.0,1.0,3,0.0
6,China,Zhejiang,2020-06-30,1269,1,1267,1,0,0,0.0,,,0,
7,China,Zhejiang,2020-07-31,1270,1,1268,2,0,1,0.5,0.0,1.0,1,
8,China,Zhejiang,2020-08-31,1278,1,1268,9,0,0,0.0,,,0,
9,China,Zhejiang,2020-09-30,1282,1,1272,13,0,4,0.3076923076923077,0.0,1.0,4,
10,China,Zhejiang,2020-10-31,1286,1,1279,13,0,7,0.5384615384615384,0.0,1.0,7,0.0
11,China,Zhejiang,2020-11-30,1294,1,1283,14,0,4,0.2857142857142857,0.0,1.0,4,0.0
12,China,Zhejiang,2020-12-31,1306,1,1293,22,0,10,0.45454545454545453,0.0,1.0,10,0.0
13,China,Zhejiang,2021-01-07,1306,1,1296,12,0,3,0.25,0.0,1.0,3,0.0
