Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
3,Eswatini,,2020-03-31,9,0,0,9,0,0,0.0,,,0,
4,Eswatini,,2020-04-30,100,1,12,100,1,12,0.13,0.07692307692307693,0.9230769230769231,13,
5,Eswatini,,2020-05-31,285,2,189,272,1,177,0.6544117647058824,0.0056179775280898875,0.9943820224719101,178,0.07130509939498697
6,Eswatini,,2020-06-30,812,11,408,621,9,219,0.3671497584541063,0.039473684210526314,0.9605263157894737,228,-0.033855706682436426
7,Eswatini,,2020-07-31,2648,41,1214,2229,30,806,0.37505607895917453,0.03588516746411483,0.9641148325358851,836,0.0035885167464114742
8,Eswatini,,2020-08-31,4577,91,3529,3322,50,2315,0.7119205298013245,0.021141649048625793,0.9788583509513742,2365,0.014743518415489043
9,Eswatini,,2020-09-30,5482,109,4912,1862,18,1383,0.7524167561761547,0.01284796573875803,0.987152034261242,1401,0.008293683309867794
10,Eswatini,,2020-10-31,5917,117,5646,896,8,734,0.828125,0.01078167115902965,0.9892183288409704,742,0.0020662945797284005
11,Eswatini,,2020-11-30,6419,122,6006,656,5,360,0.5564024390243902,0.0136986301369863,0.9863013698630136,365,-0.0029169589779567406
12,Eswatini,,2020-12-31,9358,205,7073,3230,83,1067,0.3560371517027864,0.07217391304347825,0.9278260869565217,1150,-0.058475282906491954
13,Eswatini,,2021-01-31,15711,565,10478,8433,360,3405,0.4464603344005692,0.09561752988047809,0.9043824701195219,3765,-0.023443616836999803
14,Eswatini,,2021-02-28,17014,652,14676,5971,87,4198,0.7176352369787306,0.02030338389731622,0.9796966161026838,4285,0.07531414598316188
15,Eswatini,,2021-03-21,17286,665,16044,1958,13,1368,0.7053115423901941,0.00941346850108617,0.9905865314989138,1381,0.010889915396230077
