Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
6,India,Mizoram,2020-06-30,160,0,122,160,0,122,0.7625,0.0,1.0,122,
7,India,Mizoram,2020-07-31,412,0,247,290,0,125,0.43103448275862066,0.0,1.0,125,0.0
8,India,Mizoram,2020-08-31,1011,0,591,764,0,344,0.450261780104712,0.0,1.0,344,0.0
9,India,Mizoram,2020-09-30,2017,0,1597,1426,0,1006,0.7054698457223001,0.0,1.0,1006,0.0
10,India,Mizoram,2020-10-31,2753,1,2291,1156,1,694,0.6012110726643599,0.0014388489208633094,0.9985611510791367,695,-0.0014388489208633226
11,India,Mizoram,2020-11-30,3847,5,3499,1555,4,1208,0.7794212218649518,0.0033003300330033004,0.9966996699669967,1212,-0.0018614811121400177
12,India,Mizoram,2020-12-31,4204,8,4091,700,3,592,0.85,0.005042016806722689,0.9949579831932773,595,-0.001741686773719331
13,India,Mizoram,2021-01-31,4372,9,4330,273,1,239,0.8791208791208791,0.004166666666666667,0.9958333333333333,240,0.0008753501400560193
14,India,Mizoram,2021-02-28,4423,10,4388,84,1,58,0.7023809523809523,0.01694915254237288,0.9830508474576272,59,-0.012782485875706184
15,India,Mizoram,2021-03-31,4476,11,4434,78,1,46,0.6025641025641025,0.02127659574468085,0.9787234042553191,47,-0.004327443202308046
16,India,Mizoram,2021-04-30,6020,15,4926,1575,4,492,0.31492063492063493,0.008064516129032258,0.9919354838709677,496,0.013212079615648631
17,India,Mizoram,2021-05-31,12399,40,9214,7458,25,4288,0.5783051756503084,0.005796429399489914,0.9942035706005101,4313,0.0022680867295423734
18,India,Mizoram,2021-06-30,20492,93,16188,11238,53,6974,0.6252891973660794,0.007542336701295005,0.992457663298705,7027,-0.0017459073018051274
19,India,Mizoram,2021-07-31,38925,150,26387,22644,57,10199,0.45292351174704115,0.0055577223088923555,0.9944422776911076,10256,0.001984614392402606
20,India,Mizoram,2021-08-09,44520,168,,17983,18,,,,,,
