Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
5,Italy,P.A. Trento,2020-05-31,4430,462,3664,4430,462,3664,0.9313769751693002,0.11197285506543868,0.8880271449345614,4126,
6,Italy,P.A. Trento,2020-06-30,4863,405,4408,737,-57,744,0.932157394843962,-0.08296943231441048,1.0829694323144106,687,0.1949422873798492
7,Italy,P.A. Trento,2020-07-31,4975,405,4470,162,0,62,0.38271604938271603,0.0,1.0,62,-0.08296943231441056
8,Italy,P.A. Trento,2020-08-31,5096,405,4600,221,0,130,0.5882352941176471,0.0,1.0,130,0.0
9,Italy,P.A. Trento,2020-09-30,5992,406,5019,987,1,419,0.425531914893617,0.002380952380952381,0.9976190476190476,420,-0.0023809523809523725
10,Italy,P.A. Trento,2020-10-31,9138,438,6775,3713,32,1756,0.4815513062213843,0.017897091722595078,0.9821029082774049,1788,-0.015516139341642754
11,Italy,P.A. Trento,2020-11-30,15733,654,12631,8520,216,5856,0.7126760563380282,0.03557312252964427,0.9644268774703557,6072,-0.01767603080704916
12,Italy,P.A. Trento,2020-12-31,21840,942,19036,8555,288,6405,0.7823495032144945,0.043030031376064544,0.9569699686239355,6693,-0.0074569088464202515
13,Italy,P.A. Trento,2021-01-31,27527,1147,23911,7549,205,4875,0.6729368128228904,0.040354330708661415,0.9596456692913385,5080,0.0026757006674030803
14,Italy,P.A. Trento,2021-02-28,34058,1206,28919,9000,59,5008,0.563,0.011643970791395303,0.9883560292086047,5067,0.028710359917266115
15,Italy,P.A. Trento,2021-03-31,41231,1282,37086,11106,76,8167,0.7422114172519358,0.009219944195074608,0.9907800558049253,8243,0.002424026596320683
16,Italy,P.A. Trento,2021-04-30,43999,1344,41579,5631,62,4493,0.8089149351802521,0.013611416026344676,0.9863885839736554,4555,-0.004391471831269977
17,Italy,P.A. Trento,2021-05-31,45427,1355,43599,2504,11,2020,0.8111022364217252,0.0054160512063023145,0.9945839487936977,2031,0.00819536482004235
18,Italy,P.A. Trento,2021-06-30,45770,1362,44346,816,7,747,0.9240196078431373,0.009283819628647215,0.9907161803713528,754,-0.0038677684223449305
19,Italy,P.A. Trento,2021-07-20,45993,1363,44470,285,1,124,0.43859649122807015,0.008,0.992,125,0.0012838196286472092
