Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
5,Italy,Veneto,2020-05-31,19152,1918,15734,19152,1918,15734,0.9216791979949874,0.10865624291864945,0.8913437570813506,17652,
6,Italy,Veneto,2020-06-30,19286,2012,16812,1634,94,1078,0.7172582619339045,0.08020477815699659,0.9197952218430034,1172,0.028451464761652834
7,Italy,Veneto,2020-07-31,20120,2074,17046,1296,62,234,0.22839506172839505,0.20945945945945946,0.7905405405405406,296,-0.12925468130246287
8,Italy,Veneto,2020-08-31,22929,2120,18422,3809,46,1376,0.37332633237070095,0.03234880450070324,0.9676511954992968,1422,0.17711065495875622
9,Italy,Veneto,2020-09-30,27451,2178,21541,6909,58,3119,0.4598349978289188,0.01825621655649984,0.9817437834435001,3177,0.014092587944203316
10,Italy,Veneto,2020-10-31,56953,2401,25373,33234,223,3832,0.12201360052957815,0.05499383477188656,0.9450061652281134,4055,-0.03673761821538668
11,Italy,Veneto,2020-11-30,145592,3711,61216,117818,1310,35843,0.3153423076270179,0.03525960218555702,0.964740397814443,37153,0.01973423258632956
12,Italy,Veneto,2020-12-31,253875,6539,156263,188948,2828,95047,0.5179996612824692,0.028893997445721582,0.9711060025542784,97875,0.006365604739835384
13,Italy,Veneto,2021-01-31,312185,8931,269309,149383,2392,113046,0.77276530796677,0.020721079713785756,0.9792789202862142,115438,0.008172917731935847
14,Italy,Veneto,2021-02-28,333647,9847,299281,55407,916,29972,0.5574746873138773,0.029655529655529655,0.9703444703444704,30888,-0.00893444994174386
15,Italy,Veneto,2021-03-31,382838,10625,333516,73710,778,34235,0.475010175010175,0.02222031816753777,0.9777796818324622,35013,0.007435211487991866
16,Italy,Veneto,2021-04-30,411899,11330,378677,67758,705,45161,0.676908999675315,0.01537086294858937,0.9846291370514106,45866,0.006849455218948419
17,Italy,Veneto,2021-05-31,423327,11560,403101,33320,230,24424,0.7399159663865547,0.009329114950920743,0.9906708850490793,24654,0.006041747997668656
18,Italy,Veneto,2021-06-30,425423,11615,409233,10762,55,6132,0.5748931425385616,0.00888960724098917,0.9911103927590108,6187,0.0004395077099315081
19,Italy,Veneto,2021-07-31,436583,11642,412828,15735,27,3595,0.2301874801398157,0.007454445057979017,0.992545554942021,3622,0.001435162183010208
20,Italy,Veneto,2021-08-02,437526,11639,413227,13056,-3,399,0.030330882352941176,-0.007575757575757576,1.0075757575757576,396,0.015030202633736556
