Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
5,Japan,Gifu,2020-05-31,150,7,141,150,7,141,0.9866666666666667,0.0472972972972973,0.9527027027027027,148,
6,Japan,Gifu,2020-06-30,156,7,146,8,0,5,0.625,0.0,1.0,5,0.04729729729729726
7,Japan,Gifu,2020-07-31,331,7,186,178,0,40,0.2247191011235955,0.0,1.0,40,0.0
8,Japan,Gifu,2020-08-31,555,10,514,362,3,328,0.914364640883978,0.00906344410876133,0.9909365558912386,331,-0.009063444108761365
9,Japan,Gifu,2020-09-30,626,10,585,102,0,71,0.696078431372549,0.0,1.0,71,0.009063444108761365
10,Japan,Gifu,2020-10-31,686,11,636,91,1,51,0.5714285714285714,0.019230769230769232,0.9807692307692307,52,-0.019230769230769273
11,Japan,Gifu,2020-11-30,1072,15,864,425,4,228,0.5458823529411765,0.017241379310344827,0.9827586206896551,232,0.0019893899204244114
12,Japan,Gifu,2020-12-31,2292,32,1669,1413,17,805,0.5817409766454352,0.02068126520681265,0.9793187347931873,822,-0.0034398858964678203
13,Japan,Gifu,2021-01-31,4120,67,3614,2419,35,1945,0.8185200496072758,0.017676767676767676,0.9823232323232324,1980,0.0030044975300450583
14,Japan,Gifu,2021-02-28,4616,105,4456,935,38,842,0.9411764705882353,0.04318181818181818,0.9568181818181818,880,-0.025505050505050586
15,Japan,Gifu,2021-03-09,4673,110,4546,112,5,90,0.8482142857142857,0.05263157894736842,0.9473684210526315,95,-0.009449760765550264
