Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
2,Lithuania,,2020-02-29,1,0,0,1,0,0,0.0,,,0,
3,Lithuania,,2020-03-31,468,4,0,468,4,0,0.008547008547008548,1.0,0.0,4,
4,Lithuania,,2020-04-30,1375,32,577,1371,28,577,0.4412837345003647,0.04628099173553719,0.9537190082644628,605,0.9537190082644628
5,Lithuania,,2020-05-31,1667,54,1279,1058,22,702,0.6843100189035917,0.03038674033149171,0.9696132596685083,724,0.015894251404045545
6,Lithuania,,2020-06-30,1812,61,1525,479,7,246,0.5281837160751566,0.02766798418972332,0.9723320158102767,253,0.002718756141768419
7,Lithuania,,2020-07-31,2069,63,1655,483,2,130,0.2732919254658385,0.015151515151515152,0.9848484848484849,132,0.012516469038208133
8,Lithuania,,2020-08-31,2900,69,1964,1182,6,309,0.26649746192893403,0.01904761904761905,0.9809523809523809,315,-0.003896103896103953
9,Lithuania,,2020-09-30,4688,77,2845,2655,8,881,0.33483992467043316,0.008998875140607425,0.9910011248593926,889,0.010048743907011715
10,Lithuania,,2020-10-31,14815,152,5485,11893,75,2640,0.22828554611956614,0.027624309392265192,0.9723756906077348,2715,-0.018625434251657857
11,Lithuania,,2020-11-30,61311,620,28028,55674,468,22543,0.41331680856414127,0.020338099169962192,0.9796619008300378,23011,0.0072862102223030245
12,Lithuania,,2020-12-31,141955,1796,96800,113307,1176,68772,0.6173316741242818,0.016812489277749185,0.9831875107222509,69948,0.0035256098922130663
13,Lithuania,,2021-01-31,182543,2808,162392,83947,1012,65592,0.7934053629075488,0.015194282625668128,0.9848057173743319,66604,0.0016182066520810112
14,Lithuania,,2021-02-15,190937,3080,175034,25737,272,12642,0.5017678828146248,0.021062412885240824,0.9789375871147592,12914,-0.005868130259572668
