Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
2,Netherlands,,2020-02-29,6,0,0,6,0,0,0.0,,,0,
3,Netherlands,,2020-03-31,12595,1039,250,12595,1039,250,0.10234219928543073,0.8060512024825446,0.1939487975174554,1289,
4,Netherlands,,2020-04-30,39316,4795,125,38027,3756,-125,0.09548478712493755,1.0344257780225834,-0.03442577802258331,3631,-0.2283745755400387
5,Netherlands,,2020-05-31,46442,5956,178,41522,1161,53,0.029237512643899618,0.9563426688632619,0.04365733113673806,1214,0.07808310915932137
6,Netherlands,,2020-06-30,50273,6113,186,44139,157,8,0.0037381907156936044,0.9515151515151515,0.048484848484848485,165,0.004827517348110426
7,Netherlands,,2020-07-31,54590,6166,200,48291,53,14,0.0013874220869313123,0.7910447761194029,0.208955223880597,67,0.16047037539574852
8,Netherlands,,2020-08-31,73232,6252,1010,66866,86,810,0.013399934196751713,0.09598214285714286,0.9040178571428571,896,0.69506263326226
9,Netherlands,,2020-09-30,125988,6457,4019,118726,205,3009,0.02707073429577346,0.06378344741754823,0.9362165525824517,3214,0.03219869543959464
10,Netherlands,,2020-10-31,357640,7459,5882,347164,1002,1863,0.008252583793250452,0.34973821989528797,0.650261780104712,2865,-0.2859547724777397
11,Netherlands,,2020-11-28,521639,9403,6889,508298,1944,1007,0.0058056494418628445,0.658759742460183,0.341240257539817,2951,-0.309021522564895
