Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
7,Netherlands,Limburg,2020-07-31,4923,754,0,4923,754,0,0.1531586431037985,1.0,0.0,754,
8,Netherlands,Limburg,2020-08-31,5424,756,0,4670,2,0,0.00042826552462526765,1.0,0.0,2,0.0
9,Netherlands,Limburg,2020-09-30,6699,763,0,5943,7,0,0.001177856301531213,1.0,0.0,7,0.0
10,Netherlands,Limburg,2020-10-31,15610,796,0,14847,33,0,0.002222671246716508,1.0,0.0,33,0.0
11,Netherlands,Limburg,2020-11-30,25123,884,0,24327,88,0,0.0036173798659925186,1.0,0.0,88,0.0
12,Netherlands,Limburg,2020-12-31,47476,1023,0,46592,139,0,0.00298334478021978,1.0,0.0,139,0.0
13,Netherlands,Limburg,2021-01-31,63411,1293,0,62388,270,0,0.004327755337564916,1.0,0.0,270,0.0
14,Netherlands,Limburg,2021-02-28,71561,1428,0,70268,135,0,0.0019212159162065236,1.0,0.0,135,0.0
15,Netherlands,Limburg,2021-03-31,82689,1513,0,81261,85,0,0.0010460122321901035,1.0,0.0,85,0.0
16,Netherlands,Limburg,2021-04-30,101059,1582,0,99546,69,0,0.0006931468868663734,1.0,0.0,69,0.0
17,Netherlands,Limburg,2021-05-31,113439,1636,0,111857,54,0,0.00048275923724040514,1.0,0.0,54,0.0
18,Netherlands,Limburg,2021-06-30,115680,1654,0,114044,18,0,0.0001578338185261829,1.0,0.0,18,0.0
19,Netherlands,Limburg,2021-07-16,118575,1655,0,116921,1,0,8.552783503391178e-06,1.0,0.0,1,0.0
