Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
3,Niger,,2020-03-31,27,3,0,27,3,0,0.1111111111111111,1.0,0.0,3,
4,Niger,,2020-04-30,719,32,452,716,29,452,0.6717877094972067,0.060291060291060294,0.9397089397089398,481,0.9397089397089398
5,Niger,,2020-05-31,958,64,839,474,32,387,0.8839662447257384,0.07637231503579953,0.9236276849642004,419,-0.016081254744739315
6,Niger,,2020-06-30,1075,67,943,172,3,104,0.622093023255814,0.028037383177570093,0.9719626168224299,107,0.04833493185822946
7,Niger,,2020-07-31,1134,69,1028,124,2,85,0.7016129032258065,0.022988505747126436,0.9770114942528736,87,0.005048877430443688
8,Niger,,2020-08-31,1176,69,1088,79,0,60,0.759493670886076,0.0,1.0,60,0.02298850574712641
9,Niger,,2020-09-30,1197,69,1114,40,0,26,0.65,0.0,1.0,26,0.0
10,Niger,,2020-10-31,1220,69,1137,37,0,23,0.6216216216216216,0.0,1.0,23,0.0
11,Niger,,2020-11-30,1548,72,1210,342,3,73,0.2222222222222222,0.039473684210526314,0.9605263157894737,76,-0.03947368421052633
12,Niger,,2020-12-31,3323,104,1825,2041,32,615,0.3170014698677119,0.04945904173106646,0.9505409582689336,647,-0.009985357520540084
13,Niger,,2021-01-31,4517,159,3755,2588,55,1930,0.7670015455950541,0.027707808564231738,0.9722921914357683,1985,0.021751233166834694
14,Niger,,2021-02-28,4740,172,4250,826,13,495,0.6150121065375302,0.025590551181102362,0.9744094488188977,508,0.0021172573831294006
15,Niger,,2021-03-30,5001,186,4590,579,14,340,0.6113989637305699,0.03954802259887006,0.96045197740113,354,-0.013957471417767708
