Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
5,Peru,Loreto,2020-05-31,4715,296,0,4715,296,0,0.06277836691410392,1.0,0.0,296,
6,Peru,Loreto,2020-06-30,9023,345,0,8727,49,0,0.005614758794545663,1.0,0.0,49,0.0
7,Peru,Loreto,2020-07-31,11292,545,0,10947,200,0,0.018269845619804513,1.0,0.0,200,0.0
8,Peru,Loreto,2020-08-31,15489,922,0,14944,377,0,0.025227516059957173,1.0,0.0,377,0.0
9,Peru,Loreto,2020-09-30,19020,947,0,18098,25,0,0.0013813681069731463,1.0,0.0,25,0.0
10,Peru,Loreto,2020-10-31,22115,971,0,21168,24,0,0.0011337868480725624,1.0,0.0,24,0.0
11,Peru,Loreto,2020-11-30,24537,988,0,23566,17,0,0.0007213782568106594,1.0,0.0,17,0.0
12,Peru,Loreto,2020-12-31,26403,1007,0,25415,19,0,0.0007475900059020264,1.0,0.0,19,0.0
13,Peru,Loreto,2021-01-31,27316,1053,0,26309,46,0,0.0017484511003838992,1.0,0.0,46,0.0
14,Peru,Loreto,2021-02-28,31457,1169,0,30404,116,0,0.0038152874621760293,1.0,0.0,116,0.0
15,Peru,Loreto,2021-03-31,35772,1318,0,34603,149,0,0.0043059850301996935,1.0,0.0,149,0.0
16,Peru,Loreto,2021-04-30,38477,1406,0,37159,88,0,0.0023682015124196023,1.0,0.0,88,0.0
17,Peru,Loreto,2021-05-31,40070,1421,0,38664,15,0,0.0003879577901924271,1.0,0.0,15,0.0
18,Peru,Loreto,2021-06-04,40158,3983,0,38737,2562,0,0.06613831737098898,1.0,0.0,2562,0.0
