Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
6,Russia,Karelia Republic,2020-06-30,1294,3,518,1294,3,518,0.4026275115919629,0.005758157389635317,0.9942418426103646,521,
7,Russia,Karelia Republic,2020-07-31,2275,12,1390,1754,9,872,0.5022805017103763,0.01021566401816118,0.9897843359818388,881,-0.0044575066285258425
8,Russia,Karelia Republic,2020-08-31,3130,16,2237,1728,4,847,0.49247685185185186,0.004700352526439483,0.9952996474735605,851,0.005515311491721686
9,Russia,Karelia Republic,2020-09-30,3953,27,2861,1700,11,624,0.3735294117647059,0.01732283464566929,0.9826771653543307,635,-0.012622482119229783
10,Russia,Karelia Republic,2020-10-31,6475,47,4574,3587,20,1713,0.4831335377752997,0.01154068090017311,0.9884593190998269,1733,0.005782153745496177
11,Russia,Karelia Republic,2020-11-30,15113,102,8694,10492,55,4120,0.3979222264582539,0.013173652694610778,0.9868263473053892,4175,-0.0016329717944376654
12,Russia,Karelia Republic,2020-12-31,27545,160,21202,18749,58,12508,0.670222411861966,0.0046156294763647935,0.9953843705236352,12566,0.008558023218245947
13,Russia,Karelia Republic,2021-01-31,35905,230,30806,14543,70,9604,0.6651997524582274,0.00723589001447178,0.9927641099855282,9674,-0.0026202605381069333
14,Russia,Karelia Republic,2021-02-28,40833,306,36741,9797,76,5935,0.6135551699499847,0.012643486940608883,0.9873565130593911,6011,-0.005407596926137126
15,Russia,Karelia Republic,2021-03-31,43859,388,41342,6812,82,4601,0.6874633000587199,0.01751014307068119,0.9824898569293188,4683,-0.004866656130072311
16,Russia,Karelia Republic,2021-04-01,43945,390,41485,2215,2,143,0.0654627539503386,0.013793103448275862,0.9862068965517241,145,0.003717039622405327
