Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
6,Russia,Kemerovo Oblast,2020-06-30,1662,9,734,1662,9,734,0.4470517448856799,0.012113055181695828,0.9878869448183042,743,
7,Russia,Kemerovo Oblast,2020-07-31,3555,18,2438,2812,9,1704,0.6091749644381224,0.005253940455341506,0.9947460595446584,1713,0.006859114726354254
8,Russia,Kemerovo Oblast,2020-08-31,6437,44,4396,3981,26,1958,0.49836724441095204,0.01310483870967742,0.9868951612903226,1984,-0.007850898254335825
9,Russia,Kemerovo Oblast,2020-09-30,9842,103,7236,5402,59,2840,0.536653091447612,0.020351845463953088,0.9796481545360469,2899,-0.007247006754275698
10,Russia,Kemerovo Oblast,2020-10-31,15239,227,10924,7900,124,3688,0.48253164556962025,0.03252885624344176,0.9674711437565582,3812,-0.01217701077948874
11,Russia,Kemerovo Oblast,2020-11-30,20775,377,17244,9624,150,6320,0.6722776392352452,0.023183925811437404,0.9768160741885626,6470,0.009344930432004461
12,Russia,Kemerovo Oblast,2020-12-31,25749,468,22805,8128,91,5561,0.6953740157480315,0.016100495399858458,0.9838995046001415,5652,0.007083430411578884
13,Russia,Kemerovo Oblast,2021-01-31,29344,521,27377,6071,53,4572,0.7618184813045626,0.01145945945945946,0.9885405405405405,4625,0.0046410359403989965
14,Russia,Kemerovo Oblast,2021-02-28,31651,557,30794,3753,36,3417,0.9200639488409272,0.010425716768027803,0.9895742832319722,3453,0.0010337426914316383
15,Russia,Kemerovo Oblast,2021-03-31,33258,612,32372,1907,55,1578,0.8563188253801783,0.03368034292712799,0.966319657072872,1633,-0.023254626159100122
16,Russia,Kemerovo Oblast,2021-04-30,35099,665,33948,2115,53,1576,0.7702127659574468,0.032535297728667895,0.9674647022713321,1629,0.0011450451984600374
17,Russia,Kemerovo Oblast,2021-05-30,36917,719,35601,2304,54,1653,0.7408854166666666,0.03163444639718805,0.968365553602812,1707,0.0009008513314798794
