Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
6,Russia,Krasnoyarsk Krai,2020-06-30,8904,120,3827,8904,120,3827,0.44328391734052114,0.03040283759817583,0.9695971624018241,3947,
7,Russia,Krasnoyarsk Krai,2020-07-31,13145,331,11710,9198,211,7883,0.8799739073711677,0.026068692858907835,0.9739313071410922,8094,0.004334144739268075
8,Russia,Krasnoyarsk Krai,2020-08-31,16870,477,13416,4829,146,1706,0.3835162559536136,0.07883369330453564,0.9211663066954644,1852,-0.05276500044562782
9,Russia,Krasnoyarsk Krai,2020-09-30,20001,551,15316,6108,74,1900,0.3231827111984283,0.037487335359675786,0.9625126646403243,1974,0.04134635794485986
10,Russia,Krasnoyarsk Krai,2020-10-31,26445,669,19352,10578,118,4036,0.3927018339950841,0.028406355320173327,0.9715936446798267,4154,0.009080980039502418
11,Russia,Krasnoyarsk Krai,2020-11-30,36232,1118,28665,16211,449,9313,0.6021837024242798,0.04599467322270027,0.9540053267772998,9762,-0.017588317902526907
12,Russia,Krasnoyarsk Krai,2020-12-31,46513,1705,41100,16730,587,12435,0.7783622235505081,0.045077561050529874,0.9549224389494702,13022,0.0009171121721703868
13,Russia,Krasnoyarsk Krai,2021-01-31,56435,2345,52000,13630,640,10900,0.8466617754952311,0.05545927209705372,0.9445407279029463,11540,-0.010381711046523856
14,Russia,Krasnoyarsk Krai,2021-02-28,62568,2794,57851,8223,449,5851,0.7661437431594309,0.07126984126984127,0.9287301587301587,6300,-0.01581056917278756
15,Russia,Krasnoyarsk Krai,2021-03-31,66784,3162,61816,6139,368,3965,0.7058152793614595,0.0849296099699977,0.9150703900300023,4333,-0.013659768700156394
16,Russia,Krasnoyarsk Krai,2021-04-30,70343,3499,64821,5365,337,3005,0.6229263746505126,0.10083782166367444,0.8991621783363255,3342,-0.015908211693676844
17,Russia,Krasnoyarsk Krai,2021-05-31,73504,3743,67669,5184,244,2848,0.5964506172839507,0.07891332470892626,0.9210866752910737,3092,0.021924496954748185
18,Russia,Krasnoyarsk Krai,2021-06-30,77632,3951,70300,6220,208,2631,0.4564308681672026,0.07326523423740754,0.9267347657625925,2839,0.0056480904715188185
19,Russia,Krasnoyarsk Krai,2021-07-20,85619,4220,72947,11368,269,2647,0.25650950035186487,0.09224965706447188,0.9077503429355281,2916,-0.018984422827064362
