Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
5,Spain,Ceuta,2020-05-31,145,4,163,145,4,163,1.1517241379310346,0.023952095808383235,0.9760479041916168,167,
6,Spain,Ceuta,2020-06-30,163,4,163,-4,0,0,-0.0,,,0,
7,Spain,Ceuta,2020-07-31,166,4,163,-1,0,0,-0.0,,,0,
8,Spain,Ceuta,2020-08-31,275,5,163,108,1,0,0.009259259259259259,1.0,0.0,1,
9,Spain,Ceuta,2020-09-30,601,10,163,433,5,0,0.011547344110854504,1.0,0.0,5,0.0
10,Spain,Ceuta,2020-10-31,1571,19,163,1398,9,0,0.006437768240343348,1.0,0.0,9,0.0
11,Spain,Ceuta,2020-11-30,2814,54,163,2632,35,0,0.013297872340425532,1.0,0.0,35,0.0
12,Spain,Ceuta,2020-12-31,3072,59,163,2855,5,0,0.0017513134851138354,1.0,0.0,5,0.0
13,Spain,Ceuta,2021-01-31,3904,71,163,3682,12,0,0.0032590983161325366,1.0,0.0,12,0.0
14,Spain,Ceuta,2021-02-28,4562,81,163,4328,10,0,0.0023105360443622922,1.0,0.0,10,0.0
15,Spain,Ceuta,2021-03-31,5121,95,163,4877,14,0,0.002870617182694279,1.0,0.0,14,0.0
16,Spain,Ceuta,2021-04-30,5753,104,163,5495,9,0,0.001637852593266606,1.0,0.0,9,0.0
17,Spain,Ceuta,2021-05-31,5872,115,163,5605,11,0,0.001962533452274755,1.0,0.0,11,0.0
18,Spain,Ceuta,2021-06-07,5943,116,163,5665,1,0,0.000176522506619594,1.0,0.0,1,0.0
