Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
4,US,Kentucky,2020-04-30,4708,240,1668,4708,240,1668,0.405267629566695,0.12578616352201258,0.8742138364779874,1908,
5,US,Kentucky,2020-05-31,9704,431,3232,7796,191,1564,0.22511544381734222,0.10883190883190884,0.8911680911680911,1755,0.0169542546901037
6,US,Kentucky,2020-06-30,15624,565,3990,11961,134,758,0.0745757043725441,0.15022421524663676,0.8497757847533632,892,-0.04139230641472791
7,US,Kentucky,2020-07-31,30151,735,7481,25596,170,3491,0.14303016096265042,0.04643540016388965,0.9535645998361103,3661,0.10378881508274707
8,US,Kentucky,2020-08-31,48396,933,10375,40180,198,2894,0.07695370831259334,0.06403622250970246,0.9359637774902976,3092,-0.017600822345812728
9,US,Kentucky,2020-09-30,68840,1174,11840,57532,241,1465,0.029653062643398457,0.14126611957796015,0.8587338804220399,1706,-0.07722989706825767
10,US,Kentucky,2020-10-31,107219,1485,18468,94205,311,6628,0.07365851069476143,0.04481913820435221,0.9551808617956478,6939,0.09644698137360785
11,US,Kentucky,2020-11-30,179041,1908,28281,159088,423,9813,0.06434174796339133,0.04132473622508793,0.9586752637749121,10236,0.0034944019792643166
12,US,Kentucky,2020-12-31,265261,2623,36740,235072,715,8459,0.0390263408657773,0.07793764988009592,0.9220623501199041,9174,-0.03661291365500796
13,US,Kentucky,2021-01-11,305706,2922,39020,266343,299,2280,0.009683002744581235,0.11593640946103141,0.8840635905389685,2579,-0.03799875958093557
