Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
4,US,Northern Mariana Islands,2020-04-30,14,2,12,14,2,12,1.0,0.14285714285714285,0.8571428571428571,14,
5,US,Northern Mariana Islands,2020-05-31,22,2,15,8,0,3,0.375,0.0,1.0,3,0.1428571428571429
6,US,Northern Mariana Islands,2020-06-30,30,2,19,13,0,4,0.3076923076923077,0.0,1.0,4,0.0
7,US,Northern Mariana Islands,2020-07-31,42,2,29,21,0,10,0.47619047619047616,0.0,1.0,10,0.0
8,US,Northern Mariana Islands,2020-08-31,56,2,29,25,0,0,0.0,,,0,
9,US,Northern Mariana Islands,2020-09-30,70,2,29,39,0,0,0.0,,,0,
10,US,Northern Mariana Islands,2020-10-31,92,2,29,61,0,0,0.0,,,0,
11,US,Northern Mariana Islands,2020-11-30,106,2,29,75,0,0,0.0,,,0,
12,US,Northern Mariana Islands,2020-12-31,122,2,29,91,0,0,0.0,,,0,
13,US,Northern Mariana Islands,2021-01-31,132,2,29,101,0,0,0.0,,,0,
14,US,Northern Mariana Islands,2021-02-28,143,2,29,112,0,0,0.0,,,0,
15,US,Northern Mariana Islands,2021-03-31,159,2,,128,0,,,,,,
16,US,Northern Mariana Islands,2021-04-01,159,2,,,0,,,,,,
