Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
4,US,Rhode Island,2020-04-30,8621,3,461,8621,3,461,0.05382206240575339,0.00646551724137931,0.9935344827586207,464,
5,US,Rhode Island,2020-05-31,14928,5,1252,14464,2,791,0.05482577433628318,0.0025220680958385876,0.9974779319041615,793,0.003943449145540789
6,US,Rhode Island,2020-06-30,16813,0,1631,15556,-5,379,0.024042170223707894,-0.013368983957219251,1.0133689839572193,374,0.015891052053057853
7,US,Rhode Island,2020-07-31,19022,9,1823,17391,9,192,0.011557702259789547,0.04477611940298507,0.9552238805970149,201,-0.0581451033602044
8,US,Rhode Island,2020-08-31,21949,14,2108,20117,5,285,0.014415668340209773,0.017241379310344827,0.9827586206896551,290,0.02753474009264023
9,US,Rhode Island,2020-09-30,24748,23,2322,22626,9,214,0.009855917970476443,0.04035874439461883,0.9596412556053812,223,-0.023117365084273978
10,US,Rhode Island,2020-10-31,32874,1216,2763,30529,1193,441,0.053522879884699795,0.730110159118727,0.26988984088127294,1634,-0.6897514147241082
11,US,Rhode Island,2020-11-30,56723,1415,3737,52744,199,974,0.02223949643561353,0.16965046888320545,0.8303495311167945,1173,0.5604596902355217
12,US,Rhode Island,2020-12-31,87949,1930,5381,82797,515,1644,0.026075824003285144,0.23853635942566004,0.76146364057434,2159,-0.06888589054245453
13,US,Rhode Island,2021-01-31,114438,2341,6941,107127,411,1560,0.01839872301100563,0.2085235920852359,0.791476407914764,1971,0.030012767340424018
14,US,Rhode Island,2021-02-28,125622,2502,,116340,161,,,,,,
15,US,Rhode Island,2021-03-03,127285,2534,,,32,,,,,,
