Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
120,Brazil,Maranhao,2020-05-20,15114,634,0,15114,634,0,0.041947862908561596,1.0,0.0,634,
121,Brazil,Maranhao,2020-05-21,16058,663,0,15424,29,0,0.0018801867219917013,1.0,0.0,29,0.0
122,Brazil,Maranhao,2020-05-22,17212,693,0,16549,30,0,0.001812798356396157,1.0,0.0,30,0.0
123,Brazil,Maranhao,2020-05-23,18767,722,0,18074,29,0,0.001604514772601527,1.0,0.0,29,0.0
124,Brazil,Maranhao,2020-05-24,21191,754,0,20469,32,0,0.0015633396844008012,1.0,0.0,32,0.0
125,Brazil,Maranhao,2020-05-25,22786,784,0,22032,30,0,0.0013616557734204794,1.0,0.0,30,0.0
126,Brazil,Maranhao,2020-05-26,24278,817,0,23494,33,0,0.0014046139439856985,1.0,0.0,33,0.0
127,Brazil,Maranhao,2020-05-27,26145,853,0,25328,36,0,0.001421351863550221,1.0,0.0,36,0.0
128,Brazil,Maranhao,2020-05-28,27979,887,0,27126,34,0,0.0012534100125341002,1.0,0.0,34,0.0
129,Brazil,Maranhao,2020-05-29,30482,911,0,29595,24,0,0.0008109477952356817,1.0,0.0,24,0.0
130,Brazil,Maranhao,2020-05-30,32620,932,0,31709,21,0,0.000662272540918982,1.0,0.0,21,0.0
131,Brazil,Maranhao,2020-05-31,34639,955,0,33707,23,0,0.0006823508470050731,1.0,0.0,23,0.0
132,Brazil,Maranhao,2020-06-01,35297,976,0,34342,21,0,0.0006114961271911944,1.0,0.0,21,0.0
133,Brazil,Maranhao,2020-06-02,36625,997,0,35649,21,0,0.0005890768324497181,1.0,0.0,21,0.0
134,Brazil,Maranhao,2020-06-03,38174,1028,0,37177,31,0,0.0008338488850633456,1.0,0.0,31,0.0
135,Brazil,Maranhao,2020-06-04,40629,1062,0,39601,34,0,0.000858564177672281,1.0,0.0,34,0.0
136,Brazil,Maranhao,2020-06-05,43313,1095,0,42251,33,0,0.0007810466024472793,1.0,0.0,33,0.0
137,Brazil,Maranhao,2020-06-06,45470,1132,0,44375,37,0,0.0008338028169014084,1.0,0.0,37,0.0
138,Brazil,Maranhao,2020-06-07,47593,1170,0,46461,38,0,0.0008178902735627731,1.0,0.0,38,0.0
