Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
128,Colombia,Sucre,2020-05-28,10,0,3,10,0,3,0.3,0.0,1.0,3,
129,Colombia,Sucre,2020-05-29,15,0,3,12,0,0,0.0,,,0,
130,Colombia,Sucre,2020-05-30,15,0,3,12,0,0,0.0,,,0,
131,Colombia,Sucre,2020-05-31,19,0,3,16,0,0,0.0,,,0,
132,Colombia,Sucre,2020-06-01,21,0,4,18,0,1,0.05555555555555555,0.0,1.0,1,
133,Colombia,Sucre,2020-06-02,24,0,4,20,0,0,0.0,,,0,
134,Colombia,Sucre,2020-06-03,25,0,4,21,0,0,0.0,,,0,
135,Colombia,Sucre,2020-06-04,47,0,4,43,0,0,0.0,,,0,
136,Colombia,Sucre,2020-06-05,81,0,5,77,0,1,0.012987012987012988,0.0,1.0,1,
137,Colombia,Sucre,2020-06-06,81,0,5,76,0,0,0.0,,,0,
138,Colombia,Sucre,2020-06-07,97,2,5,92,2,0,0.021739130434782608,1.0,0.0,2,
139,Colombia,Sucre,2020-06-08,131,2,5,124,0,0,0.0,,,0,
140,Colombia,Sucre,2020-06-09,131,2,5,124,0,0,0.0,,,0,
141,Colombia,Sucre,2020-06-10,143,2,5,136,0,0,0.0,,,0,
142,Colombia,Sucre,2020-06-11,166,3,5,159,1,0,0.006289308176100629,1.0,0.0,1,
143,Colombia,Sucre,2020-06-12,174,5,6,166,2,1,0.018072289156626505,0.6666666666666666,0.3333333333333333,3,0.3333333333333333
144,Colombia,Sucre,2020-06-13,196,5,6,185,0,0,0.0,,,0,
145,Colombia,Sucre,2020-06-14,213,8,7,202,3,1,0.019801980198019802,0.75,0.25,4,
146,Colombia,Sucre,2020-06-15,240,11,10,225,3,3,0.02666666666666667,0.5,0.5,6,0.25
147,Colombia,Sucre,2020-06-16,240,11,10,219,0,0,0.0,,,0,
148,Colombia,Sucre,2020-06-17,272,12,16,251,1,6,0.027888446215139442,0.14285714285714285,0.8571428571428571,7,
149,Colombia,Sucre,2020-06-18,300,12,21,272,0,5,0.01838235294117647,0.0,1.0,5,0.1428571428571429
150,Colombia,Sucre,2020-06-19,404,12,34,371,0,13,0.03504043126684636,0.0,1.0,13,0.0
151,Colombia,Sucre,2020-06-20,448,15,36,402,3,2,0.012437810945273632,0.6,0.4,5,-0.6
152,Colombia,Sucre,2020-06-21,536,21,45,485,6,9,0.030927835051546393,0.4,0.6,15,0.19999999999999996
153,Colombia,Sucre,2020-06-22,588,22,47,522,1,2,0.005747126436781609,0.3333333333333333,0.6666666666666666,3,0.06666666666666665
154,Colombia,Sucre,2020-06-23,643,23,54,574,1,7,0.013937282229965157,0.125,0.875,8,0.20833333333333337
155,Colombia,Sucre,2020-06-24,643,23,54,566,0,0,0.0,,,0,
156,Colombia,Sucre,2020-06-25,733,25,55,656,2,1,0.004573170731707317,0.6666666666666666,0.3333333333333333,3,
157,Colombia,Sucre,2020-06-26,847,31,65,767,6,10,0.020860495436766623,0.375,0.625,16,0.2916666666666667
158,Colombia,Sucre,2020-06-27,895,41,78,799,10,13,0.028785982478097622,0.43478260869565216,0.5652173913043478,23,-0.05978260869565222
159,Colombia,Sucre,2020-06-28,1092,51,98,973,10,20,0.030832476875642344,0.3333333333333333,0.6666666666666666,30,0.10144927536231885
160,Colombia,Sucre,2020-06-29,1092,51,98,943,0,0,0.0,,,0,
161,Colombia,Sucre,2020-06-30,1153,63,115,1004,12,17,0.02888446215139442,0.41379310344827586,0.5862068965517241,29,
162,Colombia,Sucre,2020-07-01,1255,67,123,1077,4,8,0.011142061281337047,0.3333333333333333,0.6666666666666666,12,0.08045977011494254
163,Colombia,Sucre,2020-07-02,1373,75,133,1183,8,10,0.015215553677092139,0.4444444444444444,0.5555555555555556,18,-0.11111111111111105
164,Colombia,Sucre,2020-07-03,1490,82,147,1282,7,14,0.01638065522620905,0.3333333333333333,0.6666666666666666,21,0.11111111111111105
165,Colombia,Sucre,2020-07-04,1549,90,155,1320,8,8,0.012121212121212121,0.5,0.5,16,-0.16666666666666663
