Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
58,El Salvador,,2020-03-19,1,0,0,1,0,0,0.0,,,0,
59,El Salvador,,2020-03-20,1,0,0,1,0,0,0.0,,,0,
60,El Salvador,,2020-03-21,3,0,0,3,0,0,0.0,,,0,
61,El Salvador,,2020-03-22,3,0,0,3,0,0,0.0,,,0,
62,El Salvador,,2020-03-23,3,0,0,3,0,0,0.0,,,0,
63,El Salvador,,2020-03-24,5,0,0,5,0,0,0.0,,,0,
64,El Salvador,,2020-03-25,9,0,0,9,0,0,0.0,,,0,
65,El Salvador,,2020-03-26,13,0,0,13,0,0,0.0,,,0,
66,El Salvador,,2020-03-27,13,0,0,13,0,0,0.0,,,0,
67,El Salvador,,2020-03-28,19,0,0,19,0,0,0.0,,,0,
68,El Salvador,,2020-03-29,24,0,0,24,0,0,0.0,,,0,
69,El Salvador,,2020-03-30,30,0,0,30,0,0,0.0,,,0,
70,El Salvador,,2020-03-31,32,1,0,32,1,0,0.03125,1.0,0.0,1,
71,El Salvador,,2020-04-01,32,1,0,31,0,0,0.0,,,0,
72,El Salvador,,2020-04-02,41,2,0,40,1,0,0.025,1.0,0.0,1,
73,El Salvador,,2020-04-03,46,2,0,44,0,0,0.0,,,0,
74,El Salvador,,2020-04-04,56,3,2,54,1,2,0.05555555555555555,0.3333333333333333,0.6666666666666666,3,
75,El Salvador,,2020-04-05,62,3,2,57,0,0,0.0,,,0,
76,El Salvador,,2020-04-06,69,4,5,64,1,3,0.0625,0.25,0.75,4,
77,El Salvador,,2020-04-07,78,4,5,69,0,0,0.0,,,0,
78,El Salvador,,2020-04-08,93,5,9,84,1,4,0.05952380952380952,0.2,0.8,5,
79,El Salvador,,2020-04-09,103,6,14,89,1,5,0.06741573033707865,0.16666666666666666,0.8333333333333334,6,0.033333333333333326
80,El Salvador,,2020-04-10,117,6,15,97,0,1,0.010309278350515464,0.0,1.0,1,0.16666666666666663
81,El Salvador,,2020-04-11,118,6,19,97,0,4,0.041237113402061855,0.0,1.0,4,0.0
