Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
348,France,Wallis and Futuna,2021-01-03,4,0,1,4,0,1,0.25,0.0,1.0,1,
349,France,Wallis and Futuna,2021-01-04,4,0,1,3,0,0,0.0,,,0,
350,France,Wallis and Futuna,2021-01-05,4,0,1,3,0,0,0.0,,,0,
351,France,Wallis and Futuna,2021-01-06,4,0,1,3,0,0,0.0,,,0,
352,France,Wallis and Futuna,2021-01-07,4,0,1,3,0,0,0.0,,,0,
353,France,Wallis and Futuna,2021-01-08,4,0,1,3,0,0,0.0,,,0,
354,France,Wallis and Futuna,2021-01-09,4,0,1,3,0,0,0.0,,,0,
355,France,Wallis and Futuna,2021-01-10,4,0,1,3,0,0,0.0,,,0,
356,France,Wallis and Futuna,2021-01-11,4,0,1,3,0,0,0.0,,,0,
357,France,Wallis and Futuna,2021-01-12,4,0,1,3,0,0,0.0,,,0,
358,France,Wallis and Futuna,2021-01-13,4,0,1,3,0,0,0.0,,,0,
359,France,Wallis and Futuna,2021-01-14,4,0,1,3,0,0,0.0,,,0,
360,France,Wallis and Futuna,2021-01-15,4,0,1,3,0,0,0.0,,,0,
361,France,Wallis and Futuna,2021-01-16,4,0,1,3,0,0,0.0,,,0,
362,France,Wallis and Futuna,2021-01-17,4,0,1,3,0,0,0.0,,,0,
363,France,Wallis and Futuna,2021-01-18,4,0,1,3,0,0,0.0,,,0,
364,France,Wallis and Futuna,2021-01-19,4,0,1,3,0,0,0.0,,,0,
365,France,Wallis and Futuna,2021-01-20,4,0,1,3,0,0,0.0,,,0,
366,France,Wallis and Futuna,2021-01-21,4,0,1,3,0,0,0.0,,,0,
367,France,Wallis and Futuna,2021-01-22,4,0,4,3,0,3,1.0,0.0,1.0,3,
368,France,Wallis and Futuna,2021-01-23,4,0,4,0,0,0,,,,0,
369,France,Wallis and Futuna,2021-01-24,4,0,4,0,0,0,,,,0,
370,France,Wallis and Futuna,2021-01-25,4,0,4,0,0,0,,,,0,
371,France,Wallis and Futuna,2021-01-26,5,0,4,1,0,0,0.0,,,0,
372,France,Wallis and Futuna,2021-01-27,5,0,4,1,0,0,0.0,,,0,
373,France,Wallis and Futuna,2021-01-28,5,0,4,1,0,0,0.0,,,0,
374,France,Wallis and Futuna,2021-01-29,5,0,4,1,0,0,0.0,,,0,
375,France,Wallis and Futuna,2021-01-30,5,0,4,1,0,0,0.0,,,0,
376,France,Wallis and Futuna,2021-01-31,5,0,4,1,0,0,0.0,,,0,
377,France,Wallis and Futuna,2021-02-01,5,0,4,1,0,0,0.0,,,0,
378,France,Wallis and Futuna,2021-02-02,5,0,4,1,0,0,0.0,,,0,
379,France,Wallis and Futuna,2021-02-03,5,0,4,1,0,0,0.0,,,0,
380,France,Wallis and Futuna,2021-02-04,5,0,4,1,0,0,0.0,,,0,
381,France,Wallis and Futuna,2021-02-05,5,0,4,1,0,0,0.0,,,0,
382,France,Wallis and Futuna,2021-02-06,5,0,4,1,0,0,0.0,,,0,
383,France,Wallis and Futuna,2021-02-07,5,0,4,1,0,0,0.0,,,0,
384,France,Wallis and Futuna,2021-02-08,9,0,4,5,0,0,0.0,,,0,
385,France,Wallis and Futuna,2021-02-09,9,0,4,5,0,0,0.0,,,0,
386,France,Wallis and Futuna,2021-02-10,9,0,4,5,0,0,0.0,,,0,
387,France,Wallis and Futuna,2021-02-11,9,0,5,5,0,1,0.2,0.0,1.0,1,
388,France,Wallis and Futuna,2021-02-12,9,0,5,4,0,0,0.0,,,0,
389,France,Wallis and Futuna,2021-02-13,9,0,5,4,0,0,0.0,,,0,
390,France,Wallis and Futuna,2021-02-14,9,0,5,4,0,0,0.0,,,0,
391,France,Wallis and Futuna,2021-02-15,9,0,5,4,0,0,0.0,,,0,
392,France,Wallis and Futuna,2021-02-16,9,0,5,4,0,0,0.0,,,0,
393,France,Wallis and Futuna,2021-02-17,9,0,5,4,0,0,0.0,,,0,
394,France,Wallis and Futuna,2021-02-18,9,0,5,4,0,0,0.0,,,0,
395,France,Wallis and Futuna,2021-02-19,9,0,5,4,0,0,0.0,,,0,
396,France,Wallis and Futuna,2021-02-20,9,0,5,4,0,0,0.0,,,0,
397,France,Wallis and Futuna,2021-02-21,9,0,5,4,0,0,0.0,,,0,
398,France,Wallis and Futuna,2021-02-22,9,0,6,4,0,1,0.25,0.0,1.0,1,
399,France,Wallis and Futuna,2021-02-23,9,0,6,3,0,0,0.0,,,0,
400,France,Wallis and Futuna,2021-02-24,9,0,6,3,0,0,0.0,,,0,
401,France,Wallis and Futuna,2021-02-25,9,0,6,3,0,0,0.0,,,0,
402,France,Wallis and Futuna,2021-02-26,9,0,7,3,0,1,0.3333333333333333,0.0,1.0,1,
403,France,Wallis and Futuna,2021-02-27,9,0,7,2,0,0,0.0,,,0,
404,France,Wallis and Futuna,2021-02-28,9,0,7,2,0,0,0.0,,,0,
405,France,Wallis and Futuna,2021-03-01,9,0,7,2,0,0,0.0,,,0,
406,France,Wallis and Futuna,2021-03-02,9,0,7,2,0,0,0.0,,,0,
407,France,Wallis and Futuna,2021-03-03,9,0,7,2,0,0,0.0,,,0,
408,France,Wallis and Futuna,2021-03-04,9,0,7,2,0,0,0.0,,,0,
409,France,Wallis and Futuna,2021-03-05,9,0,7,2,0,0,0.0,,,0,
410,France,Wallis and Futuna,2021-03-06,9,0,7,2,0,0,0.0,,,0,
411,France,Wallis and Futuna,2021-03-07,10,0,7,3,0,0,0.0,,,0,
412,France,Wallis and Futuna,2021-03-08,19,0,7,12,0,0,0.0,,,0,
413,France,Wallis and Futuna,2021-03-09,19,0,7,12,0,0,0.0,,,0,
414,France,Wallis and Futuna,2021-03-10,48,0,7,41,0,0,0.0,,,0,
415,France,Wallis and Futuna,2021-03-11,129,0,7,122,0,0,0.0,,,0,
416,France,Wallis and Futuna,2021-03-12,146,0,7,139,0,0,0.0,,,0,
417,France,Wallis and Futuna,2021-03-13,176,0,7,169,0,0,0.0,,,0,
418,France,Wallis and Futuna,2021-03-14,178,0,7,171,0,0,0.0,,,0,
419,France,Wallis and Futuna,2021-03-15,186,0,7,179,0,0,0.0,,,0,
420,France,Wallis and Futuna,2021-03-16,233,0,7,226,0,0,0.0,,,0,
421,France,Wallis and Futuna,2021-03-17,261,0,7,254,0,0,0.0,,,0,
422,France,Wallis and Futuna,2021-03-18,276,0,7,269,0,0,0.0,,,0,
423,France,Wallis and Futuna,2021-03-19,291,0,7,284,0,0,0.0,,,0,
424,France,Wallis and Futuna,2021-03-20,302,1,11,295,1,4,0.01694915254237288,0.2,0.8,5,
425,France,Wallis and Futuna,2021-03-21,308,1,11,296,0,0,0.0,,,0,
426,France,Wallis and Futuna,2021-03-22,318,1,13,306,0,2,0.006535947712418301,0.0,1.0,2,
427,France,Wallis and Futuna,2021-03-23,329,2,18,315,1,5,0.01904761904761905,0.16666666666666666,0.8333333333333334,6,-0.16666666666666663
428,France,Wallis and Futuna,2021-03-24,341,3,18,321,1,0,0.003115264797507788,1.0,0.0,1,-0.8333333333333334
429,France,Wallis and Futuna,2021-03-25,352,3,18,331,0,0,0.0,,,0,
430,France,Wallis and Futuna,2021-03-26,352,3,18,331,0,0,0.0,,,0,
