Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
142,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-11,30,0,2,30,0,2,0.06666666666666667,0.0,1.0,2,
143,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-12,30,0,2,28,0,0,0.0,,,0,
144,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-13,30,0,2,28,0,0,0.0,,,0,
145,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-14,35,0,2,33,0,0,0.0,,,0,
146,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-15,36,0,5,34,0,3,0.08823529411764706,0.0,1.0,3,
147,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-16,45,0,9,40,0,4,0.1,0.0,1.0,4,0.0
148,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-17,57,0,12,48,0,3,0.0625,0.0,1.0,3,0.0
149,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-18,58,0,13,46,0,1,0.021739130434782608,0.0,1.0,1,0.0
150,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-19,62,0,14,49,0,1,0.02040816326530612,0.0,1.0,1,0.0
151,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-20,68,0,26,54,0,12,0.2222222222222222,0.0,1.0,12,0.0
152,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-21,88,0,26,62,0,0,0.0,,,0,
153,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-22,91,0,27,65,0,1,0.015384615384615385,0.0,1.0,1,
154,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-23,120,0,29,93,0,2,0.021505376344086023,0.0,1.0,2,0.0
155,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-24,120,0,30,91,0,1,0.01098901098901099,0.0,1.0,1,0.0
156,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-25,155,0,32,125,0,2,0.016,0.0,1.0,2,0.0
157,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-26,163,0,41,131,0,9,0.06870229007633588,0.0,1.0,9,0.0
158,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-27,177,0,55,136,0,14,0.10294117647058823,0.0,1.0,14,0.0
159,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-28,178,0,60,123,0,5,0.04065040650406504,0.0,1.0,5,0.0
160,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-29,203,0,77,143,0,17,0.11888111888111888,0.0,1.0,17,0.0
161,India,Dadra and Nagar Haveli and Daman and Diu,2020-06-30,213,0,82,136,0,5,0.03676470588235294,0.0,1.0,5,0.0
162,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-01,215,0,86,133,0,4,0.03007518796992481,0.0,1.0,4,0.0
163,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-02,230,0,89,144,0,3,0.020833333333333332,0.0,1.0,3,0.0
164,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-03,257,0,96,168,0,7,0.041666666666666664,0.0,1.0,7,0.0
165,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-04,271,0,96,175,0,0,0.0,,,0,
166,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-05,271,0,106,175,0,10,0.05714285714285714,0.0,1.0,10,
167,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-06,297,0,114,191,0,8,0.041884816753926704,0.0,1.0,8,0.0
168,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-07,405,0,183,291,0,69,0.23711340206185566,0.0,1.0,69,0.0
169,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-08,408,0,184,225,0,1,0.0044444444444444444,0.0,1.0,1,0.0
170,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-09,411,0,189,227,0,5,0.022026431718061675,0.0,1.0,5,0.0
171,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-10,459,0,211,270,0,22,0.08148148148148149,0.0,1.0,22,0.0
172,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-11,471,0,226,260,0,15,0.057692307692307696,0.0,1.0,15,0.0
173,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-12,479,0,245,253,0,19,0.07509881422924901,0.0,1.0,19,0.0
174,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-13,495,1,268,250,1,23,0.096,0.041666666666666664,0.9583333333333334,24,-0.04166666666666663
175,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-14,520,1,310,251,0,42,0.16733067729083664,0.0,1.0,42,0.04166666666666663
176,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-15,520,1,310,209,0,0,0.0,,,0,
177,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-16,552,2,371,241,1,61,0.2572614107883817,0.016129032258064516,0.9838709677419355,62,
178,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-17,585,2,401,212,0,30,0.14150943396226415,0.0,1.0,30,0.016129032258064502
179,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-18,602,2,414,199,0,13,0.06532663316582915,0.0,1.0,13,0.0
180,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-19,605,2,414,189,0,0,0.0,,,0,
181,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-20,684,2,448,268,0,34,0.12686567164179105,0.0,1.0,34,
182,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-21,705,2,463,255,0,15,0.058823529411764705,0.0,1.0,15,0.0
183,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-22,733,2,474,268,0,11,0.041044776119402986,0.0,1.0,11,0.0
184,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-23,770,2,489,294,0,15,0.05102040816326531,0.0,1.0,15,0.0
185,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-24,815,2,512,324,0,23,0.07098765432098765,0.0,1.0,23,0.0
186,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-25,860,2,530,346,0,18,0.05202312138728324,0.0,1.0,18,0.0
187,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-26,914,2,550,382,0,20,0.05235602094240838,0.0,1.0,20,0.0
188,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-27,946,2,564,394,0,14,0.03553299492385787,0.0,1.0,14,0.0
189,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-28,946,2,564,380,0,0,0.0,,,0,
190,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-29,1026,2,648,460,0,84,0.1826086956521739,0.0,1.0,84,
191,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-30,1064,2,668,414,0,20,0.04830917874396135,0.0,1.0,20,0.0
192,India,Dadra and Nagar Haveli and Daman and Diu,2020-07-31,1100,2,686,430,0,18,0.04186046511627907,0.0,1.0,18,0.0
193,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-01,1145,2,725,457,0,39,0.08533916849015317,0.0,1.0,39,0.0
194,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-02,1184,2,766,457,0,41,0.08971553610503283,0.0,1.0,41,0.0
195,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-03,1274,2,860,506,0,94,0.1857707509881423,0.0,1.0,94,0.0
196,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-04,1325,2,919,463,0,59,0.12742980561555076,0.0,1.0,59,0.0
197,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-05,1366,2,960,445,0,41,0.09213483146067415,0.0,1.0,41,0.0
198,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-06,1391,2,973,429,0,13,0.030303030303030304,0.0,1.0,13,0.0
199,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-07,1437,2,1014,462,0,41,0.08874458874458875,0.0,1.0,41,0.0
200,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-08,1456,2,1037,440,0,23,0.05227272727272727,0.0,1.0,23,0.0
201,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-09,1564,2,1121,525,0,84,0.16,0.0,1.0,84,0.0
202,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-10,1613,2,1167,490,0,46,0.09387755102040816,0.0,1.0,46,0.0
203,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-11,1653,2,1209,484,0,42,0.08677685950413223,0.0,1.0,42,0.0
204,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-12,1696,2,1248,485,0,39,0.08041237113402062,0.0,1.0,39,0.0
205,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-13,1752,2,1292,502,0,44,0.08764940239043825,0.0,1.0,44,0.0
206,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-14,1797,2,1331,503,0,39,0.0775347912524851,0.0,1.0,39,0.0
207,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-15,1843,2,1384,510,0,53,0.10392156862745099,0.0,1.0,53,0.0
208,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-16,1878,2,1431,492,0,47,0.09552845528455285,0.0,1.0,47,0.0
209,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-17,1908,2,1459,475,0,28,0.05894736842105263,0.0,1.0,28,0.0
210,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-18,1951,2,1524,490,0,65,0.1326530612244898,0.0,1.0,65,0.0
211,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-19,1995,2,1604,469,0,80,0.17057569296375266,0.0,1.0,80,0.0
212,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-20,2030,2,1627,424,0,23,0.054245283018867926,0.0,1.0,23,0.0
213,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-21,2082,2,1652,453,0,25,0.05518763796909492,0.0,1.0,25,0.0
214,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-22,2120,2,1702,466,0,50,0.1072961373390558,0.0,1.0,50,0.0
215,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-23,2161,2,1753,457,0,51,0.11159737417943107,0.0,1.0,51,0.0
216,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-24,2181,2,1786,426,0,33,0.07746478873239436,0.0,1.0,33,0.0
217,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-25,2203,2,1820,415,0,34,0.0819277108433735,0.0,1.0,34,0.0
218,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-26,2228,2,1862,406,0,42,0.10344827586206896,0.0,1.0,42,0.0
219,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-27,2266,2,1916,402,0,54,0.13432835820895522,0.0,1.0,54,0.0
220,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-28,2290,2,1960,372,0,44,0.11827956989247312,0.0,1.0,44,0.0
221,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-29,2306,2,1998,344,0,38,0.11046511627906977,0.0,1.0,38,0.0
222,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-30,2340,2,2042,340,0,44,0.12941176470588237,0.0,1.0,44,0.0
223,India,Dadra and Nagar Haveli and Daman and Diu,2020-08-31,2367,2,2081,323,0,39,0.12074303405572756,0.0,1.0,39,0.0
224,India,Dadra and Nagar Haveli and Daman and Diu,2020-09-01,2386,2,2122,303,0,41,0.1353135313531353,0.0,1.0,41,0.0
225,India,Dadra and Nagar Haveli and Daman and Diu,2020-09-02,2435,2,2141,311,0,19,0.06109324758842444,0.0,1.0,19,0.0
226,India,Dadra and Nagar Haveli and Daman and Diu,2020-09-03,2450,2,2154,307,0,13,0.04234527687296417,0.0,1.0,13,0.0
227,India,Dadra and Nagar Haveli and Daman and Diu,2020-09-04,2467,2,2180,311,0,26,0.08360128617363344,0.0,1.0,26,0.0
228,India,Dadra and Nagar Haveli and Daman and Diu,2020-09-05,2537,2,2234,355,0,54,0.15211267605633802,0.0,1.0,54,0.0
229,India,Dadra and Nagar Haveli and Daman and Diu,2020-09-06,2575,2,2271,339,0,37,0.10914454277286136,0.0,1.0,37,0.0
230,India,Dadra and Nagar Haveli and Daman and Diu,2020-09-07,2590,2,2291,317,0,20,0.06309148264984227,0.0,1.0,20,0.0
