Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
31,Israel,,2020-02-21,1,0,0,1,0,0,0.0,,,0,
32,Israel,,2020-02-22,1,0,0,1,0,0,0.0,,,0,
33,Israel,,2020-02-23,1,0,0,1,0,0,0.0,,,0,
34,Israel,,2020-02-24,1,0,0,1,0,0,0.0,,,0,
35,Israel,,2020-02-25,1,0,0,1,0,0,0.0,,,0,
36,Israel,,2020-02-26,2,0,0,2,0,0,0.0,,,0,
37,Israel,,2020-02-27,3,0,0,3,0,0,0.0,,,0,
38,Israel,,2020-02-28,6,0,0,6,0,0,0.0,,,0,
39,Israel,,2020-02-29,6,0,0,6,0,0,0.0,,,0,
40,Israel,,2020-03-01,7,0,0,7,0,0,0.0,,,0,
41,Israel,,2020-03-02,12,0,0,12,0,0,0.0,,,0,
42,Israel,,2020-03-03,15,0,0,15,0,0,0.0,,,0,
43,Israel,,2020-03-04,15,0,0,15,0,0,0.0,,,0,
44,Israel,,2020-03-05,17,0,0,17,0,0,0.0,,,0,
45,Israel,,2020-03-06,21,0,0,21,0,0,0.0,,,0,
46,Israel,,2020-03-07,25,0,0,25,0,0,0.0,,,0,
47,Israel,,2020-03-08,34,0,0,34,0,0,0.0,,,0,
48,Israel,,2020-03-09,38,0,0,38,0,0,0.0,,,0,
49,Israel,,2020-03-10,71,0,0,71,0,0,0.0,,,0,
50,Israel,,2020-03-11,90,0,0,90,0,0,0.0,,,0,
51,Israel,,2020-03-12,112,0,0,112,0,0,0.0,,,0,
52,Israel,,2020-03-13,147,0,1,147,0,1,0.006802721088435374,0.0,1.0,1,
53,Israel,,2020-03-14,176,0,1,175,0,0,0.0,,,0,
54,Israel,,2020-03-15,215,0,1,214,0,0,0.0,,,0,
55,Israel,,2020-03-16,288,0,1,287,0,0,0.0,,,0,
56,Israel,,2020-03-17,382,0,3,381,0,2,0.005249343832020997,0.0,1.0,2,
57,Israel,,2020-03-18,500,0,6,497,0,3,0.006036217303822937,0.0,1.0,3,0.0
58,Israel,,2020-03-19,636,0,11,630,0,5,0.007936507936507936,0.0,1.0,5,0.0
59,Israel,,2020-03-20,804,1,13,793,1,2,0.0037831021437578815,0.3333333333333333,0.6666666666666666,3,-0.33333333333333337
60,Israel,,2020-03-21,1014,1,14,1000,0,1,0.001,0.0,1.0,1,0.33333333333333337
61,Israel,,2020-03-22,1268,1,19,1253,0,5,0.0039904229848363925,0.0,1.0,5,0.0
62,Israel,,2020-03-23,1620,1,26,1600,0,7,0.004375,0.0,1.0,7,0.0
63,Israel,,2020-03-24,2043,4,31,2016,3,5,0.003968253968253968,0.375,0.625,8,-0.375
64,Israel,,2020-03-25,2468,5,37,2433,1,6,0.002877106452938759,0.14285714285714285,0.8571428571428571,7,0.2321428571428571
65,Israel,,2020-03-26,2988,10,49,2946,5,12,0.005770536320434488,0.29411764705882354,0.7058823529411765,17,-0.15126050420168058
