Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
50,Jamaica,,2020-03-11,1,0,0,1,0,0,0.0,,,0,
51,Jamaica,,2020-03-12,2,0,0,2,0,0,0.0,,,0,
52,Jamaica,,2020-03-13,8,0,0,8,0,0,0.0,,,0,
53,Jamaica,,2020-03-14,8,0,0,8,0,0,0.0,,,0,
54,Jamaica,,2020-03-15,10,0,0,10,0,0,0.0,,,0,
55,Jamaica,,2020-03-16,10,0,2,10,0,2,0.2,0.0,1.0,2,
56,Jamaica,,2020-03-17,12,0,2,10,0,0,0.0,,,0,
57,Jamaica,,2020-03-18,13,0,2,11,0,0,0.0,,,0,
58,Jamaica,,2020-03-19,15,1,2,13,1,0,0.07692307692307693,1.0,0.0,1,
59,Jamaica,,2020-03-20,16,1,2,13,0,0,0.0,,,0,
60,Jamaica,,2020-03-21,16,1,2,13,0,0,0.0,,,0,
61,Jamaica,,2020-03-22,19,1,2,16,0,0,0.0,,,0,
62,Jamaica,,2020-03-23,19,1,2,16,0,0,0.0,,,0,
63,Jamaica,,2020-03-24,21,1,2,18,0,0,0.0,,,0,
64,Jamaica,,2020-03-25,26,1,2,23,0,0,0.0,,,0,
65,Jamaica,,2020-03-26,26,1,2,23,0,0,0.0,,,0,
66,Jamaica,,2020-03-27,26,1,2,23,0,0,0.0,,,0,
67,Jamaica,,2020-03-28,30,1,2,27,0,0,0.0,,,0,
68,Jamaica,,2020-03-29,32,1,2,29,0,0,0.0,,,0,
69,Jamaica,,2020-03-30,36,1,2,33,0,0,0.0,,,0,
70,Jamaica,,2020-03-31,36,1,2,33,0,0,0.0,,,0,
71,Jamaica,,2020-04-01,44,3,2,41,2,0,0.04878048780487805,1.0,0.0,2,
72,Jamaica,,2020-04-02,47,3,2,42,0,0,0.0,,,0,
73,Jamaica,,2020-04-03,47,3,2,42,0,0,0.0,,,0,
74,Jamaica,,2020-04-04,53,3,7,48,0,5,0.10416666666666667,0.0,1.0,5,
75,Jamaica,,2020-04-05,58,3,8,48,0,1,0.020833333333333332,0.0,1.0,1,0.0
76,Jamaica,,2020-04-06,58,3,8,47,0,0,0.0,,,0,
77,Jamaica,,2020-04-07,63,3,8,52,0,0,0.0,,,0,
78,Jamaica,,2020-04-08,63,4,10,52,1,2,0.057692307692307696,0.3333333333333333,0.6666666666666666,3,
79,Jamaica,,2020-04-09,63,4,12,49,0,2,0.04081632653061224,0.0,1.0,2,0.33333333333333337
80,Jamaica,,2020-04-10,63,4,13,47,0,1,0.02127659574468085,0.0,1.0,1,0.0
81,Jamaica,,2020-04-11,65,4,13,48,0,0,0.0,,,0,
82,Jamaica,,2020-04-12,69,4,13,52,0,0,0.0,,,0,
83,Jamaica,,2020-04-13,73,4,19,56,0,6,0.10714285714285714,0.0,1.0,6,
84,Jamaica,,2020-04-14,73,4,19,50,0,0,0.0,,,0,
85,Jamaica,,2020-04-15,125,5,21,102,1,2,0.029411764705882353,0.3333333333333333,0.6666666666666666,3,
86,Jamaica,,2020-04-16,143,5,21,117,0,0,0.0,,,0,
87,Jamaica,,2020-04-17,143,5,25,117,0,4,0.03418803418803419,0.0,1.0,4,
88,Jamaica,,2020-04-18,163,5,25,133,0,0,0.0,,,0,
89,Jamaica,,2020-04-19,173,5,27,143,0,2,0.013986013986013986,0.0,1.0,2,
90,Jamaica,,2020-04-20,223,5,27,191,0,0,0.0,,,0,
91,Jamaica,,2020-04-21,223,6,27,191,1,0,0.005235602094240838,1.0,0.0,1,
92,Jamaica,,2020-04-22,233,6,27,200,0,0,0.0,,,0,
93,Jamaica,,2020-04-23,257,6,28,224,0,1,0.004464285714285714,0.0,1.0,1,
94,Jamaica,,2020-04-24,288,7,28,254,1,0,0.003937007874015748,1.0,0.0,1,-1.0
95,Jamaica,,2020-04-25,305,7,28,270,0,0,0.0,,,0,
96,Jamaica,,2020-04-26,350,7,28,315,0,0,0.0,,,0,
97,Jamaica,,2020-04-27,364,7,29,329,0,1,0.00303951367781155,0.0,1.0,1,
98,Jamaica,,2020-04-28,364,7,29,328,0,0,0.0,,,0,
99,Jamaica,,2020-04-29,396,7,29,360,0,0,0.0,,,0,
100,Jamaica,,2020-04-30,422,8,29,386,1,0,0.0025906735751295338,1.0,0.0,1,
101,Jamaica,,2020-05-01,432,8,31,395,0,2,0.005063291139240506,0.0,1.0,2,1.0
102,Jamaica,,2020-05-02,463,8,33,424,0,2,0.0047169811320754715,0.0,1.0,2,0.0
103,Jamaica,,2020-05-03,469,9,38,428,1,5,0.014018691588785047,0.16666666666666666,0.8333333333333334,6,-0.16666666666666663
104,Jamaica,,2020-05-04,471,9,38,424,0,0,0.0,,,0,
105,Jamaica,,2020-05-05,473,9,56,426,0,18,0.04225352112676056,0.0,1.0,18,
106,Jamaica,,2020-05-06,478,9,57,413,0,1,0.002421307506053269,0.0,1.0,1,0.0
107,Jamaica,,2020-05-07,488,9,58,422,0,1,0.002369668246445498,0.0,1.0,1,0.0
108,Jamaica,,2020-05-08,490,9,62,423,0,4,0.009456264775413711,0.0,1.0,4,0.0
109,Jamaica,,2020-05-09,490,9,62,419,0,0,0.0,,,0,
110,Jamaica,,2020-05-10,502,9,90,431,0,28,0.06496519721577726,0.0,1.0,28,
111,Jamaica,,2020-05-11,505,9,90,406,0,0,0.0,,,0,
112,Jamaica,,2020-05-12,507,9,100,408,0,10,0.024509803921568627,0.0,1.0,10,
113,Jamaica,,2020-05-13,509,9,113,400,0,13,0.0325,0.0,1.0,13,0.0
114,Jamaica,,2020-05-14,509,9,118,387,0,5,0.012919896640826873,0.0,1.0,5,0.0
115,Jamaica,,2020-05-15,511,9,121,384,0,3,0.0078125,0.0,1.0,3,0.0
116,Jamaica,,2020-05-16,517,9,121,387,0,0,0.0,,,0,
117,Jamaica,,2020-05-17,520,9,127,390,0,6,0.015384615384615385,0.0,1.0,6,
118,Jamaica,,2020-05-18,520,9,131,384,0,4,0.010416666666666666,0.0,1.0,4,0.0
119,Jamaica,,2020-05-19,520,9,145,380,0,14,0.03684210526315789,0.0,1.0,14,0.0
120,Jamaica,,2020-05-20,529,9,171,375,0,26,0.06933333333333333,0.0,1.0,26,0.0
121,Jamaica,,2020-05-21,534,9,181,354,0,10,0.02824858757062147,0.0,1.0,10,0.0
122,Jamaica,,2020-05-22,544,9,191,354,0,10,0.02824858757062147,0.0,1.0,10,0.0
123,Jamaica,,2020-05-23,550,9,200,350,0,9,0.025714285714285714,0.0,1.0,9,0.0
124,Jamaica,,2020-05-24,552,9,211,343,0,11,0.03206997084548105,0.0,1.0,11,0.0
125,Jamaica,,2020-05-25,556,9,238,336,0,27,0.08035714285714286,0.0,1.0,27,0.0
126,Jamaica,,2020-05-26,564,9,267,317,0,29,0.0914826498422713,0.0,1.0,29,0.0
127,Jamaica,,2020-05-27,569,9,279,293,0,12,0.040955631399317405,0.0,1.0,12,0.0
