Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
67,MS Zaandam,,2020-03-28,2,0,0,2,0,0,0.0,,,0,
68,MS Zaandam,,2020-03-29,2,0,0,2,0,0,0.0,,,0,
69,MS Zaandam,,2020-03-30,2,0,0,2,0,0,0.0,,,0,
70,MS Zaandam,,2020-03-31,2,0,0,2,0,0,0.0,,,0,
71,MS Zaandam,,2020-04-01,9,2,0,9,2,0,0.2222222222222222,1.0,0.0,2,
72,MS Zaandam,,2020-04-02,9,2,0,7,0,0,0.0,,,0,
73,MS Zaandam,,2020-04-03,9,2,0,7,0,0,0.0,,,0,
74,MS Zaandam,,2020-04-04,9,2,0,7,0,0,0.0,,,0,
75,MS Zaandam,,2020-04-05,9,2,0,7,0,0,0.0,,,0,
76,MS Zaandam,,2020-04-06,9,2,0,7,0,0,0.0,,,0,
77,MS Zaandam,,2020-04-07,9,2,0,7,0,0,0.0,,,0,
78,MS Zaandam,,2020-04-08,9,2,0,7,0,0,0.0,,,0,
79,MS Zaandam,,2020-04-09,9,2,0,7,0,0,0.0,,,0,
80,MS Zaandam,,2020-04-10,9,2,0,7,0,0,0.0,,,0,
81,MS Zaandam,,2020-04-11,9,2,0,7,0,0,0.0,,,0,
82,MS Zaandam,,2020-04-12,9,2,0,7,0,0,0.0,,,0,
83,MS Zaandam,,2020-04-13,9,2,0,7,0,0,0.0,,,0,
84,MS Zaandam,,2020-04-14,9,2,0,7,0,0,0.0,,,0,
85,MS Zaandam,,2020-04-15,9,2,0,7,0,0,0.0,,,0,
86,MS Zaandam,,2020-04-16,9,2,0,7,0,0,0.0,,,0,
87,MS Zaandam,,2020-04-17,9,2,0,7,0,0,0.0,,,0,
88,MS Zaandam,,2020-04-18,9,2,0,7,0,0,0.0,,,0,
89,MS Zaandam,,2020-04-19,9,2,0,7,0,0,0.0,,,0,
90,MS Zaandam,,2020-04-20,9,2,0,7,0,0,0.0,,,0,
91,MS Zaandam,,2020-04-21,9,2,0,7,0,0,0.0,,,0,
92,MS Zaandam,,2020-04-22,9,2,0,7,0,0,0.0,,,0,
93,MS Zaandam,,2020-04-23,9,2,0,7,0,0,0.0,,,0,
94,MS Zaandam,,2020-04-24,9,2,0,7,0,0,0.0,,,0,
95,MS Zaandam,,2020-04-25,9,2,0,7,0,0,0.0,,,0,
96,MS Zaandam,,2020-04-26,9,2,0,7,0,0,0.0,,,0,
97,MS Zaandam,,2020-04-27,9,2,0,7,0,0,0.0,,,0,
98,MS Zaandam,,2020-04-28,9,2,0,7,0,0,0.0,,,0,
99,MS Zaandam,,2020-04-29,9,2,0,7,0,0,0.0,,,0,
100,MS Zaandam,,2020-04-30,9,2,0,7,0,0,0.0,,,0,
101,MS Zaandam,,2020-05-01,9,2,0,7,0,0,0.0,,,0,
102,MS Zaandam,,2020-05-02,9,2,0,7,0,0,0.0,,,0,
103,MS Zaandam,,2020-05-03,9,2,0,7,0,0,0.0,,,0,
104,MS Zaandam,,2020-05-04,9,2,0,7,0,0,0.0,,,0,
105,MS Zaandam,,2020-05-05,9,2,0,7,0,0,0.0,,,0,
106,MS Zaandam,,2020-05-06,9,2,0,7,0,0,0.0,,,0,
107,MS Zaandam,,2020-05-07,9,2,0,7,0,0,0.0,,,0,
108,MS Zaandam,,2020-05-08,9,2,0,7,0,0,0.0,,,0,
109,MS Zaandam,,2020-05-09,9,2,0,7,0,0,0.0,,,0,
110,MS Zaandam,,2020-05-10,9,2,0,7,0,0,0.0,,,0,
111,MS Zaandam,,2020-05-11,9,2,0,7,0,0,0.0,,,0,
112,MS Zaandam,,2020-05-12,9,2,0,7,0,0,0.0,,,0,
113,MS Zaandam,,2020-05-13,9,2,0,7,0,0,0.0,,,0,
114,MS Zaandam,,2020-05-14,9,2,0,7,0,0,0.0,,,0,
115,MS Zaandam,,2020-05-15,9,2,0,7,0,0,0.0,,,0,
116,MS Zaandam,,2020-05-16,9,2,0,7,0,0,0.0,,,0,
117,MS Zaandam,,2020-05-17,9,2,0,7,0,0,0.0,,,0,
118,MS Zaandam,,2020-05-18,9,2,0,7,0,0,0.0,,,0,
119,MS Zaandam,,2020-05-19,9,2,0,7,0,0,0.0,,,0,
120,MS Zaandam,,2020-05-20,9,2,0,7,0,0,0.0,,,0,
121,MS Zaandam,,2020-05-21,9,2,0,7,0,0,0.0,,,0,
122,MS Zaandam,,2020-05-22,9,2,0,7,0,0,0.0,,,0,
123,MS Zaandam,,2020-05-23,9,2,0,7,0,0,0.0,,,0,
124,MS Zaandam,,2020-05-24,9,2,0,7,0,0,0.0,,,0,
125,MS Zaandam,,2020-05-25,9,2,0,7,0,0,0.0,,,0,
126,MS Zaandam,,2020-05-26,9,2,0,7,0,0,0.0,,,0,
127,MS Zaandam,,2020-05-27,9,2,0,7,0,0,0.0,,,0,
128,MS Zaandam,,2020-05-28,9,2,0,7,0,0,0.0,,,0,
129,MS Zaandam,,2020-05-29,9,2,0,7,0,0,0.0,,,0,
130,MS Zaandam,,2020-05-30,9,2,0,7,0,0,0.0,,,0,
131,MS Zaandam,,2020-05-31,9,2,0,7,0,0,0.0,,,0,
132,MS Zaandam,,2020-06-01,9,2,0,7,0,0,0.0,,,0,
133,MS Zaandam,,2020-06-02,9,2,0,7,0,0,0.0,,,0,
134,MS Zaandam,,2020-06-03,9,2,0,7,0,0,0.0,,,0,
135,MS Zaandam,,2020-06-04,9,2,0,7,0,0,0.0,,,0,
136,MS Zaandam,,2020-06-05,9,2,0,7,0,0,0.0,,,0,
137,MS Zaandam,,2020-06-06,9,2,0,7,0,0,0.0,,,0,
138,MS Zaandam,,2020-06-07,9,2,0,7,0,0,0.0,,,0,
139,MS Zaandam,,2020-06-08,9,2,0,7,0,0,0.0,,,0,
140,MS Zaandam,,2020-06-09,9,2,0,7,0,0,0.0,,,0,
141,MS Zaandam,,2020-06-10,9,2,0,7,0,0,0.0,,,0,
142,MS Zaandam,,2020-06-11,9,2,0,7,0,0,0.0,,,0,
143,MS Zaandam,,2020-06-12,9,2,0,7,0,0,0.0,,,0,
144,MS Zaandam,,2020-06-13,9,2,0,7,0,0,0.0,,,0,
145,MS Zaandam,,2020-06-14,9,2,0,7,0,0,0.0,,,0,
146,MS Zaandam,,2020-06-15,9,2,0,7,0,0,0.0,,,0,
147,MS Zaandam,,2020-06-16,9,2,0,7,0,0,0.0,,,0,
148,MS Zaandam,,2020-06-17,9,2,0,7,0,0,0.0,,,0,
149,MS Zaandam,,2020-06-18,9,2,0,7,0,0,0.0,,,0,
150,MS Zaandam,,2020-06-19,9,2,0,7,0,0,0.0,,,0,
151,MS Zaandam,,2020-06-20,9,2,0,7,0,0,0.0,,,0,
152,MS Zaandam,,2020-06-21,9,2,0,7,0,0,0.0,,,0,
153,MS Zaandam,,2020-06-22,9,2,0,7,0,0,0.0,,,0,
154,MS Zaandam,,2020-06-23,9,2,0,7,0,0,0.0,,,0,
155,MS Zaandam,,2020-06-24,9,2,0,7,0,0,0.0,,,0,
156,MS Zaandam,,2020-06-25,9,2,0,7,0,0,0.0,,,0,
157,MS Zaandam,,2020-06-26,9,2,0,7,0,0,0.0,,,0,
158,MS Zaandam,,2020-06-27,9,2,0,7,0,0,0.0,,,0,
159,MS Zaandam,,2020-06-28,9,2,0,7,0,0,0.0,,,0,
160,MS Zaandam,,2020-06-29,9,2,0,7,0,0,0.0,,,0,
161,MS Zaandam,,2020-06-30,9,2,0,7,0,0,0.0,,,0,
162,MS Zaandam,,2020-07-01,9,2,0,7,0,0,0.0,,,0,
163,MS Zaandam,,2020-07-02,9,2,0,7,0,0,0.0,,,0,
164,MS Zaandam,,2020-07-03,9,2,0,7,0,0,0.0,,,0,
165,MS Zaandam,,2020-07-04,9,2,0,7,0,0,0.0,,,0,
166,MS Zaandam,,2020-07-05,9,2,0,7,0,0,0.0,,,0,
167,MS Zaandam,,2020-07-06,9,2,0,7,0,0,0.0,,,0,
168,MS Zaandam,,2020-07-07,9,2,0,7,0,0,0.0,,,0,
169,MS Zaandam,,2020-07-08,9,2,0,7,0,0,0.0,,,0,
170,MS Zaandam,,2020-07-09,9,2,0,7,0,0,0.0,,,0,
171,MS Zaandam,,2020-07-10,9,2,0,7,0,0,0.0,,,0,
172,MS Zaandam,,2020-07-11,9,2,0,7,0,0,0.0,,,0,
173,MS Zaandam,,2020-07-12,9,2,0,7,0,0,0.0,,,0,
174,MS Zaandam,,2020-07-13,9,2,0,7,0,0,0.0,,,0,
175,MS Zaandam,,2020-07-14,9,2,0,7,0,0,0.0,,,0,
176,MS Zaandam,,2020-07-15,9,2,0,7,0,0,0.0,,,0,
177,MS Zaandam,,2020-07-16,9,2,0,7,0,0,0.0,,,0,
178,MS Zaandam,,2020-07-17,9,2,0,7,0,0,0.0,,,0,
179,MS Zaandam,,2020-07-18,9,2,0,7,0,0,0.0,,,0,
180,MS Zaandam,,2020-07-19,9,2,0,7,0,0,0.0,,,0,
181,MS Zaandam,,2020-07-20,9,2,0,7,0,0,0.0,,,0,
182,MS Zaandam,,2020-07-21,9,2,0,7,0,0,0.0,,,0,
183,MS Zaandam,,2020-07-22,9,2,0,7,0,0,0.0,,,0,
184,MS Zaandam,,2020-07-23,9,2,0,7,0,0,0.0,,,0,
185,MS Zaandam,,2020-07-24,9,2,0,7,0,0,0.0,,,0,
186,MS Zaandam,,2020-07-25,9,2,0,7,0,0,0.0,,,0,
187,MS Zaandam,,2020-07-26,9,2,0,7,0,0,0.0,,,0,
188,MS Zaandam,,2020-07-27,9,2,0,7,0,0,0.0,,,0,
189,MS Zaandam,,2020-07-28,9,2,0,7,0,0,0.0,,,0,
190,MS Zaandam,,2020-07-29,9,2,0,7,0,0,0.0,,,0,
191,MS Zaandam,,2020-07-30,9,2,0,7,0,0,0.0,,,0,
192,MS Zaandam,,2020-07-31,9,2,0,7,0,0,0.0,,,0,
193,MS Zaandam,,2020-08-01,9,2,0,7,0,0,0.0,,,0,
194,MS Zaandam,,2020-08-02,9,2,0,7,0,0,0.0,,,0,
195,MS Zaandam,,2020-08-03,9,2,0,7,0,0,0.0,,,0,
196,MS Zaandam,,2020-08-04,9,2,0,7,0,0,0.0,,,0,
197,MS Zaandam,,2020-08-05,9,2,0,7,0,0,0.0,,,0,
198,MS Zaandam,,2020-08-06,9,2,0,7,0,0,0.0,,,0,
199,MS Zaandam,,2020-08-07,9,2,0,7,0,0,0.0,,,0,
200,MS Zaandam,,2020-08-08,9,2,0,7,0,0,0.0,,,0,
201,MS Zaandam,,2020-08-09,9,2,0,7,0,0,0.0,,,0,
202,MS Zaandam,,2020-08-10,9,2,0,7,0,0,0.0,,,0,
203,MS Zaandam,,2020-08-11,9,2,0,7,0,0,0.0,,,0,
204,MS Zaandam,,2020-08-12,9,2,0,7,0,0,0.0,,,0,
205,MS Zaandam,,2020-08-13,9,2,0,7,0,0,0.0,,,0,
206,MS Zaandam,,2020-08-14,9,2,0,7,0,0,0.0,,,0,
207,MS Zaandam,,2020-08-15,9,2,0,7,0,0,0.0,,,0,
208,MS Zaandam,,2020-08-16,9,2,0,7,0,0,0.0,,,0,
209,MS Zaandam,,2020-08-17,9,2,0,7,0,0,0.0,,,0,
210,MS Zaandam,,2020-08-18,9,2,0,7,0,0,0.0,,,0,
211,MS Zaandam,,2020-08-19,9,2,0,7,0,0,0.0,,,0,
212,MS Zaandam,,2020-08-20,9,2,0,7,0,0,0.0,,,0,
213,MS Zaandam,,2020-08-21,9,2,0,7,0,0,0.0,,,0,
214,MS Zaandam,,2020-08-22,9,2,0,7,0,0,0.0,,,0,
215,MS Zaandam,,2020-08-23,9,2,0,7,0,0,0.0,,,0,
216,MS Zaandam,,2020-08-24,9,2,0,7,0,0,0.0,,,0,
217,MS Zaandam,,2020-08-25,9,2,0,7,0,0,0.0,,,0,
218,MS Zaandam,,2020-08-26,9,2,0,7,0,0,0.0,,,0,
219,MS Zaandam,,2020-08-27,9,2,0,7,0,0,0.0,,,0,
220,MS Zaandam,,2020-08-28,9,2,0,7,0,0,0.0,,,0,
221,MS Zaandam,,2020-08-29,9,2,0,7,0,0,0.0,,,0,
222,MS Zaandam,,2020-08-30,9,2,0,7,0,0,0.0,,,0,
223,MS Zaandam,,2020-08-31,9,2,0,7,0,0,0.0,,,0,
224,MS Zaandam,,2020-09-01,9,2,0,7,0,0,0.0,,,0,
225,MS Zaandam,,2020-09-02,9,2,0,7,0,0,0.0,,,0,
226,MS Zaandam,,2020-09-03,9,2,0,7,0,0,0.0,,,0,
227,MS Zaandam,,2020-09-04,9,2,0,7,0,0,0.0,,,0,
228,MS Zaandam,,2020-09-05,9,2,0,7,0,0,0.0,,,0,
229,MS Zaandam,,2020-09-06,9,2,0,7,0,0,0.0,,,0,
230,MS Zaandam,,2020-09-07,9,2,0,7,0,0,0.0,,,0,
231,MS Zaandam,,2020-09-08,9,2,0,7,0,0,0.0,,,0,
232,MS Zaandam,,2020-09-09,9,2,0,7,0,0,0.0,,,0,
233,MS Zaandam,,2020-09-10,9,2,0,7,0,0,0.0,,,0,
234,MS Zaandam,,2020-09-11,9,2,0,7,0,0,0.0,,,0,
235,MS Zaandam,,2020-09-12,9,2,0,7,0,0,0.0,,,0,
236,MS Zaandam,,2020-09-13,9,2,0,7,0,0,0.0,,,0,
237,MS Zaandam,,2020-09-14,9,2,0,7,0,0,0.0,,,0,
238,MS Zaandam,,2020-09-15,9,2,0,7,0,0,0.0,,,0,
239,MS Zaandam,,2020-09-16,9,2,0,7,0,0,0.0,,,0,
240,MS Zaandam,,2020-09-17,9,2,0,7,0,0,0.0,,,0,
241,MS Zaandam,,2020-09-18,9,2,0,7,0,0,0.0,,,0,
242,MS Zaandam,,2020-09-19,9,2,0,7,0,0,0.0,,,0,
243,MS Zaandam,,2020-09-20,9,2,0,7,0,0,0.0,,,0,
244,MS Zaandam,,2020-09-21,9,2,0,7,0,0,0.0,,,0,
245,MS Zaandam,,2020-09-22,9,2,0,7,0,0,0.0,,,0,
246,MS Zaandam,,2020-09-23,9,2,0,7,0,0,0.0,,,0,
247,MS Zaandam,,2020-09-24,9,2,0,7,0,0,0.0,,,0,
248,MS Zaandam,,2020-09-25,9,2,0,7,0,0,0.0,,,0,
249,MS Zaandam,,2020-09-26,9,2,0,7,0,0,0.0,,,0,
250,MS Zaandam,,2020-09-27,9,2,0,7,0,0,0.0,,,0,
251,MS Zaandam,,2020-09-28,9,2,0,7,0,0,0.0,,,0,
252,MS Zaandam,,2020-09-29,9,2,0,7,0,0,0.0,,,0,
253,MS Zaandam,,2020-09-30,9,2,0,7,0,0,0.0,,,0,
254,MS Zaandam,,2020-10-01,9,2,0,7,0,0,0.0,,,0,
255,MS Zaandam,,2020-10-02,9,2,0,7,0,0,0.0,,,0,
256,MS Zaandam,,2020-10-03,9,2,0,7,0,0,0.0,,,0,
257,MS Zaandam,,2020-10-04,9,2,0,7,0,0,0.0,,,0,
258,MS Zaandam,,2020-10-05,9,2,0,7,0,0,0.0,,,0,
259,MS Zaandam,,2020-10-06,9,2,0,7,0,0,0.0,,,0,
260,MS Zaandam,,2020-10-07,9,2,0,7,0,0,0.0,,,0,
261,MS Zaandam,,2020-10-08,9,2,0,7,0,0,0.0,,,0,
262,MS Zaandam,,2020-10-09,9,2,0,7,0,0,0.0,,,0,
263,MS Zaandam,,2020-10-10,9,2,0,7,0,0,0.0,,,0,
264,MS Zaandam,,2020-10-11,9,2,0,7,0,0,0.0,,,0,
265,MS Zaandam,,2020-10-12,9,2,0,7,0,0,0.0,,,0,
266,MS Zaandam,,2020-10-13,9,2,0,7,0,0,0.0,,,0,
267,MS Zaandam,,2020-10-14,9,2,0,7,0,0,0.0,,,0,
268,MS Zaandam,,2020-10-15,9,2,0,7,0,0,0.0,,,0,
269,MS Zaandam,,2020-10-16,9,2,0,7,0,0,0.0,,,0,
270,MS Zaandam,,2020-10-17,9,2,0,7,0,0,0.0,,,0,
271,MS Zaandam,,2020-10-18,9,2,0,7,0,0,0.0,,,0,
272,MS Zaandam,,2020-10-19,9,2,0,7,0,0,0.0,,,0,
273,MS Zaandam,,2020-10-20,9,2,0,7,0,0,0.0,,,0,
274,MS Zaandam,,2020-10-21,9,2,0,7,0,0,0.0,,,0,
275,MS Zaandam,,2020-10-22,9,2,0,7,0,0,0.0,,,0,
276,MS Zaandam,,2020-10-23,9,2,0,7,0,0,0.0,,,0,
277,MS Zaandam,,2020-10-24,9,2,0,7,0,0,0.0,,,0,
278,MS Zaandam,,2020-10-25,9,2,0,7,0,0,0.0,,,0,
279,MS Zaandam,,2020-10-26,9,2,0,7,0,0,0.0,,,0,
280,MS Zaandam,,2020-10-27,9,2,0,7,0,0,0.0,,,0,
281,MS Zaandam,,2020-10-28,9,2,0,7,0,0,0.0,,,0,
282,MS Zaandam,,2020-10-29,9,2,0,7,0,0,0.0,,,0,
283,MS Zaandam,,2020-10-30,9,2,0,7,0,0,0.0,,,0,
284,MS Zaandam,,2020-10-31,9,2,0,7,0,0,0.0,,,0,
285,MS Zaandam,,2020-11-01,9,2,0,7,0,0,0.0,,,0,
286,MS Zaandam,,2020-11-02,9,2,0,7,0,0,0.0,,,0,
287,MS Zaandam,,2020-11-03,9,2,0,7,0,0,0.0,,,0,
288,MS Zaandam,,2020-11-04,9,2,0,7,0,0,0.0,,,0,
289,MS Zaandam,,2020-11-05,9,2,0,7,0,0,0.0,,,0,
290,MS Zaandam,,2020-11-06,9,2,0,7,0,0,0.0,,,0,
291,MS Zaandam,,2020-11-07,9,2,0,7,0,0,0.0,,,0,
292,MS Zaandam,,2020-11-08,9,2,0,7,0,0,0.0,,,0,
293,MS Zaandam,,2020-11-09,9,2,0,7,0,0,0.0,,,0,
294,MS Zaandam,,2020-11-10,9,2,0,7,0,0,0.0,,,0,
295,MS Zaandam,,2020-11-11,9,2,0,7,0,0,0.0,,,0,
296,MS Zaandam,,2020-11-12,9,2,0,7,0,0,0.0,,,0,
297,MS Zaandam,,2020-11-13,9,2,0,7,0,0,0.0,,,0,
298,MS Zaandam,,2020-11-14,9,2,0,7,0,0,0.0,,,0,
299,MS Zaandam,,2020-11-15,9,2,0,7,0,0,0.0,,,0,
300,MS Zaandam,,2020-11-16,9,2,0,7,0,0,0.0,,,0,
301,MS Zaandam,,2020-11-17,9,2,0,7,0,0,0.0,,,0,
302,MS Zaandam,,2020-11-18,9,2,0,7,0,0,0.0,,,0,
303,MS Zaandam,,2020-11-19,9,2,0,7,0,0,0.0,,,0,
304,MS Zaandam,,2020-11-20,9,2,0,7,0,0,0.0,,,0,
305,MS Zaandam,,2020-11-21,9,2,0,7,0,0,0.0,,,0,
306,MS Zaandam,,2020-11-22,9,2,0,7,0,0,0.0,,,0,
307,MS Zaandam,,2020-11-23,9,2,0,7,0,0,0.0,,,0,
308,MS Zaandam,,2020-11-24,9,2,0,7,0,0,0.0,,,0,
309,MS Zaandam,,2020-11-25,9,2,0,7,0,0,0.0,,,0,
310,MS Zaandam,,2020-11-26,9,2,0,7,0,0,0.0,,,0,
311,MS Zaandam,,2020-11-27,9,2,0,7,0,0,0.0,,,0,
312,MS Zaandam,,2020-11-28,9,2,0,7,0,0,0.0,,,0,
313,MS Zaandam,,2020-11-29,9,2,0,7,0,0,0.0,,,0,
314,MS Zaandam,,2020-11-30,9,2,0,7,0,0,0.0,,,0,
315,MS Zaandam,,2020-12-01,9,2,0,7,0,0,0.0,,,0,
316,MS Zaandam,,2020-12-02,9,2,0,7,0,0,0.0,,,0,
317,MS Zaandam,,2020-12-03,9,2,7,7,0,7,1.0,0.0,1.0,7,
318,MS Zaandam,,2020-12-04,9,2,7,0,0,0,,,,0,
319,MS Zaandam,,2020-12-05,9,2,7,0,0,0,,,,0,
320,MS Zaandam,,2020-12-06,9,2,7,0,0,0,,,,0,
321,MS Zaandam,,2020-12-07,9,2,7,0,0,0,,,,0,
322,MS Zaandam,,2020-12-08,9,2,7,0,0,0,,,,0,
323,MS Zaandam,,2020-12-09,9,2,7,0,0,0,,,,0,
324,MS Zaandam,,2020-12-10,9,2,7,0,0,0,,,,0,
325,MS Zaandam,,2020-12-11,9,2,7,0,0,0,,,,0,
326,MS Zaandam,,2020-12-12,9,2,7,0,0,0,,,,0,
327,MS Zaandam,,2020-12-13,9,2,7,0,0,0,,,,0,
328,MS Zaandam,,2020-12-14,9,2,7,0,0,0,,,,0,
329,MS Zaandam,,2020-12-15,9,2,7,0,0,0,,,,0,
330,MS Zaandam,,2020-12-16,9,2,7,0,0,0,,,,0,
331,MS Zaandam,,2020-12-17,9,2,7,0,0,0,,,,0,
