Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
2,Mexico,,2020-01-23,,,,,,,,,,,
38,Mexico,,2020-02-28,1,0,0,,,,,,,,
39,Mexico,,2020-02-29,4,0,0,4,0,0,0.0,,,0,
40,Mexico,,2020-03-01,5,0,0,5,0,0,0.0,,,0,
41,Mexico,,2020-03-02,5,0,0,5,0,0,0.0,,,0,
42,Mexico,,2020-03-03,5,0,1,5,0,1,0.2,0.0,1.0,1,
43,Mexico,,2020-03-04,5,0,1,4,0,0,0.0,,,0,
44,Mexico,,2020-03-05,5,0,1,4,0,0,0.0,,,0,
45,Mexico,,2020-03-06,6,0,1,5,0,0,0.0,,,0,
46,Mexico,,2020-03-07,6,0,1,5,0,0,0.0,,,0,
47,Mexico,,2020-03-08,7,0,1,6,0,0,0.0,,,0,
48,Mexico,,2020-03-09,7,0,1,6,0,0,0.0,,,0,
49,Mexico,,2020-03-10,7,0,4,6,0,3,0.5,0.0,1.0,3,
50,Mexico,,2020-03-11,8,0,4,4,0,0,0.0,,,0,
51,Mexico,,2020-03-12,12,0,4,8,0,0,0.0,,,0,
52,Mexico,,2020-03-13,12,0,4,8,0,0,0.0,,,0,
53,Mexico,,2020-03-14,26,0,4,22,0,0,0.0,,,0,
54,Mexico,,2020-03-15,41,0,4,37,0,0,0.0,,,0,
55,Mexico,,2020-03-16,53,0,4,49,0,0,0.0,,,0,
56,Mexico,,2020-03-17,82,0,4,78,0,0,0.0,,,0,
57,Mexico,,2020-03-18,93,0,4,89,0,0,0.0,,,0,
58,Mexico,,2020-03-19,118,1,4,114,1,0,0.008771929824561403,1.0,0.0,1,
59,Mexico,,2020-03-20,164,1,4,159,0,0,0.0,,,0,
60,Mexico,,2020-03-21,203,2,4,198,1,0,0.005050505050505051,1.0,0.0,1,
61,Mexico,,2020-03-22,251,2,4,245,0,0,0.0,,,0,
62,Mexico,,2020-03-23,316,3,4,310,1,0,0.0032258064516129032,1.0,0.0,1,
63,Mexico,,2020-03-24,367,4,4,360,1,0,0.002777777777777778,1.0,0.0,1,0.0
64,Mexico,,2020-03-25,405,5,4,397,1,0,0.0025188916876574307,1.0,0.0,1,0.0
65,Mexico,,2020-03-26,475,6,4,466,1,0,0.002145922746781116,1.0,0.0,1,0.0
66,Mexico,,2020-03-27,585,8,4,575,2,0,0.0034782608695652175,1.0,0.0,2,0.0
67,Mexico,,2020-03-28,717,12,4,705,4,0,0.005673758865248227,1.0,0.0,4,0.0
68,Mexico,,2020-03-29,848,16,4,832,4,0,0.004807692307692308,1.0,0.0,4,0.0
69,Mexico,,2020-03-30,993,20,35,973,4,31,0.03597122302158273,0.11428571428571428,0.8857142857142857,35,0.8857142857142857
