Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
132,Russia,Altai Republic,2020-06-01,132,0,74,132,0,74,0.5606060606060606,0.0,1.0,74,
133,Russia,Altai Republic,2020-06-02,133,0,80,59,0,6,0.1016949152542373,0.0,1.0,6,0.0
134,Russia,Altai Republic,2020-06-03,138,0,84,58,0,4,0.06896551724137931,0.0,1.0,4,0.0
135,Russia,Altai Republic,2020-06-04,154,0,88,70,0,4,0.05714285714285714,0.0,1.0,4,0.0
136,Russia,Altai Republic,2020-06-05,156,0,91,68,0,3,0.04411764705882353,0.0,1.0,3,0.0
137,Russia,Altai Republic,2020-06-06,163,0,95,72,0,4,0.05555555555555555,0.0,1.0,4,0.0
138,Russia,Altai Republic,2020-06-07,172,0,100,77,0,5,0.06493506493506493,0.0,1.0,5,0.0
139,Russia,Altai Republic,2020-06-08,180,0,101,80,0,1,0.0125,0.0,1.0,1,0.0
140,Russia,Altai Republic,2020-06-09,190,0,104,89,0,3,0.033707865168539325,0.0,1.0,3,0.0
141,Russia,Altai Republic,2020-06-10,204,0,109,100,0,5,0.05,0.0,1.0,5,0.0
142,Russia,Altai Republic,2020-06-11,212,0,111,103,0,2,0.019417475728155338,0.0,1.0,2,0.0
143,Russia,Altai Republic,2020-06-12,220,0,124,109,0,13,0.11926605504587157,0.0,1.0,13,0.0
144,Russia,Altai Republic,2020-06-13,243,0,126,119,0,2,0.01680672268907563,0.0,1.0,2,0.0
145,Russia,Altai Republic,2020-06-14,256,0,128,130,0,2,0.015384615384615385,0.0,1.0,2,0.0
146,Russia,Altai Republic,2020-06-15,275,0,135,147,0,7,0.047619047619047616,0.0,1.0,7,0.0
147,Russia,Altai Republic,2020-06-16,279,0,144,144,0,9,0.0625,0.0,1.0,9,0.0
148,Russia,Altai Republic,2020-06-17,300,0,145,156,0,1,0.00641025641025641,0.0,1.0,1,0.0
149,Russia,Altai Republic,2020-06-18,334,0,151,189,0,6,0.031746031746031744,0.0,1.0,6,0.0
150,Russia,Altai Republic,2020-06-19,336,0,162,185,0,11,0.05945945945945946,0.0,1.0,11,0.0
151,Russia,Altai Republic,2020-06-20,396,0,171,234,0,9,0.038461538461538464,0.0,1.0,9,0.0
152,Russia,Altai Republic,2020-06-21,421,0,178,250,0,7,0.028,0.0,1.0,7,0.0
153,Russia,Altai Republic,2020-06-22,436,0,184,258,0,6,0.023255813953488372,0.0,1.0,6,0.0
154,Russia,Altai Republic,2020-06-23,466,0,190,282,0,6,0.02127659574468085,0.0,1.0,6,0.0
155,Russia,Altai Republic,2020-06-24,483,0,207,293,0,17,0.05802047781569966,0.0,1.0,17,0.0
156,Russia,Altai Republic,2020-06-25,511,0,215,304,0,8,0.02631578947368421,0.0,1.0,8,0.0
