Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
132,Russia,Komi Republic,2020-06-01,1352,24,704,1352,24,704,0.5384615384615384,0.03296703296703297,0.967032967032967,728,
133,Russia,Komi Republic,2020-06-02,1393,24,748,665,0,44,0.06616541353383458,0.0,1.0,44,0.03296703296703296
134,Russia,Komi Republic,2020-06-03,1426,25,801,654,1,53,0.08256880733944955,0.018518518518518517,0.9814814814814815,54,-0.01851851851851849
135,Russia,Komi Republic,2020-06-04,1455,25,816,629,0,15,0.02384737678855326,0.0,1.0,15,0.01851851851851849
136,Russia,Komi Republic,2020-06-05,1480,25,855,639,0,39,0.06103286384976526,0.0,1.0,39,0.0
137,Russia,Komi Republic,2020-06-06,1518,26,875,638,1,20,0.032915360501567396,0.047619047619047616,0.9523809523809523,21,-0.04761904761904767
138,Russia,Komi Republic,2020-06-07,1564,26,885,663,0,10,0.015082956259426848,0.0,1.0,10,0.04761904761904767
139,Russia,Komi Republic,2020-06-08,1600,26,890,689,0,5,0.00725689404934688,0.0,1.0,5,0.0
140,Russia,Komi Republic,2020-06-09,1626,27,911,710,1,21,0.030985915492957747,0.045454545454545456,0.9545454545454546,22,-0.045454545454545414
141,Russia,Komi Republic,2020-06-10,1693,27,939,755,0,28,0.03708609271523179,0.0,1.0,28,0.045454545454545414
142,Russia,Komi Republic,2020-06-11,1804,28,960,838,1,21,0.026252983293556086,0.045454545454545456,0.9545454545454546,22,-0.045454545454545414
143,Russia,Komi Republic,2020-06-12,1929,28,1019,941,0,59,0.06269925611052073,0.0,1.0,59,0.045454545454545414
144,Russia,Komi Republic,2020-06-13,2085,28,1024,1038,0,5,0.004816955684007707,0.0,1.0,5,0.0
145,Russia,Komi Republic,2020-06-14,2266,28,1025,1214,0,1,0.0008237232289950577,0.0,1.0,1,0.0
146,Russia,Komi Republic,2020-06-15,2352,28,1026,1299,0,1,0.0007698229407236335,0.0,1.0,1,0.0
147,Russia,Komi Republic,2020-06-16,2437,28,1048,1383,0,22,0.015907447577729574,0.0,1.0,22,0.0
148,Russia,Komi Republic,2020-06-17,2491,28,1101,1415,0,53,0.03745583038869258,0.0,1.0,53,0.0
149,Russia,Komi Republic,2020-06-18,2573,28,1140,1444,0,39,0.027008310249307478,0.0,1.0,39,0.0
150,Russia,Komi Republic,2020-06-19,2687,28,1189,1519,0,49,0.03225806451612903,0.0,1.0,49,0.0
151,Russia,Komi Republic,2020-06-20,2744,28,1212,1527,0,23,0.015062213490504257,0.0,1.0,23,0.0
