Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
132,Russia,Moscow,2020-06-01,183088,2553,82239,183088,2553,82239,0.4631215590317225,0.030108972544579678,0.9698910274554203,84792,
133,Russia,Moscow,2020-06-02,185374,2624,88269,100582,71,6030,0.06065697639736732,0.011637436485821996,0.988362563514178,6101,0.01847153605875762
134,Russia,Moscow,2020-06-03,187216,2685,91654,96323,61,3385,0.03577546380407587,0.017701683110853163,0.9822983168891468,3446,-0.006064246625031133
135,Russia,Moscow,2020-06-04,189214,2749,94715,94875,64,3061,0.03293807641633729,0.02048,0.97952,3125,-0.00277831688914687
136,Russia,Moscow,2020-06-05,191069,2806,97358,93605,57,2643,0.02884461300144223,0.021111111111111112,0.9788888888888889,2700,-0.0006311111111110268
137,Russia,Moscow,2020-06-06,193061,2864,100431,92897,58,3073,0.03370399474687019,0.018524433088470137,0.9814755669115298,3131,0.002586678022640898
138,Russia,Moscow,2020-06-07,195017,2919,102714,91722,55,2283,0.025490067813610694,0.02352437981180496,0.976475620188195,2338,-0.004999946723334814
139,Russia,Moscow,2020-06-08,197018,2970,104347,91385,51,1633,0.01842753187065711,0.030285035629453682,0.9697149643705463,1684,-0.006760655817648731
140,Russia,Moscow,2020-06-09,198590,3029,109737,91273,59,5390,0.05970002081667087,0.010827674802716094,0.9891723251972839,5449,0.019457360826737657
141,Russia,Moscow,2020-06-10,199785,3085,113533,87019,56,3796,0.04426619473907997,0.014537902388369679,0.9854620976116303,3852,-0.003710227585653647
142,Russia,Moscow,2020-06-11,201221,3138,115769,84603,53,2236,0.027055778163894897,0.023154215814766274,0.9768457841852337,2289,-0.008616313426396571
143,Russia,Moscow,2020-06-12,202935,3187,118024,84028,49,2255,0.027419431618032085,0.021267361111111112,0.9787326388888888,2304,0.0018868547036551275
144,Russia,Moscow,2020-06-13,204428,3231,119558,83217,44,1534,0.018962471610368074,0.02788339670468948,0.9721166032953105,1578,-0.006616035593578373
145,Russia,Moscow,2020-06-14,205905,3281,121691,83116,50,2133,0.026264497810289233,0.022904260192395786,0.9770957398076042,2183,0.004979136512293758
146,Russia,Moscow,2020-06-15,207264,3334,123240,82292,53,1549,0.01946726291741603,0.033083645443196,0.966916354556804,1602,-0.0101793852508002
147,Russia,Moscow,2020-06-16,208680,3386,126114,82106,52,2874,0.0356368596692081,0.0177717019822283,0.9822282980177717,2926,0.015311943460967647
148,Russia,Moscow,2020-06-17,209745,3434,128385,80245,48,2271,0.028898996822231914,0.02069857697283312,0.9793014230271668,2319,-0.002926874990604844
149,Russia,Moscow,2020-06-18,210785,3483,130431,78966,49,2046,0.0265304054909708,0.023389021479713605,0.9766109785202864,2095,-0.002690444506880385
150,Russia,Moscow,2020-06-19,211921,3531,132434,78007,48,2003,0.026292512210442653,0.02340321794246709,0.9765967820575329,2051,-1.4196462753579553e-05
151,Russia,Moscow,2020-06-20,212978,3565,134549,77013,34,2115,0.027904379780037136,0.01582131223825035,0.9841786877617497,2149,0.007581905704216796
152,Russia,Moscow,2020-06-21,213946,3597,135556,75832,32,1007,0.013701339803776769,0.030798845043310877,0.9692011549566891,1039,-0.014977532805060534
153,Russia,Moscow,2020-06-22,215014,3617,136670,75861,20,1114,0.014948392454620952,0.01763668430335097,0.982363315696649,1134,0.013162160739959905
154,Russia,Moscow,2020-06-23,216095,3643,139248,75808,26,2578,0.034349936682144366,0.009984639016897081,0.9900153609831029,2604,0.007652045286453912
155,Russia,Moscow,2020-06-24,216906,3657,141268,74015,14,2020,0.02748091603053435,0.00688298918387414,0.9931170108161259,2034,0.003101649833022968
156,Russia,Moscow,2020-06-25,217791,3669,142194,72866,12,926,0.012872944857683968,0.01279317697228145,0.9872068230277186,938,-0.005910187788407351
157,Russia,Moscow,2020-06-26,218604,3694,144191,72741,25,1997,0.02779725326844558,0.012363996043521267,0.9876360039564788,2022,0.00042918092876020886
