Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
132,Russia,Orel Oblast,2020-06-01,2341,25,1156,2341,25,1156,0.5044852627082443,0.021168501270110076,0.97883149872989,1181,
133,Russia,Orel Oblast,2020-06-02,2372,26,1231,1191,1,75,0.06381192275398824,0.013157894736842105,0.9868421052631579,76,0.008010606533267906
134,Russia,Orel Oblast,2020-06-03,2443,27,1274,1186,1,43,0.03709949409780776,0.022727272727272728,0.9772727272727273,44,-0.009569377990430561
135,Russia,Orel Oblast,2020-06-04,2528,28,1363,1227,1,89,0.07334963325183375,0.011111111111111112,0.9888888888888889,90,0.011616161616161635
136,Russia,Orel Oblast,2020-06-05,2649,31,1409,1258,3,46,0.038950715421303655,0.061224489795918366,0.9387755102040817,49,-0.05011337868480725
137,Russia,Orel Oblast,2020-06-06,2760,32,1462,1320,1,53,0.04090909090909091,0.018518518518518517,0.9814814814814815,54,0.042705971277399835
138,Russia,Orel Oblast,2020-06-07,2870,32,1464,1376,0,2,0.0014534883720930232,0.0,1.0,2,0.01851851851851849
139,Russia,Orel Oblast,2020-06-08,2967,32,1474,1471,0,10,0.006798096532970768,0.0,1.0,10,0.0
140,Russia,Orel Oblast,2020-06-09,3092,32,1543,1586,0,69,0.043505674653215635,0.0,1.0,69,0.0
141,Russia,Orel Oblast,2020-06-10,3181,35,1568,1606,3,25,0.017434620174346202,0.10714285714285714,0.8928571428571429,28,-0.1071428571428571
142,Russia,Orel Oblast,2020-06-11,3283,35,1586,1680,0,18,0.010714285714285714,0.0,1.0,18,0.1071428571428571
143,Russia,Orel Oblast,2020-06-12,3392,35,1655,1771,0,69,0.03896103896103896,0.0,1.0,69,0.0
144,Russia,Orel Oblast,2020-06-13,3473,35,1663,1783,0,8,0.00448681996634885,0.0,1.0,8,0.0
145,Russia,Orel Oblast,2020-06-14,3559,35,1689,1861,0,26,0.013970983342289092,0.0,1.0,26,0.0
146,Russia,Orel Oblast,2020-06-15,3681,36,1702,1957,1,13,0.007153806847215125,0.07142857142857142,0.9285714285714286,14,-0.0714285714285714
147,Russia,Orel Oblast,2020-06-16,3791,39,1783,2053,3,81,0.040915733073550904,0.03571428571428571,0.9642857142857143,84,0.0357142857142857
148,Russia,Orel Oblast,2020-06-17,3858,44,1868,2036,5,85,0.04420432220039293,0.05555555555555555,0.9444444444444444,90,-0.019841269841269882
149,Russia,Orel Oblast,2020-06-18,3929,44,1945,2017,0,77,0.03817550818046604,0.0,1.0,77,0.05555555555555558
150,Russia,Orel Oblast,2020-06-19,4003,45,2064,2014,1,119,0.05958291956305859,0.008333333333333333,0.9916666666666667,120,-0.008333333333333304
151,Russia,Orel Oblast,2020-06-20,4068,45,2128,1959,0,64,0.03266972945380296,0.0,1.0,64,0.008333333333333304
152,Russia,Orel Oblast,2020-06-21,4128,45,2183,1955,0,55,0.028132992327365727,0.0,1.0,55,0.0
153,Russia,Orel Oblast,2020-06-22,4186,45,2193,1958,0,10,0.005107252298263534,0.0,1.0,10,0.0
154,Russia,Orel Oblast,2020-06-23,4241,46,2382,2003,1,189,0.09485771342985522,0.005263157894736842,0.9947368421052631,190,-0.0052631578947368585
155,Russia,Orel Oblast,2020-06-24,4281,51,2523,1853,5,141,0.07879114948731786,0.03424657534246575,0.9657534246575342,146,-0.02898341744772892
156,Russia,Orel Oblast,2020-06-25,4318,51,2575,1744,0,52,0.02981651376146789,0.0,1.0,52,0.03424657534246578
157,Russia,Orel Oblast,2020-06-26,4358,54,2620,1732,3,45,0.02771362586605081,0.0625,0.9375,48,-0.0625
158,Russia,Orel Oblast,2020-06-27,4396,57,2669,1722,3,49,0.030197444831591175,0.057692307692307696,0.9423076923076923,52,0.004807692307692291
159,Russia,Orel Oblast,2020-06-28,4437,59,2678,1711,2,9,0.006428988895382817,0.18181818181818182,0.8181818181818182,11,-0.12412587412587406
160,Russia,Orel Oblast,2020-06-29,4480,59,2706,1743,0,28,0.01606425702811245,0.0,1.0,28,0.18181818181818177
161,Russia,Orel Oblast,2020-06-30,4513,61,2823,1748,2,117,0.06807780320366133,0.01680672268907563,0.9831932773109243,119,-0.01680672268907568
162,Russia,Orel Oblast,2020-07-01,4544,66,2908,1660,5,85,0.05421686746987952,0.05555555555555555,0.9444444444444444,90,-0.0387488328664799
163,Russia,Orel Oblast,2020-07-02,4579,66,2911,1605,0,3,0.001869158878504673,0.0,1.0,3,0.05555555555555558
164,Russia,Orel Oblast,2020-07-03,4610,69,3028,1633,3,117,0.07348438456827924,0.025,0.975,120,-0.025000000000000022
165,Russia,Orel Oblast,2020-07-04,4644,73,3150,1547,4,122,0.08144796380090498,0.031746031746031744,0.9682539682539683,126,-0.006746031746031722
166,Russia,Orel Oblast,2020-07-05,4684,73,3150,1461,0,0,0.0,,,0,
167,Russia,Orel Oblast,2020-07-06,4741,73,3166,1518,0,16,0.010540184453227932,0.0,1.0,16,
168,Russia,Orel Oblast,2020-07-07,4795,73,3278,1556,0,112,0.07197943444730077,0.0,1.0,112,0.0
169,Russia,Orel Oblast,2020-07-08,4840,73,3406,1489,0,128,0.08596373404969779,0.0,1.0,128,0.0
170,Russia,Orel Oblast,2020-07-09,4883,75,3476,1404,2,70,0.05128205128205128,0.027777777777777776,0.9722222222222222,72,-0.02777777777777779
171,Russia,Orel Oblast,2020-07-10,4930,75,3546,1379,0,70,0.050761421319796954,0.0,1.0,70,0.02777777777777779
172,Russia,Orel Oblast,2020-07-11,4974,75,3586,1353,0,40,0.029563932002956393,0.0,1.0,40,0.0
173,Russia,Orel Oblast,2020-07-12,5020,75,3596,1359,0,10,0.007358351729212656,0.0,1.0,10,0.0
174,Russia,Orel Oblast,2020-07-13,5069,75,3612,1398,0,16,0.011444921316165951,0.0,1.0,16,0.0
175,Russia,Orel Oblast,2020-07-14,5113,75,3678,1426,0,66,0.04628330995792426,0.0,1.0,66,0.0
176,Russia,Orel Oblast,2020-07-15,5153,75,3714,1400,0,36,0.025714285714285714,0.0,1.0,36,0.0
177,Russia,Orel Oblast,2020-07-16,5198,75,3759,1409,0,45,0.0319375443577005,0.0,1.0,45,0.0
178,Russia,Orel Oblast,2020-07-17,5240,77,3815,1406,2,56,0.041251778093883355,0.034482758620689655,0.9655172413793104,58,-0.03448275862068961
179,Russia,Orel Oblast,2020-07-18,5280,77,3860,1388,0,45,0.032420749279538905,0.0,1.0,45,0.03448275862068961
180,Russia,Orel Oblast,2020-07-19,5318,77,3870,1381,0,10,0.00724112961622013,0.0,1.0,10,0.0
181,Russia,Orel Oblast,2020-07-20,5349,77,3880,1402,0,10,0.007132667617689016,0.0,1.0,10,0.0
182,Russia,Orel Oblast,2020-07-21,5378,78,3950,1421,1,70,0.04996481351161154,0.014084507042253521,0.9859154929577465,71,-0.014084507042253502
183,Russia,Orel Oblast,2020-07-22,5403,80,4014,1375,2,64,0.048,0.030303030303030304,0.9696969696969697,66,-0.016218523260776774
184,Russia,Orel Oblast,2020-07-23,5425,80,4055,1331,0,41,0.030803906836964687,0.0,1.0,41,0.030303030303030276
185,Russia,Orel Oblast,2020-07-24,5447,81,4102,1312,1,47,0.036585365853658534,0.020833333333333332,0.9791666666666666,48,-0.02083333333333337
186,Russia,Orel Oblast,2020-07-25,5468,87,4141,1285,6,39,0.03501945525291829,0.13333333333333333,0.8666666666666667,45,-0.11249999999999993
187,Russia,Orel Oblast,2020-07-26,5493,87,4146,1265,0,5,0.003952569169960474,0.0,1.0,5,0.1333333333333333
188,Russia,Orel Oblast,2020-07-27,5523,87,4146,1290,0,0,0.0,,,0,
189,Russia,Orel Oblast,2020-07-28,5552,88,4185,1319,1,39,0.030326004548900682,0.025,0.975,40,
