Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
37,San Marino,,2020-02-27,1,0,0,1,0,0,0.0,,,0,
38,San Marino,,2020-02-28,1,0,0,1,0,0,0.0,,,0,
39,San Marino,,2020-02-29,1,0,0,1,0,0,0.0,,,0,
40,San Marino,,2020-03-01,1,0,0,1,0,0,0.0,,,0,
41,San Marino,,2020-03-02,8,0,0,8,0,0,0.0,,,0,
42,San Marino,,2020-03-03,10,1,0,10,1,0,0.1,1.0,0.0,1,
43,San Marino,,2020-03-04,16,1,0,15,0,0,0.0,,,0,
44,San Marino,,2020-03-05,21,1,0,20,0,0,0.0,,,0,
45,San Marino,,2020-03-06,21,1,0,20,0,0,0.0,,,0,
46,San Marino,,2020-03-07,23,1,0,22,0,0,0.0,,,0,
47,San Marino,,2020-03-08,36,1,0,35,0,0,0.0,,,0,
48,San Marino,,2020-03-09,36,1,0,35,0,0,0.0,,,0,
49,San Marino,,2020-03-10,51,2,0,50,1,0,0.02,1.0,0.0,1,
50,San Marino,,2020-03-11,62,2,0,60,0,0,0.0,,,0,
51,San Marino,,2020-03-12,69,3,0,67,1,0,0.014925373134328358,1.0,0.0,1,
52,San Marino,,2020-03-13,80,5,0,77,2,0,0.025974025974025976,1.0,0.0,2,0.0
53,San Marino,,2020-03-14,80,5,4,75,0,4,0.05333333333333334,0.0,1.0,4,1.0
54,San Marino,,2020-03-15,101,5,4,92,0,0,0.0,,,0,
55,San Marino,,2020-03-16,109,7,4,100,2,0,0.02,1.0,0.0,2,
56,San Marino,,2020-03-17,109,7,4,98,0,0,0.0,,,0,
57,San Marino,,2020-03-18,119,11,4,108,4,0,0.037037037037037035,1.0,0.0,4,
58,San Marino,,2020-03-19,119,11,4,104,0,0,0.0,,,0,
59,San Marino,,2020-03-20,144,14,4,129,3,0,0.023255813953488372,1.0,0.0,3,
60,San Marino,,2020-03-21,144,20,4,126,6,0,0.047619047619047616,1.0,0.0,6,0.0
61,San Marino,,2020-03-22,175,20,4,151,0,0,0.0,,,0,
62,San Marino,,2020-03-23,187,20,4,163,0,0,0.0,,,0,
63,San Marino,,2020-03-24,187,21,4,163,1,0,0.006134969325153374,1.0,0.0,1,
64,San Marino,,2020-03-25,208,21,4,183,0,0,0.0,,,0,
65,San Marino,,2020-03-26,208,21,4,183,0,0,0.0,,,0,
66,San Marino,,2020-03-27,223,21,4,198,0,0,0.0,,,0,
67,San Marino,,2020-03-28,224,22,6,199,1,2,0.01507537688442211,0.3333333333333333,0.6666666666666666,3,
68,San Marino,,2020-03-29,224,22,6,196,0,0,0.0,,,0,
69,San Marino,,2020-03-30,230,25,13,202,3,7,0.04950495049504951,0.3,0.7,10,
70,San Marino,,2020-03-31,236,26,13,198,1,0,0.005050505050505051,1.0,0.0,1,-0.7
71,San Marino,,2020-04-01,236,26,13,197,0,0,0.0,,,0,
72,San Marino,,2020-04-02,245,30,21,206,4,8,0.05825242718446602,0.3333333333333333,0.6666666666666666,12,
73,San Marino,,2020-04-03,245,30,21,194,0,0,0.0,,,0,
74,San Marino,,2020-04-04,259,32,27,208,2,6,0.038461538461538464,0.25,0.75,8,
75,San Marino,,2020-04-05,266,32,35,207,0,8,0.03864734299516908,0.0,1.0,8,0.25
76,San Marino,,2020-04-06,266,32,35,199,0,0,0.0,,,0,
77,San Marino,,2020-04-07,279,34,40,212,2,5,0.0330188679245283,0.2857142857142857,0.7142857142857143,7,
78,San Marino,,2020-04-08,279,34,40,205,0,0,0.0,,,0,
79,San Marino,,2020-04-09,333,34,49,259,0,9,0.03474903474903475,0.0,1.0,9,
80,San Marino,,2020-04-10,344,34,50,261,0,1,0.0038314176245210726,0.0,1.0,1,0.0
81,San Marino,,2020-04-11,356,35,53,272,1,3,0.014705882352941176,0.25,0.75,4,-0.25
82,San Marino,,2020-04-12,356,35,53,268,0,0,0.0,,,0,
83,San Marino,,2020-04-13,356,35,53,268,0,0,0.0,,,0,
84,San Marino,,2020-04-14,371,36,53,283,1,0,0.0035335689045936395,1.0,0.0,1,
85,San Marino,,2020-04-15,372,36,53,283,0,0,0.0,,,0,
86,San Marino,,2020-04-16,426,38,55,337,2,2,0.011869436201780416,0.5,0.5,4,
87,San Marino,,2020-04-17,435,39,57,342,1,2,0.008771929824561403,0.3333333333333333,0.6666666666666666,3,0.16666666666666663
88,San Marino,,2020-04-18,455,39,60,359,0,3,0.008356545961002786,0.0,1.0,3,0.33333333333333337
89,San Marino,,2020-04-19,461,39,60,362,0,0,0.0,,,0,
90,San Marino,,2020-04-20,462,39,61,363,0,1,0.0027548209366391185,0.0,1.0,1,
91,San Marino,,2020-04-21,476,40,62,376,1,1,0.005319148936170213,0.5,0.5,2,-0.5
92,San Marino,,2020-04-22,488,40,62,386,0,0,0.0,,,0,
93,San Marino,,2020-04-23,501,40,63,399,0,1,0.002506265664160401,0.0,1.0,1,
94,San Marino,,2020-04-24,513,40,64,410,0,1,0.0024390243902439024,0.0,1.0,1,0.0
95,San Marino,,2020-04-25,513,40,64,409,0,0,0.0,,,0,
96,San Marino,,2020-04-26,538,41,64,434,1,0,0.002304147465437788,1.0,0.0,1,
97,San Marino,,2020-04-27,538,41,64,433,0,0,0.0,,,0,
98,San Marino,,2020-04-28,553,41,64,448,0,0,0.0,,,0,
99,San Marino,,2020-04-29,563,41,69,458,0,5,0.010917030567685589,0.0,1.0,5,
100,San Marino,,2020-04-30,569,41,78,459,0,9,0.0196078431372549,0.0,1.0,9,0.0
101,San Marino,,2020-05-01,580,41,82,461,0,4,0.008676789587852495,0.0,1.0,4,0.0
102,San Marino,,2020-05-02,580,41,83,457,0,1,0.002188183807439825,0.0,1.0,1,0.0
103,San Marino,,2020-05-03,582,41,86,458,0,3,0.006550218340611353,0.0,1.0,3,0.0
104,San Marino,,2020-05-04,582,41,86,455,0,0,0.0,,,0,
105,San Marino,,2020-05-05,589,41,92,462,0,6,0.012987012987012988,0.0,1.0,6,
106,San Marino,,2020-05-06,608,41,97,475,0,5,0.010526315789473684,0.0,1.0,5,0.0
107,San Marino,,2020-05-07,622,41,106,484,0,9,0.01859504132231405,0.0,1.0,9,0.0
108,San Marino,,2020-05-08,623,41,114,476,0,8,0.01680672268907563,0.0,1.0,8,0.0
109,San Marino,,2020-05-09,637,41,126,482,0,12,0.024896265560165973,0.0,1.0,12,0.0
110,San Marino,,2020-05-10,628,41,126,461,0,0,0.0,,,0,
111,San Marino,,2020-05-11,628,41,130,461,0,4,0.008676789587852495,0.0,1.0,4,
112,San Marino,,2020-05-12,638,41,161,467,0,31,0.06638115631691649,0.0,1.0,31,0.0
113,San Marino,,2020-05-13,643,41,161,441,0,0,0.0,,,0,
114,San Marino,,2020-05-14,648,41,172,446,0,11,0.02466367713004484,0.0,1.0,11,
115,San Marino,,2020-05-15,652,41,189,439,0,17,0.0387243735763098,0.0,1.0,17,0.0
116,San Marino,,2020-05-16,653,41,198,423,0,9,0.02127659574468085,0.0,1.0,9,0.0
117,San Marino,,2020-05-17,654,41,201,415,0,3,0.007228915662650603,0.0,1.0,3,0.0
118,San Marino,,2020-05-18,654,41,203,412,0,2,0.0048543689320388345,0.0,1.0,2,0.0
119,San Marino,,2020-05-19,655,41,211,411,0,8,0.019464720194647202,0.0,1.0,8,0.0
120,San Marino,,2020-05-20,656,41,220,404,0,9,0.022277227722772276,0.0,1.0,9,0.0
121,San Marino,,2020-05-21,658,41,235,397,0,15,0.037783375314861464,0.0,1.0,15,0.0
122,San Marino,,2020-05-22,661,41,254,385,0,19,0.04935064935064935,0.0,1.0,19,0.0
123,San Marino,,2020-05-23,665,42,266,370,1,12,0.03513513513513514,0.07692307692307693,0.9230769230769231,13,-0.07692307692307687
124,San Marino,,2020-05-24,665,42,266,357,0,0,0.0,,,0,
125,San Marino,,2020-05-25,666,42,270,358,0,4,0.0111731843575419,0.0,1.0,4,
126,San Marino,,2020-05-26,666,42,275,354,0,5,0.014124293785310734,0.0,1.0,5,0.0
127,San Marino,,2020-05-27,667,42,294,350,0,19,0.054285714285714284,0.0,1.0,19,0.0
128,San Marino,,2020-05-28,670,42,322,334,0,28,0.08383233532934131,0.0,1.0,28,0.0
129,San Marino,,2020-05-29,671,42,344,307,0,22,0.07166123778501629,0.0,1.0,22,0.0
130,San Marino,,2020-05-30,671,42,357,285,0,13,0.0456140350877193,0.0,1.0,13,0.0
131,San Marino,,2020-05-31,671,42,357,272,0,0,0.0,,,0,
132,San Marino,,2020-06-01,671,42,359,272,0,2,0.007352941176470588,0.0,1.0,2,
133,San Marino,,2020-06-02,672,42,384,271,0,25,0.09225092250922509,0.0,1.0,25,0.0
