Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
44,South Africa,,2020-03-05,1,0,0,1,0,0,0.0,,,0,
45,South Africa,,2020-03-06,1,0,0,1,0,0,0.0,,,0,
46,South Africa,,2020-03-07,1,0,0,1,0,0,0.0,,,0,
47,South Africa,,2020-03-08,3,0,0,3,0,0,0.0,,,0,
48,South Africa,,2020-03-09,3,0,0,3,0,0,0.0,,,0,
49,South Africa,,2020-03-10,7,0,0,7,0,0,0.0,,,0,
50,South Africa,,2020-03-11,13,0,0,13,0,0,0.0,,,0,
51,South Africa,,2020-03-12,17,0,0,17,0,0,0.0,,,0,
52,South Africa,,2020-03-13,24,0,0,24,0,0,0.0,,,0,
53,South Africa,,2020-03-14,38,0,0,38,0,0,0.0,,,0,
54,South Africa,,2020-03-15,51,0,0,51,0,0,0.0,,,0,
55,South Africa,,2020-03-16,62,0,0,62,0,0,0.0,,,0,
56,South Africa,,2020-03-17,62,0,0,62,0,0,0.0,,,0,
57,South Africa,,2020-03-18,116,0,0,116,0,0,0.0,,,0,
58,South Africa,,2020-03-19,150,0,0,150,0,0,0.0,,,0,
59,South Africa,,2020-03-20,202,0,0,202,0,0,0.0,,,0,
60,South Africa,,2020-03-21,240,0,0,240,0,0,0.0,,,0,
61,South Africa,,2020-03-22,274,0,2,274,0,2,0.0072992700729927005,0.0,1.0,2,
62,South Africa,,2020-03-23,402,0,4,400,0,2,0.005,0.0,1.0,2,0.0
63,South Africa,,2020-03-24,554,0,4,550,0,0,0.0,,,0,
64,South Africa,,2020-03-25,709,0,12,705,0,8,0.011347517730496455,0.0,1.0,8,
65,South Africa,,2020-03-26,927,0,12,915,0,0,0.0,,,0,
66,South Africa,,2020-03-27,1170,1,31,1158,1,19,0.017271157167530225,0.05,0.95,20,
67,South Africa,,2020-03-28,1187,1,31,1155,0,0,0.0,,,0,
68,South Africa,,2020-03-29,1280,2,31,1248,1,0,0.0008012820512820513,1.0,0.0,1,
69,South Africa,,2020-03-30,1326,3,31,1293,1,0,0.0007733952049497294,1.0,0.0,1,0.0
70,South Africa,,2020-03-31,1353,5,31,1319,2,0,0.001516300227445034,1.0,0.0,2,0.0
71,South Africa,,2020-04-01,1380,5,50,1344,0,19,0.014136904761904762,0.0,1.0,19,1.0
72,South Africa,,2020-04-02,1462,5,50,1407,0,0,0.0,,,0,
73,South Africa,,2020-04-03,1505,9,95,1450,4,45,0.03379310344827586,0.08163265306122448,0.9183673469387755,49,
74,South Africa,,2020-04-04,1585,9,95,1481,0,0,0.0,,,0,
75,South Africa,,2020-04-05,1655,11,95,1551,2,0,0.0012894906511927789,1.0,0.0,2,
76,South Africa,,2020-04-06,1686,12,95,1580,1,0,0.0006329113924050633,1.0,0.0,1,0.0
77,South Africa,,2020-04-07,1749,13,95,1642,1,0,0.0006090133982947625,1.0,0.0,1,0.0
78,South Africa,,2020-04-08,1845,18,95,1737,5,0,0.0028785261945883708,1.0,0.0,5,0.0
79,South Africa,,2020-04-09,1934,18,95,1821,0,0,0.0,,,0,
80,South Africa,,2020-04-10,2003,24,410,1890,6,315,0.16984126984126985,0.018691588785046728,0.9813084112149533,321,
81,South Africa,,2020-04-11,2028,25,410,1594,1,0,0.0006273525721455458,1.0,0.0,1,-0.9813084112149533
82,South Africa,,2020-04-12,2173,25,410,1738,0,0,0.0,,,0,
83,South Africa,,2020-04-13,2272,27,410,1837,2,0,0.0010887316276537834,1.0,0.0,2,
84,South Africa,,2020-04-14,2415,27,410,1978,0,0,0.0,,,0,
85,South Africa,,2020-04-15,2506,34,410,2069,7,0,0.0033832769453842437,1.0,0.0,7,
86,South Africa,,2020-04-16,2605,48,903,2161,14,493,0.23461360481258678,0.027613412228796843,0.9723865877712031,507,0.9723865877712031
87,South Africa,,2020-04-17,2783,50,903,1832,2,0,0.001091703056768559,1.0,0.0,2,-0.9723865877712031
88,South Africa,,2020-04-18,3034,52,903,2081,2,0,0.0009610764055742432,1.0,0.0,2,0.0
89,South Africa,,2020-04-19,3158,54,903,2203,2,0,0.0009078529278256923,1.0,0.0,2,0.0
90,South Africa,,2020-04-20,3300,58,1055,2343,4,152,0.06658130601792574,0.02564102564102564,0.9743589743589743,156,0.9743589743589743
91,South Africa,,2020-04-21,3465,58,1055,2352,0,0,0.0,,,0,
92,South Africa,,2020-04-22,3635,65,1055,2522,7,0,0.0027755749405233942,1.0,0.0,7,
93,South Africa,,2020-04-23,3953,75,1473,2833,10,418,0.15107659724673492,0.02336448598130841,0.9766355140186916,428,0.9766355140186916
94,South Africa,,2020-04-24,4220,79,1473,2672,4,0,0.0014970059880239522,1.0,0.0,4,-0.9766355140186916
95,South Africa,,2020-04-25,4361,86,1473,2809,7,0,0.002491990032039872,1.0,0.0,7,0.0
96,South Africa,,2020-04-26,4546,87,1473,2987,1,0,0.00033478406427854036,1.0,0.0,1,0.0
97,South Africa,,2020-04-27,4793,90,1473,3233,3,0,0.0009279307145066501,1.0,0.0,3,0.0
98,South Africa,,2020-04-28,4996,93,2073,3433,3,600,0.17564812117681328,0.004975124378109453,0.9950248756218906,603,0.9950248756218906
99,South Africa,,2020-04-29,5350,103,2073,3184,10,0,0.00314070351758794,1.0,0.0,10,-0.9950248756218906
100,South Africa,,2020-04-30,5647,103,2073,3471,0,0,0.0,,,0,
101,South Africa,,2020-05-01,5951,116,2382,3775,13,309,0.08529801324503311,0.040372670807453416,0.9596273291925466,322,
102,South Africa,,2020-05-02,6336,123,2549,3838,7,167,0.045336112558624284,0.040229885057471264,0.9597701149425287,174,0.0001427857499821661
103,South Africa,,2020-05-03,6783,131,2549,4111,8,0,0.0019459985405010946,1.0,0.0,8,-0.9597701149425287
104,South Africa,,2020-05-04,7220,138,2746,4540,7,197,0.044933920704845816,0.03431372549019608,0.9656862745098039,204,0.9656862745098039
105,South Africa,,2020-05-05,7572,148,2746,4688,10,0,0.0021331058020477816,1.0,0.0,10,-0.9656862745098039
106,South Africa,,2020-05-06,7808,153,3153,4914,5,407,0.08384208384208384,0.012135922330097087,0.9878640776699029,412,0.9878640776699029
107,South Africa,,2020-05-07,8232,161,3153,4926,8,0,0.0016240357287860333,1.0,0.0,8,-0.9878640776699029
108,South Africa,,2020-05-08,8895,178,3153,5581,17,0,0.003046049095144239,1.0,0.0,17,0.0
109,South Africa,,2020-05-09,9420,186,3983,6089,8,830,0.13762522581704714,0.00954653937947494,0.9904534606205251,838,0.9904534606205251
110,South Africa,,2020-05-10,10015,194,4173,5846,8,190,0.03386931235032501,0.04040404040404041,0.9595959595959596,198,-0.030857501024565526
111,South Africa,,2020-05-11,10652,206,4357,6285,12,184,0.03118536197295147,0.061224489795918366,0.9387755102040817,196,-0.020820449391877882
112,South Africa,,2020-05-12,11350,206,4357,6787,0,0,0.0,,,0,
113,South Africa,,2020-05-13,12074,219,4745,7511,13,388,0.05338836373319132,0.032418952618453865,0.9675810473815462,401,
114,South Africa,,2020-05-14,12739,238,5676,7775,19,931,0.12218649517684887,0.02,0.98,950,0.012418952618453827
115,South Africa,,2020-05-15,13524,247,6083,7610,9,407,0.05466491458607096,0.021634615384615384,0.9783653846153846,416,-0.001634615384615401
116,South Africa,,2020-05-16,14355,261,6478,8025,14,395,0.05096573208722741,0.034229828850855744,0.9657701711491442,409,-0.012595213466240374
117,South Africa,,2020-05-17,15515,264,7006,8776,3,528,0.060505925250683684,0.005649717514124294,0.9943502824858758,531,0.02858011133673155
118,South Africa,,2020-05-18,16433,286,7298,9163,22,292,0.03426825275564772,0.07006369426751592,0.9299363057324841,314,-0.06441397675339167
119,South Africa,,2020-05-19,17200,312,7960,9616,26,662,0.07154742096505824,0.0377906976744186,0.9622093023255814,688,0.03227299659309735
120,South Africa,,2020-05-20,18003,339,8950,9731,27,990,0.1045113554619258,0.02654867256637168,0.9734513274336283,1017,0.011242025108046838
121,South Africa,,2020-05-21,19137,369,8950,9848,30,0,0.0030463038180341185,1.0,0.0,30,-0.9734513274336283
122,South Africa,,2020-05-22,20125,397,10104,10806,28,1154,0.10938367573570239,0.023688663282571912,0.9763113367174281,1182,0.9763113367174281
123,South Africa,,2020-05-23,21343,407,10104,10842,10,0,0.0009223390518354548,1.0,0.0,10,-0.9763113367174281
124,South Africa,,2020-05-24,22583,429,11100,12072,22,996,0.0843273691186216,0.021611001964636542,0.9783889980353635,1018,0.9783889980353635
125,South Africa,,2020-05-25,23615,481,11917,12086,52,817,0.07190137348998842,0.05983889528193326,0.9401611047180668,869,-0.0382278933172967
126,South Africa,,2020-05-26,24264,524,12741,11866,43,824,0.07306590257879657,0.049596309111880045,0.9504036908881199,867,0.010242586170053136
127,South Africa,,2020-05-27,25937,552,13451,12672,28,710,0.05823863636363636,0.037940379403794036,0.962059620596206,738,0.011655929708086044
128,South Africa,,2020-05-28,27403,577,14370,13400,25,919,0.07044776119402985,0.026483050847457626,0.9735169491525424,944,0.01145732855633641
129,South Africa,,2020-05-29,29240,611,15093,14293,34,723,0.052962988875673404,0.04491413474240423,0.9550858652575958,757,-0.01843108389494663
130,South Africa,,2020-05-30,30967,643,16116,15263,32,1023,0.0691214047041866,0.03033175355450237,0.9696682464454977,1055,0.014582381187901894
131,South Africa,,2020-05-31,32683,683,16809,15924,40,693,0.046031147952775686,0.054570259208731244,0.9454297407912687,733,-0.024238505654228915
132,South Africa,,2020-06-01,34357,705,17291,16865,22,482,0.029884375926474947,0.04365079365079365,0.9563492063492064,504,0.010919465557937658
133,South Africa,,2020-06-02,35812,755,18313,17816,50,1022,0.060170633138751685,0.04664179104477612,0.9533582089552238,1072,-0.002990997393982564
134,South Africa,,2020-06-03,37525,792,19682,18457,37,1369,0.07617706019396435,0.02631578947368421,0.9736842105263158,1406,0.02032600157109199
135,South Africa,,2020-06-04,40792,848,21311,20318,56,1629,0.08293139088492962,0.03323442136498516,0.9667655786350149,1685,-0.00691863189130093
136,South Africa,,2020-06-05,43434,908,23088,21275,60,1777,0.0863454759106933,0.0326619488296135,0.9673380511703865,1837,0.0005724725353716265
137,South Africa,,2020-06-06,45973,952,24258,21977,44,1170,0.055239568639941755,0.036243822075782535,0.9637561779242174,1214,-0.0035818732461690983
138,South Africa,,2020-06-07,48285,998,24364,23075,46,106,0.006587215601300108,0.3026315789473684,0.6973684210526315,152,-0.2663877568715859
139,South Africa,,2020-06-08,50879,1080,26099,25517,82,1735,0.07120743034055728,0.045129334067143645,0.9548706659328564,1817,0.2575022448802249
140,South Africa,,2020-06-09,52991,1162,29006,25812,82,2907,0.115798853246552,0.0274339243894279,0.9725660756105721,2989,0.017695409677715657
141,South Africa,,2020-06-10,55421,1210,31505,25253,48,2499,0.1008593038450877,0.01884570082449941,0.9811542991755006,2547,0.008588223564928499
142,South Africa,,2020-06-11,58568,1284,33252,25853,74,1747,0.07043669980273082,0.040637012630422846,0.9593629873695771,1821,-0.02179131180592342
143,South Africa,,2020-06-12,61927,1354,35006,27391,70,1754,0.06659121609287723,0.03837719298245614,0.9616228070175439,1824,0.002259819647966732
144,South Africa,,2020-06-13,65736,1423,36850,29376,69,1844,0.06512118736383442,0.03606900156821746,0.9639309984317825,1913,0.0023081914142386584
145,South Africa,,2020-06-14,70038,1480,38531,31765,57,1681,0.05471430820084999,0.03279631760644419,0.9672036823935558,1738,0.0032726839617732706
146,South Africa,,2020-06-15,73533,1568,39867,33522,88,1336,0.0424795656583736,0.06179775280898876,0.9382022471910112,1424,-0.029001435202544612
147,South Africa,,2020-06-16,76334,1625,42063,34899,57,2196,0.06455772371701195,0.02529960053262317,0.9747003994673769,2253,0.03649815227636566
148,South Africa,,2020-06-17,80412,1674,44331,36724,49,2268,0.06309225574556149,0.021148036253776436,0.9788519637462235,2317,0.0041515642788466645
149,South Africa,,2020-06-18,83890,1737,44920,37885,63,589,0.017209977563679556,0.09662576687116564,0.9033742331288344,652,-0.07547773061738916
150,South Africa,,2020-06-19,87715,1831,47825,41058,94,2905,0.07304301232402942,0.03134378126042014,0.9686562187395799,2999,0.0652819856107455
151,South Africa,,2020-06-20,92681,1877,50326,43025,46,2501,0.05919814061592098,0.018060463290145268,0.9819395367098547,2547,0.013283317970274822
152,South Africa,,2020-06-21,97302,1930,51608,45099,53,1282,0.029601543271469435,0.039700374531835204,0.9602996254681648,1335,-0.021639911241689846
153,South Africa,,2020-06-22,101590,1991,53444,48052,61,1836,0.039478065429118456,0.032156035846072746,0.9678439641539273,1897,0.007544338685762431
154,South Africa,,2020-06-23,106108,2102,55045,50673,111,1601,0.033785250527894536,0.06483644859813084,0.9351635514018691,1712,-0.03268041275205813
155,South Africa,,2020-06-24,111796,2205,56874,54649,103,1829,0.03535288843345715,0.05331262939958592,0.9466873706004141,1932,0.011523819198544949
156,South Africa,,2020-06-25,118375,2292,59974,59296,87,3100,0.053747301672962766,0.027298399748980233,0.9727016002510198,3187,0.026014229650605736
157,South Africa,,2020-06-26,124590,2340,64111,62324,48,4137,0.06714909184262885,0.011469534050179211,0.9885304659498207,4185,0.01582886569880093
158,South Africa,,2020-06-27,131800,2413,67094,65349,73,2983,0.046764296316699566,0.023887434554973823,0.9761125654450262,3056,-0.012417900504794521
159,South Africa,,2020-06-28,138134,2456,68925,68627,43,1831,0.027307036589097586,0.02294557097118463,0.9770544290288153,1874,0.0009418635837891154
160,South Africa,,2020-06-29,144264,2529,70614,72883,73,1689,0.024175733710193048,0.041430192962542564,0.9585698070374574,1762,-0.01848462199135792
161,South Africa,,2020-06-30,151209,2657,73543,78066,128,2929,0.03915917300745523,0.04187111547268564,0.9581288845273144,3057,-0.0004409225101430492
