Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
114,Spain,Canarias,2020-05-14,2275,151,1496,2275,151,1496,0.723956043956044,0.09168184578020644,0.9083181542197936,1647,
115,Spain,Canarias,2020-05-15,2280,151,1506,633,0,10,0.01579778830963665,0.0,1.0,10,0.09168184578020644
116,Spain,Canarias,2020-05-16,2284,151,1524,627,0,18,0.028708133971291867,0.0,1.0,18,0.0
117,Spain,Canarias,2020-05-17,2284,151,1524,609,0,0,0.0,,,0,
118,Spain,Canarias,2020-05-18,2294,153,1537,619,2,13,0.024232633279483037,0.13333333333333333,0.8666666666666667,15,
119,Spain,Canarias,2020-05-19,2294,155,0,604,2,-1537,-2.5413907284768213,-0.0013029315960912053,1.0013029315960913,-1535,0.1346362649294246
120,Spain,Canarias,2020-05-20,2300,155,0,2145,0,0,0.0,,,0,
121,Spain,Canarias,2020-05-21,2307,155,0,2152,0,0,0.0,,,0,
122,Spain,Canarias,2020-05-22,2312,155,0,2157,0,0,0.0,,,0,
123,Spain,Canarias,2020-05-23,2321,157,0,2166,2,0,0.0009233610341643582,1.0,0.0,2,
124,Spain,Canarias,2020-05-24,2322,157,0,2165,0,0,0.0,,,0,
125,Spain,Canarias,2020-05-25,2317,150,0,2160,-7,0,-0.0032407407407407406,1.0,-0.0,-7,
126,Spain,Canarias,2020-05-26,2323,150,1537,2173,0,1537,0.7073170731707317,0.0,1.0,1537,1.0
127,Spain,Canarias,2020-05-27,2323,150,1537,636,0,0,0.0,,,0,
128,Spain,Canarias,2020-05-28,2327,151,1537,640,1,0,0.0015625,1.0,0.0,1,
129,Spain,Canarias,2020-05-29,2333,151,1537,645,0,0,0.0,,,0,
130,Spain,Canarias,2020-05-30,2343,151,1537,655,0,0,0.0,,,0,
131,Spain,Canarias,2020-05-31,2345,151,1537,657,0,0,0.0,,,0,
132,Spain,Canarias,2020-06-01,2347,151,1537,659,0,0,0.0,,,0,
133,Spain,Canarias,2020-06-02,2351,151,1537,663,0,0,0.0,,,0,
134,Spain,Canarias,2020-06-03,2357,151,1537,669,0,0,0.0,,,0,
135,Spain,Canarias,2020-06-04,2361,151,1537,673,0,0,0.0,,,0,
136,Spain,Canarias,2020-06-05,2362,151,1537,674,0,0,0.0,,,0,
137,Spain,Canarias,2020-06-06,2364,151,1537,676,0,0,0.0,,,0,
138,Spain,Canarias,2020-06-07,2369,151,1537,681,0,0,0.0,,,0,
139,Spain,Canarias,2020-06-08,2370,151,1537,682,0,0,0.0,,,0,
140,Spain,Canarias,2020-06-09,2372,151,1537,684,0,0,0.0,,,0,
141,Spain,Canarias,2020-06-10,2372,151,1537,684,0,0,0.0,,,0,
142,Spain,Canarias,2020-06-11,2371,151,1537,683,0,0,0.0,,,0,
143,Spain,Canarias,2020-06-12,2374,151,1537,686,0,0,0.0,,,0,
144,Spain,Canarias,2020-06-13,2377,151,1537,689,0,0,0.0,,,0,
145,Spain,Canarias,2020-06-14,2378,151,1537,690,0,0,0.0,,,0,
146,Spain,Canarias,2020-06-15,2378,151,1537,690,0,0,0.0,,,0,
147,Spain,Canarias,2020-06-16,2382,151,1537,694,0,0,0.0,,,0,
148,Spain,Canarias,2020-06-17,2382,151,1537,694,0,0,0.0,,,0,
149,Spain,Canarias,2020-06-18,2398,151,1537,710,0,0,0.0,,,0,
150,Spain,Canarias,2020-06-19,2402,162,1537,714,11,0,0.015406162464985995,1.0,0.0,11,
151,Spain,Canarias,2020-06-20,2402,162,1537,703,0,0,0.0,,,0,
152,Spain,Canarias,2020-06-21,2414,162,1537,715,0,0,0.0,,,0,
153,Spain,Canarias,2020-06-22,2414,162,1537,715,0,0,0.0,,,0,
154,Spain,Canarias,2020-06-23,2415,162,1537,716,0,0,0.0,,,0,
155,Spain,Canarias,2020-06-24,2421,162,1537,722,0,0,0.0,,,0,
156,Spain,Canarias,2020-06-25,2423,162,1537,724,0,0,0.0,,,0,
157,Spain,Canarias,2020-06-26,2426,162,1537,727,0,0,0.0,,,0,
158,Spain,Canarias,2020-06-27,2427,162,1537,728,0,0,0.0,,,0,
159,Spain,Canarias,2020-06-28,2427,162,1537,728,0,0,0.0,,,0,
160,Spain,Canarias,2020-06-29,2427,162,1537,728,0,0,0.0,,,0,
161,Spain,Canarias,2020-06-30,2427,162,1537,728,0,0,0.0,,,0,
162,Spain,Canarias,2020-07-01,2432,162,1537,733,0,0,0.0,,,0,
163,Spain,Canarias,2020-07-02,2431,162,1537,732,0,0,0.0,,,0,
164,Spain,Canarias,2020-07-03,2436,162,1537,737,0,0,0.0,,,0,
165,Spain,Canarias,2020-07-04,2436,162,1537,737,0,0,0.0,,,0,
166,Spain,Canarias,2020-07-05,2436,162,1537,737,0,0,0.0,,,0,
