Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
136,Sweden,Vasterbotten,2020-06-05,518,28,0,518,28,0,0.05405405405405406,1.0,0.0,28,
137,Sweden,Vasterbotten,2020-06-06,523,28,0,495,0,0,0.0,,,0,
138,Sweden,Vasterbotten,2020-06-07,532,28,0,504,0,0,0.0,,,0,
139,Sweden,Vasterbotten,2020-06-08,535,29,0,507,1,0,0.0019723865877712033,1.0,0.0,1,
140,Sweden,Vasterbotten,2020-06-09,539,29,0,510,0,0,0.0,,,0,
141,Sweden,Vasterbotten,2020-06-10,548,29,0,519,0,0,0.0,,,0,
142,Sweden,Vasterbotten,2020-06-11,555,29,0,526,0,0,0.0,,,0,
143,Sweden,Vasterbotten,2020-06-12,563,30,0,534,1,0,0.0018726591760299626,1.0,0.0,1,
144,Sweden,Vasterbotten,2020-06-13,568,30,0,538,0,0,0.0,,,0,
145,Sweden,Vasterbotten,2020-06-14,574,30,0,544,0,0,0.0,,,0,
146,Sweden,Vasterbotten,2020-06-15,575,30,0,545,0,0,0.0,,,0,
147,Sweden,Vasterbotten,2020-06-16,577,30,0,547,0,0,0.0,,,0,
148,Sweden,Vasterbotten,2020-06-17,588,30,0,558,0,0,0.0,,,0,
149,Sweden,Vasterbotten,2020-06-18,599,30,0,569,0,0,0.0,,,0,
150,Sweden,Vasterbotten,2020-06-19,599,30,0,569,0,0,0.0,,,0,
151,Sweden,Vasterbotten,2020-06-20,599,30,0,569,0,0,0.0,,,0,
152,Sweden,Vasterbotten,2020-06-21,599,30,0,569,0,0,0.0,,,0,
153,Sweden,Vasterbotten,2020-06-22,631,30,0,601,0,0,0.0,,,0,
154,Sweden,Vasterbotten,2020-06-23,634,31,0,604,1,0,0.0016556291390728477,1.0,0.0,1,
155,Sweden,Vasterbotten,2020-06-24,653,31,0,622,0,0,0.0,,,0,
156,Sweden,Vasterbotten,2020-06-25,664,31,0,633,0,0,0.0,,,0,
157,Sweden,Vasterbotten,2020-06-26,678,31,0,647,0,0,0.0,,,0,
158,Sweden,Vasterbotten,2020-06-27,678,31,0,647,0,0,0.0,,,0,
159,Sweden,Vasterbotten,2020-06-28,678,31,0,647,0,0,0.0,,,0,
160,Sweden,Vasterbotten,2020-06-29,694,31,0,663,0,0,0.0,,,0,
161,Sweden,Vasterbotten,2020-06-30,699,31,0,668,0,0,0.0,,,0,
162,Sweden,Vasterbotten,2020-07-01,708,31,0,677,0,0,0.0,,,0,
163,Sweden,Vasterbotten,2020-07-02,722,31,0,691,0,0,0.0,,,0,
