Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
82,US,Illinois,2020-04-12,20852,720,,20852,720,,,,,,
83,US,Illinois,2020-04-13,22025,798,,,78,,,,,,
84,US,Illinois,2020-04-14,23248,868,,,70,,,,,,
85,US,Illinois,2020-04-15,24593,949,,,81,,,,,,
86,US,Illinois,2020-04-16,25734,1072,,,123,,,,,,
87,US,Illinois,2020-04-17,27578,1132,,,60,,,,,,
88,US,Illinois,2020-04-18,29160,1259,,,127,,,,,,
89,US,Illinois,2020-04-19,30357,1290,,,31,,,,,,
90,US,Illinois,2020-04-20,31513,1349,,,59,,,,,,
91,US,Illinois,2020-04-21,33059,1468,,,119,,,,,,
92,US,Illinois,2020-04-22,35107,1565,,,97,,,,,,
93,US,Illinois,2020-04-23,36937,1688,,,123,,,,,,
94,US,Illinois,2020-04-24,39658,1795,,,107,,,,,,
95,US,Illinois,2020-04-25,41777,1875,,,80,,,,,,
96,US,Illinois,2020-04-26,43903,1933,,,58,,,,,,
97,US,Illinois,2020-04-27,45883,1983,,,50,,,,,,
98,US,Illinois,2020-04-28,48102,2125,,,142,,,,,,
99,US,Illinois,2020-04-29,50358,2215,,,90,,,,,,
100,US,Illinois,2020-04-30,52918,2355,0,,140,,,,,,
101,US,Illinois,2020-05-01,56055,2457,0,53700,102,0,0.001899441340782123,1.0,0.0,102,
102,US,Illinois,2020-05-02,58505,2559,0,56048,102,0,0.0018198686839851555,1.0,0.0,102,0.0
103,US,Illinois,2020-05-03,61499,2618,0,58940,59,0,0.001001017984390906,1.0,0.0,59,0.0
104,US,Illinois,2020-05-04,63777,2659,0,61159,41,0,0.0006703837538220049,1.0,0.0,41,0.0
105,US,Illinois,2020-05-05,65889,2834,,63230,175,,,,,,
106,US,Illinois,2020-05-06,68232,2974,,,140,,,,,,
107,US,Illinois,2020-05-07,70871,3111,,,137,,,,,,
108,US,Illinois,2020-05-08,73760,3241,,,130,,,,,,
109,US,Illinois,2020-05-09,76085,3349,,,108,,,,,,
110,US,Illinois,2020-05-10,77741,3406,,,57,,,,,,
111,US,Illinois,2020-05-11,79007,3459,,,53,,,,,,
112,US,Illinois,2020-05-12,83021,3601,,,142,,,,,,
113,US,Illinois,2020-05-13,84694,3792,,,191,,,,,,
114,US,Illinois,2020-05-14,87937,3928,,,136,,,,,,
