Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
82,US,New Hampshire,2020-04-12,929,23,236,929,23,236,0.27879440258342303,0.0888030888030888,0.9111969111969112,259,
83,US,New Hampshire,2020-04-13,985,23,239,726,0,3,0.004132231404958678,0.0,1.0,3,0.08880308880308885
84,US,New Hampshire,2020-04-14,922,25,249,660,2,10,0.01818181818181818,0.16666666666666666,0.8333333333333334,12,-0.16666666666666663
85,US,New Hampshire,2020-04-15,1139,32,365,865,7,116,0.14219653179190753,0.056910569105691054,0.943089430894309,123,0.1097560975609756
86,US,New Hampshire,2020-04-16,1139,32,365,742,0,0,0.0,,,0,
87,US,New Hampshire,2020-04-17,1287,37,455,890,5,90,0.10674157303370786,0.05263157894736842,0.9473684210526315,95,
88,US,New Hampshire,2020-04-18,1342,38,468,850,1,13,0.01647058823529412,0.07142857142857142,0.9285714285714286,14,-0.018796992481202923
89,US,New Hampshire,2020-04-19,1390,38,513,884,0,45,0.05090497737556561,0.0,1.0,45,0.0714285714285714
90,US,New Hampshire,2020-04-20,1447,42,521,896,4,8,0.013392857142857142,0.3333333333333333,0.6666666666666666,12,-0.33333333333333337
91,US,New Hampshire,2020-04-21,1490,42,521,927,0,0,0.0,,,0,
92,US,New Hampshire,2020-04-22,1588,48,546,1025,6,25,0.03024390243902439,0.1935483870967742,0.8064516129032258,31,
93,US,New Hampshire,2020-04-23,1670,51,550,1076,3,4,0.006505576208178439,0.42857142857142855,0.5714285714285714,7,-0.23502304147465436
94,US,New Hampshire,2020-04-24,1720,53,578,1119,2,28,0.02680965147453083,0.06666666666666667,0.9333333333333333,30,0.36190476190476195
95,US,New Hampshire,2020-04-25,1797,53,578,1166,0,0,0.0,,,0,
96,US,New Hampshire,2020-04-26,1864,60,777,1233,7,199,0.16707218167072183,0.03398058252427184,0.9660194174757282,206,
97,US,New Hampshire,2020-04-27,1938,60,779,1101,0,2,0.0018165304268846503,0.0,1.0,2,0.03398058252427183
98,US,New Hampshire,2020-04-28,2010,60,798,1171,0,19,0.016225448334756618,0.0,1.0,19,0.0
99,US,New Hampshire,2020-04-29,2058,60,936,1200,0,138,0.115,0.0,1.0,138,0.0
100,US,New Hampshire,2020-04-30,2146,72,980,1150,12,44,0.04869565217391304,0.21428571428571427,0.7857142857142857,56,-0.2142857142857143
101,US,New Hampshire,2020-05-01,2310,81,980,1258,9,0,0.007154213036565978,1.0,0.0,9,-0.7857142857142857
102,US,New Hampshire,2020-05-02,2429,84,980,1368,3,0,0.0021929824561403508,1.0,0.0,3,0.0
103,US,New Hampshire,2020-05-03,2518,86,1107,1454,2,127,0.08872077028885832,0.015503875968992248,0.9844961240310077,129,0.9844961240310077
104,US,New Hampshire,2020-05-04,2588,86,1017,1395,0,-90,-0.06451612903225806,-0.0,1.0,-90,0.015503875968992276
105,US,New Hampshire,2020-05-05,2636,92,1019,1533,6,2,0.005218525766470972,0.75,0.25,8,-0.75
106,US,New Hampshire,2020-05-06,2741,92,1105,1630,0,86,0.05276073619631902,0.0,1.0,86,0.75
107,US,New Hampshire,2020-05-07,2843,114,1110,1646,22,5,0.016403402187120292,0.8148148148148148,0.18518518518518517,27,-0.8148148148148149
108,US,New Hampshire,2020-05-08,2947,121,1165,1723,7,55,0.035983749274521186,0.11290322580645161,0.8870967741935484,62,0.7019115890083631
109,US,New Hampshire,2020-05-09,3011,131,1210,1725,10,45,0.03188405797101449,0.18181818181818182,0.8181818181818182,55,-0.06891495601173014
110,US,New Hampshire,2020-05-10,3071,133,1228,1730,2,18,0.011560693641618497,0.1,0.9,20,0.08181818181818179
111,US,New Hampshire,2020-05-11,3160,133,1229,1799,0,1,0.0005558643690939411,0.0,1.0,1,0.09999999999999998
112,US,New Hampshire,2020-05-12,3239,142,1231,1877,9,2,0.005860415556739478,0.8181818181818182,0.18181818181818182,11,-0.8181818181818181
113,US,New Hampshire,2020-05-13,3299,150,1234,1926,8,3,0.005711318795430945,0.7272727272727273,0.2727272727272727,11,0.09090909090909088
114,US,New Hampshire,2020-05-14,3382,151,1236,1998,1,2,0.0015015015015015015,0.3333333333333333,0.6666666666666666,3,0.3939393939393939
115,US,New Hampshire,2020-05-15,3453,151,1247,2066,0,11,0.005324298160696999,0.0,1.0,11,0.33333333333333337
116,US,New Hampshire,2020-05-16,3556,171,1254,2158,20,7,0.012511584800741427,0.7407407407407407,0.25925925925925924,27,-0.7407407407407407
117,US,New Hampshire,2020-05-17,3596,172,1258,2171,1,4,0.0023030861354214646,0.2,0.8,5,0.5407407407407407
118,US,New Hampshire,2020-05-18,3652,172,1268,2222,0,10,0.004500450045004501,0.0,1.0,10,0.19999999999999996
119,US,New Hampshire,2020-05-19,3721,172,1269,2281,0,1,0.00043840420868040335,0.0,1.0,1,0.0
120,US,New Hampshire,2020-05-20,3868,190,1275,2427,18,6,0.009888751545117428,0.75,0.25,24,-0.75
121,US,New Hampshire,2020-05-21,3935,199,1388,2470,9,113,0.04939271255060729,0.07377049180327869,0.9262295081967213,122,0.6762295081967213
122,US,New Hampshire,2020-05-22,4014,204,1767,2427,5,379,0.15822002472187885,0.013020833333333334,0.9869791666666666,384,0.06074965846994529
123,US,New Hampshire,2020-05-23,4089,208,2197,2118,4,430,0.2049102927289896,0.009216589861751152,0.9907834101382489,434,0.003804243471582258
124,US,New Hampshire,2020-05-24,4149,209,2197,1744,1,0,0.0005733944954128441,1.0,0.0,1,-0.9907834101382489
125,US,New Hampshire,2020-05-25,4197,210,2204,1791,1,7,0.00446677833612507,0.125,0.875,8,0.875
126,US,New Hampshire,2020-05-26,4231,214,2434,1817,4,230,0.12878370941111722,0.017094017094017096,0.9829059829059829,234,0.10790598290598286
