Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
82,US,Wisconsin,2020-04-12,3341,144,,3341,144,,,,,,
83,US,Wisconsin,2020-04-13,3428,154,,,10,,,,,,
84,US,Wisconsin,2020-04-14,3555,170,,,16,,,,,,
85,US,Wisconsin,2020-04-15,3721,183,,,13,,,,,,
86,US,Wisconsin,2020-04-16,3875,197,,,14,,,,,,
87,US,Wisconsin,2020-04-17,4053,206,,,9,,,,,,
88,US,Wisconsin,2020-04-18,4199,212,,,6,,,,,,
89,US,Wisconsin,2020-04-19,4346,220,,,8,,,,,,
90,US,Wisconsin,2020-04-20,4499,230,,,10,,,,,,
91,US,Wisconsin,2020-04-21,4625,244,,,14,,,,,,
92,US,Wisconsin,2020-04-22,4845,248,,,4,,,,,,
93,US,Wisconsin,2020-04-23,5052,258,,,10,,,,,,
94,US,Wisconsin,2020-04-24,5356,263,,,5,,,,,,
95,US,Wisconsin,2020-04-25,5687,266,,,3,,,,,,
96,US,Wisconsin,2020-04-26,5912,272,,,6,,,,,,
97,US,Wisconsin,2020-04-27,6081,281,,,9,,,,,,
98,US,Wisconsin,2020-04-28,6289,300,,,19,,,,,,
99,US,Wisconsin,2020-04-29,6520,308,,,8,,,,,,
100,US,Wisconsin,2020-04-30,6854,316,3352,,8,,,,,,
101,US,Wisconsin,2020-05-01,7314,327,3352,3646,11,0,0.0030170049369171695,1.0,0.0,11,
102,US,Wisconsin,2020-05-02,7660,334,3698,3981,7,346,0.0886711881436825,0.019830028328611898,0.9801699716713881,353,0.9801699716713881
103,US,Wisconsin,2020-05-03,7964,339,3723,3932,5,25,0.0076297049847405905,0.16666666666666666,0.8333333333333334,30,-0.14683663833805471
104,US,Wisconsin,2020-05-04,8236,340,3973,4174,1,250,0.06013416387158601,0.00398406374501992,0.9960159362549801,251,0.1626826029216467
105,US,Wisconsin,2020-05-05,8566,353,4131,4253,13,158,0.04020691276745827,0.07602339181286549,0.9239766081871345,171,-0.07203932806784563
106,US,Wisconsin,2020-05-06,8901,362,4348,4417,9,217,0.051165949739642294,0.03982300884955752,0.9601769911504425,226,0.036200382963308075
107,US,Wisconsin,2020-05-07,9215,374,4520,4505,12,172,0.04084350721420644,0.06521739130434782,0.9347826086956522,184,-0.02539438245479031
108,US,Wisconsin,2020-05-08,9590,384,4694,4696,10,174,0.039182282793867124,0.05434782608695652,0.9456521739130435,184,0.010869565217391242
109,US,Wisconsin,2020-05-09,9939,398,4875,4861,14,181,0.04011520263320304,0.07179487179487179,0.9282051282051282,195,-0.01744704570791522
110,US,Wisconsin,2020-05-10,10219,400,5014,4946,2,139,0.028507885159725032,0.014184397163120567,0.9858156028368794,141,0.057610474631751174
111,US,Wisconsin,2020-05-11,10418,409,5176,5004,9,162,0.0341726618705036,0.05263157894736842,0.9473684210526315,171,-0.038447181784247886
112,US,Wisconsin,2020-05-12,10611,418,5371,5026,9,195,0.04058893752487067,0.04411764705882353,0.9558823529411765,204,0.00851393188854499
113,US,Wisconsin,2020-05-13,10902,421,5673,5113,3,302,0.05965186778799139,0.009836065573770493,0.9901639344262295,305,0.034281581485053
114,US,Wisconsin,2020-05-14,11275,434,5994,5181,13,321,0.0644663192433893,0.038922155688622756,0.9610778443113772,334,-0.029086090114852303
115,US,Wisconsin,2020-05-15,11685,445,6250,5257,11,256,0.050789423625642004,0.04119850187265917,0.9588014981273408,267,-0.002276346184036382
116,US,Wisconsin,2020-05-16,12187,453,6542,5492,8,292,0.05462490895848507,0.02666666666666667,0.9733333333333334,300,0.01453183520599255
117,US,Wisconsin,2020-05-17,12543,453,6542,5548,0,0,0.0,,,0,
118,US,Wisconsin,2020-05-18,12687,459,6786,5692,6,244,0.04392129304286718,0.024,0.976,250,
119,US,Wisconsin,2020-05-19,12885,467,7371,5640,8,585,0.1051418439716312,0.013490725126475547,0.9865092748735245,593,0.010509274873524488
