Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
5,Australia,Northern Territory,2020-03-11,1,0,0,1,0,0,0.0,,,0,
6,Australia,Northern Territory,2020-03-21,3,0,0,3,0,0,0.0,,,0,
7,Australia,Northern Territory,2020-03-31,17,0,0,17,0,0,0.0,,,0,
8,Australia,Northern Territory,2020-04-10,28,0,2,28,0,2,0.07142857142857142,0.0,1.0,2,
9,Australia,Northern Territory,2020-04-20,28,0,9,26,0,7,0.2692307692307692,0.0,1.0,7,0.0
10,Australia,Northern Territory,2020-04-30,28,0,25,19,0,16,0.8421052631578947,0.0,1.0,16,0.0
11,Australia,Northern Territory,2020-05-10,29,0,27,4,0,2,0.5,0.0,1.0,2,0.0
12,Australia,Northern Territory,2020-05-20,29,0,29,2,0,2,1.0,0.0,1.0,2,0.0
13,Australia,Northern Territory,2020-05-30,29,0,29,0,0,0,,,,0,
14,Australia,Northern Territory,2020-06-09,29,0,29,0,0,0,,,,0,
15,Australia,Northern Territory,2020-06-19,29,0,29,0,0,0,,,,0,
16,Australia,Northern Territory,2020-06-29,29,0,29,0,0,0,,,,0,
17,Australia,Northern Territory,2020-07-09,31,0,29,2,0,0,0.0,,,0,
18,Australia,Northern Territory,2020-07-19,31,0,29,2,0,0,0.0,,,0,
19,Australia,Northern Territory,2020-07-29,31,0,30,2,0,1,0.5,0.0,1.0,1,
20,Australia,Northern Territory,2020-08-08,33,0,30,3,0,0,0.0,,,0,
21,Australia,Northern Territory,2020-08-18,33,0,33,3,0,3,1.0,0.0,1.0,3,
22,Australia,Northern Territory,2020-08-28,33,0,33,0,0,0,,,,0,
23,Australia,Northern Territory,2020-09-07,33,0,33,0,0,0,,,,0,
24,Australia,Northern Territory,2020-09-17,33,0,33,0,0,0,,,,0,
25,Australia,Northern Territory,2020-09-27,33,0,33,0,0,0,,,,0,
26,Australia,Northern Territory,2020-10-07,33,0,33,0,0,0,,,,0,
27,Australia,Northern Territory,2020-10-17,33,0,33,0,0,0,,,,0,
28,Australia,Northern Territory,2020-10-27,33,0,33,0,0,0,,,,0,
29,Australia,Northern Territory,2020-11-06,39,0,33,6,0,0,0.0,,,0,
30,Australia,Northern Territory,2020-11-16,46,0,38,13,0,5,0.38461538461538464,0.0,1.0,5,
31,Australia,Northern Territory,2020-11-26,52,0,46,14,0,8,0.5714285714285714,0.0,1.0,8,0.0
32,Australia,Northern Territory,2020-12-06,59,0,46,13,0,0,0.0,,,0,
33,Australia,Northern Territory,2020-12-16,68,0,59,22,0,13,0.5909090909090909,0.0,1.0,13,
34,Australia,Northern Territory,2020-12-26,73,0,62,14,0,3,0.21428571428571427,0.0,1.0,3,0.0
35,Australia,Northern Territory,2021-01-05,87,0,70,25,0,8,0.32,0.0,1.0,8,0.0
36,Australia,Northern Territory,2021-01-15,93,0,74,23,0,4,0.17391304347826086,0.0,1.0,4,0.0
37,Australia,Northern Territory,2021-01-25,98,0,90,24,0,16,0.6666666666666666,0.0,1.0,16,0.0
38,Australia,Northern Territory,2021-02-04,99,0,98,9,0,8,0.8888888888888888,0.0,1.0,8,0.0
39,Australia,Northern Territory,2021-02-14,103,0,98,5,0,0,0.0,,,0,
40,Australia,Northern Territory,2021-02-19,104,0,101,6,0,3,0.5,0.0,1.0,3,
