Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
12,Chile,Los Rios,2020-05-20,247,6,0,247,6,0,0.024291497975708502,1.0,0.0,6,
13,Chile,Los Rios,2020-05-30,345,6,0,339,0,0,0.0,,,0,
14,Chile,Los Rios,2020-06-09,446,8,0,440,2,0,0.004545454545454545,1.0,0.0,2,
15,Chile,Los Rios,2020-06-19,579,10,0,571,2,0,0.0035026269702276708,1.0,0.0,2,0.0
16,Chile,Los Rios,2020-06-29,689,10,585,679,0,585,0.8615611192930781,0.0,1.0,585,1.0
17,Chile,Los Rios,2020-07-09,753,11,678,158,1,93,0.5949367088607594,0.010638297872340425,0.9893617021276596,94,-0.010638297872340385
18,Chile,Los Rios,2020-07-19,833,13,733,144,2,55,0.3958333333333333,0.03508771929824561,0.9649122807017544,57,-0.024449421425905227
19,Chile,Los Rios,2020-07-29,891,13,824,145,0,91,0.6275862068965518,0.0,1.0,91,0.03508771929824561
20,Chile,Los Rios,2020-08-08,951,15,882,114,2,58,0.5263157894736842,0.03333333333333333,0.9666666666666667,60,-0.033333333333333326
21,Chile,Los Rios,2020-08-18,1015,15,938,118,0,56,0.4745762711864407,0.0,1.0,56,0.033333333333333326
22,Chile,Los Rios,2020-08-28,1085,15,1008,132,0,70,0.5303030303030303,0.0,1.0,70,0.0
23,Chile,Los Rios,2020-09-07,1214,15,1075,191,0,67,0.3507853403141361,0.0,1.0,67,0.0
24,Chile,Los Rios,2020-09-17,1474,15,1211,384,0,136,0.3541666666666667,0.0,1.0,136,0.0
25,Chile,Los Rios,2020-09-27,1777,19,1455,551,4,244,0.4500907441016334,0.016129032258064516,0.9838709677419355,248,-0.016129032258064502
26,Chile,Los Rios,2020-10-07,2239,21,1748,765,2,293,0.38562091503267976,0.006779661016949152,0.9932203389830508,295,0.009349371241115345
27,Chile,Los Rios,2020-10-17,2693,26,2231,924,5,483,0.5281385281385281,0.010245901639344262,0.9897540983606558,488,-0.0034662406223950892
28,Chile,Los Rios,2020-10-27,3231,31,2817,974,5,586,0.606776180698152,0.008460236886632826,0.9915397631133672,591,0.0017856647527114689
29,Chile,Los Rios,2020-11-06,3993,35,3408,1145,4,591,0.519650655021834,0.0067226890756302525,0.9932773109243698,595,0.0017375478110025488
30,Chile,Los Rios,2020-11-16,4905,44,4216,1462,9,808,0.5588235294117647,0.011015911872705019,0.988984088127295,817,-0.0042932227970747805
31,Chile,Los Rios,2020-11-26,5770,50,5122,1510,6,906,0.6039735099337749,0.006578947368421052,0.993421052631579,912,0.004436964504283991
32,Chile,Los Rios,2020-12-06,6596,61,5978,1424,11,856,0.6088483146067416,0.012687427912341407,0.9873125720876585,867,-0.006108480543920436
33,Chile,Los Rios,2020-12-16,7445,70,6818,1406,9,840,0.6038406827880513,0.01060070671378092,0.9893992932862191,849,0.0020867211985605705
34,Chile,Los Rios,2020-12-22,8043,77,7367,1155,7,549,0.48138528138528136,0.012589928057553957,0.987410071942446,556,-0.0019892213437731066
