Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
1,China,Fujian,2020-01-31,120,,,120,,,,,,,
2,China,Fujian,2020-02-10,261,0,39,,,,,,,,
3,China,Fujian,2020-02-20,293,1,126,254,1,87,0.3464566929133858,0.011363636363636364,0.9886363636363636,88,
4,China,Fujian,2020-03-01,296,1,247,169,0,121,0.7159763313609467,0.0,1.0,121,0.011363636363636354
5,China,Fujian,2020-03-11,296,1,295,48,0,48,1.0,0.0,1.0,48,0.0
6,China,Fujian,2020-03-21,303,1,295,7,0,0,0.0,,,0,
7,China,Fujian,2020-03-31,343,1,295,47,0,0,0.0,,,0,
8,China,Fujian,2020-04-10,351,1,311,55,0,16,0.2909090909090909,0.0,1.0,16,
9,China,Fujian,2020-04-20,355,1,339,43,0,28,0.6511627906976745,0.0,1.0,28,0.0
10,China,Fujian,2020-04-30,356,1,353,16,0,14,0.875,0.0,1.0,14,0.0
11,China,Fujian,2020-05-10,356,1,354,2,0,1,0.5,0.0,1.0,1,0.0
12,China,Fujian,2020-05-20,356,1,355,1,0,1,1.0,0.0,1.0,1,0.0
13,China,Fujian,2020-05-30,358,1,355,2,0,0,0.0,,,0,
14,China,Fujian,2020-06-09,359,1,356,3,0,1,0.3333333333333333,0.0,1.0,1,
15,China,Fujian,2020-06-19,362,1,357,5,0,1,0.2,0.0,1.0,1,0.0
16,China,Fujian,2020-06-29,363,1,357,5,0,0,0.0,,,0,
17,China,Fujian,2020-07-09,363,1,360,5,0,3,0.6,0.0,1.0,3,
18,China,Fujian,2020-07-19,363,1,361,2,0,1,0.5,0.0,1.0,1,0.0
19,China,Fujian,2020-07-29,366,1,362,4,0,1,0.25,0.0,1.0,1,0.0
20,China,Fujian,2020-08-08,367,1,363,4,0,1,0.25,0.0,1.0,1,0.0
21,China,Fujian,2020-08-18,370,1,365,6,0,2,0.3333333333333333,0.0,1.0,2,0.0
22,China,Fujian,2020-08-28,378,1,366,12,0,1,0.08333333333333333,0.0,1.0,1,0.0
23,China,Fujian,2020-09-07,387,1,372,20,0,6,0.3,0.0,1.0,6,0.0
24,China,Fujian,2020-09-17,393,1,379,20,0,7,0.35,0.0,1.0,7,0.0
25,China,Fujian,2020-09-27,403,1,387,23,0,8,0.34782608695652173,0.0,1.0,8,0.0
26,China,Fujian,2020-10-07,413,1,397,25,0,10,0.4,0.0,1.0,10,0.0
27,China,Fujian,2020-10-17,417,1,407,19,0,10,0.5263157894736842,0.0,1.0,10,0.0
28,China,Fujian,2020-10-27,431,1,410,23,0,3,0.13043478260869565,0.0,1.0,3,0.0
29,China,Fujian,2020-11-06,455,1,417,44,0,7,0.1590909090909091,0.0,1.0,7,0.0
30,China,Fujian,2020-11-16,461,1,430,43,0,13,0.3023255813953488,0.0,1.0,13,0.0
31,China,Fujian,2020-11-26,481,1,438,50,0,8,0.16,0.0,1.0,8,0.0
32,China,Fujian,2020-12-05,499,1,452,60,0,14,0.23333333333333334,0.0,1.0,14,0.0
