Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
4,Ecuador,,2020-03-01,6,0,0,6,0,0,0.0,,,0,
5,Ecuador,,2020-03-11,17,0,0,17,0,0,0.0,,,0,
6,Ecuador,,2020-03-21,506,7,3,506,7,3,0.019762845849802372,0.7,0.3,10,
7,Ecuador,,2020-03-31,2240,75,54,2230,68,51,0.05336322869955157,0.5714285714285714,0.42857142857142855,119,0.12857142857142856
8,Ecuador,,2020-04-10,7161,297,368,7032,222,314,0.07622298065984073,0.4141791044776119,0.585820895522388,536,0.15724946695095948
9,Ecuador,,2020-04-20,10128,507,1150,9463,210,782,0.10482933530592835,0.21169354838709678,0.7883064516129032,992,0.20248555609051522
10,Ecuador,,2020-04-30,24934,900,1558,23277,393,408,0.0344116509859518,0.49063670411985016,0.5093632958801498,801,-0.2789431557327534
11,Ecuador,,2020-05-10,29559,2127,3433,27101,1227,1875,0.11446072100660493,0.3955512572533849,0.6044487427466151,3102,0.09508544686646525
12,Ecuador,,2020-05-20,34854,2888,3557,29294,761,124,0.03021096470266949,0.8598870056497175,0.1401129943502825,885,-0.4643357483963326
13,Ecuador,,2020-05-30,38571,3334,19190,32126,446,15633,0.5004980389715495,0.027738043410659868,0.9722619565893401,16079,0.8321489622390577
14,Ecuador,,2020-06-09,43917,3690,21020,21393,356,1830,0.1021829570420231,0.16285452881976212,0.8371454711802379,2186,-0.13511648540910226
15,Ecuador,,2020-06-19,49731,4156,24446,25021,466,3426,0.1555493385556133,0.1197327852004111,0.8802672147995889,3892,0.04312174361935106
16,Ecuador,,2020-06-29,55665,4502,27430,27063,346,2984,0.12304622547389425,0.1039039039039039,0.8960960960960961,3330,0.01582888129650717
17,Ecuador,,2020-07-09,64221,4900,29184,32289,398,1754,0.06664808448697698,0.18494423791821563,0.8150557620817844,2152,-0.08104033401431165
18,Ecuador,,2020-07-19,74013,5313,31901,39929,413,2717,0.07838914072478649,0.13194888178913738,0.8680511182108627,3130,0.05299535612907824
19,Ecuador,,2020-07-29,83193,5623,35572,45979,310,3671,0.08658300528502143,0.07786988193921125,0.9221301180607887,3981,0.054078999849926035
20,Ecuador,,2020-08-08,93572,5916,71605,52377,293,36033,0.6935486950378983,0.008065848152838187,0.9919341518471618,36326,0.06980403378637312
21,Ecuador,,2020-08-18,102941,6105,87183,25420,189,15578,0.6202596380802518,0.011987061584321685,0.9880129384156783,15767,-0.00392121343148355
22,Ecuador,,2020-08-28,112141,6504,95311,18853,399,8128,0.4522887604094839,0.04679254133927525,0.9532074586607248,8527,-0.03480547975495352
23,Ecuador,,2020-09-07,110092,10576,91242,8277,4072,-4069,0.0003624501631025734,1357.3333333333333,-1356.3333333333333,3,-1357.286540791994
24,Ecuador,,2020-09-17,122257,11029,97063,20439,453,5821,0.3069621801457997,0.07220274147274466,0.9277972585272554,6274,1357.2611305918606
25,Ecuador,,2020-09-27,134747,11279,112296,26655,250,15233,0.5808666291502532,0.01614674158754763,0.9838532584124524,15483,0.05605599988519705
26,Ecuador,,2020-10-07,143531,11743,120511,19956,464,8215,0.43490679494888757,0.05346238045857818,0.9465376195414218,8679,-0.03731563887103062
27,Ecuador,,2020-10-17,152422,12375,128134,20168,632,7623,0.40931178103927013,0.07655966081162932,0.9234403391883707,8255,-0.02309728035305114
28,Ecuador,,2020-10-27,163192,12588,141759,22683,213,13625,0.6100603976546313,0.015392397745338921,0.984607602254661,13838,0.06116726306629039
29,Ecuador,,2020-11-06,172508,12761,149048,18161,173,7289,0.4108804581245526,0.0231841329402305,0.9768158670597695,7462,-0.007791735194891514
30,Ecuador,,2020-11-16,180676,13016,160639,18867,255,11591,0.6278687655695129,0.021526253587708932,0.9784737464122911,11846,0.0016578793525215962
31,Ecuador,,2020-11-26,188138,13316,164009,14483,300,3370,0.25340053856245254,0.08174386920980926,0.9182561307901907,3670,-0.06021761562210037
32,Ecuador,,2020-12-06,197998,13778,174188,20673,462,10179,0.5147293571324917,0.04341697208908937,0.9565830279109107,10641,0.038326897120719905
33,Ecuador,,2020-12-16,203461,13915,177951,15495,137,3763,0.25169409486931266,0.03512820512820513,0.9648717948717949,3900,0.008288766960884209
34,Ecuador,,2020-12-26,209274,13990,181618,17408,75,3667,0.21495863970588236,0.020042757883484766,0.9799572421165152,3742,0.015085447244720385
35,Ecuador,,2021-01-05,216083,14103,190350,20475,113,8732,0.431990231990232,0.012775579423403053,0.987224420576597,8845,0.007267178460081736
36,Ecuador,,2021-01-15,226866,14273,193581,22413,170,3231,0.15174229241957793,0.049985298441634816,0.9500147015583652,3401,-0.03720971901823178
37,Ecuador,,2021-01-25,241567,14639,204071,33713,366,10490,0.322012280129327,0.03371407516580693,0.9662859248341931,10856,0.016271223275827862
38,Ecuador,,2021-02-04,253339,14968,209814,34629,329,5743,0.17534436454994368,0.05418313570487483,0.9458168642951251,6072,-0.02046906053906794
39,Ecuador,,2021-02-14,267223,15321,230377,42441,353,20563,0.4928253339930727,0.016877031937272902,0.9831229680627271,20916,0.03730610376760202
40,Ecuador,,2021-02-24,278779,15634,238817,33081,313,8440,0.26459296877361627,0.035759168285159376,0.9642408317148407,8753,-0.01888213634788649
41,Ecuador,,2021-03-06,292943,16020,247898,38492,386,9081,0.24594720980983062,0.04077321221083765,0.9592267877891624,9467,-0.00501404392567828
42,Ecuador,,2021-03-16,302854,16259,263164,38936,239,15266,0.39821758783644956,0.015414382457271848,0.9845856175427281,15505,0.025358829753565737
43,Ecuador,,2021-03-26,321451,16632,271847,42028,373,8683,0.21547539735414487,0.04118816254416961,0.9588118374558304,9056,-0.02577378008689768
44,Ecuador,,2021-04-05,336777,16987,290314,48298,355,18467,0.3897055778707193,0.01886090744873021,0.9811390925512697,18822,0.022327255095439313
45,Ecuador,,2021-04-15,355431,17489,298604,48130,502,8290,0.18267193018907127,0.057097361237488625,0.9429026387625113,8792,-0.038236453788758396
46,Ecuador,,2021-04-25,373362,18177,318598,57269,688,19994,0.36113778833225657,0.033265641620733005,0.966734358379267,20682,0.023831719616755676
47,Ecuador,,2021-05-05,393048,18907,329582,56273,730,10984,0.20816377303502567,0.06231859313641796,0.937681406863582,11714,-0.029052951515684988
48,Ecuador,,2021-05-15,409520,19692,342878,61031,785,13296,0.23071881502842817,0.0557488814714864,0.9442511185285136,14081,0.006569711664931588
