Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
4,Estonia,,2020-03-01,1,0,0,1,0,0,0.0,,,0,
5,Estonia,,2020-03-11,16,0,0,16,0,0,0.0,,,0,
6,Estonia,,2020-03-21,306,0,1,306,0,1,0.0032679738562091504,0.0,1.0,1,
7,Estonia,,2020-03-31,745,4,26,744,4,25,0.038978494623655914,0.13793103448275862,0.8620689655172413,29,-0.13793103448275867
8,Estonia,,2020-04-10,1258,24,93,1228,20,67,0.07084690553745929,0.22988505747126436,0.7701149425287356,87,-0.09195402298850575
9,Estonia,,2020-04-20,1535,40,165,1418,16,72,0.06205923836389281,0.18181818181818182,0.8181818181818182,88,0.04806687565308265
10,Estonia,,2020-04-30,1689,52,249,1484,12,84,0.0646900269541779,0.125,0.875,96,0.05681818181818177
11,Estonia,,2020-05-10,1739,60,750,1438,8,501,0.35396383866481224,0.015717092337917484,0.9842829076620825,509,0.10928290766208248
12,Estonia,,2020-05-20,1794,64,956,984,4,206,0.21341463414634146,0.01904761904761905,0.9809523809523809,210,-0.0033305267097015756
13,Estonia,,2020-05-30,1865,67,1622,845,3,666,0.7917159763313609,0.004484304932735426,0.9955156950672646,669,0.014563314114883652
14,Estonia,,2020-06-09,1947,69,1684,258,2,62,0.24806201550387597,0.03125,0.96875,64,-0.02676569506726456
15,Estonia,,2020-06-19,1979,69,1755,226,0,71,0.3141592920353982,0.0,1.0,71,0.03125
16,Estonia,,2020-06-29,1987,69,1818,163,0,63,0.38650306748466257,0.0,1.0,63,0.0
17,Estonia,,2020-07-09,2011,69,1889,124,0,71,0.5725806451612904,0.0,1.0,71,0.0
18,Estonia,,2020-07-19,2021,69,1912,63,0,23,0.36507936507936506,0.0,1.0,23,0.0
19,Estonia,,2020-07-29,2042,69,1926,61,0,14,0.22950819672131148,0.0,1.0,14,0.0
20,Estonia,,2020-08-08,2147,63,1961,152,-6,35,0.19078947368421054,-0.20689655172413793,1.206896551724138,29,0.2068965517241379
21,Estonia,,2020-08-18,2200,63,1990,176,0,29,0.16477272727272727,0.0,1.0,29,-0.2068965517241379
22,Estonia,,2020-08-28,2343,64,2076,290,1,86,0.3,0.011494252873563218,0.9885057471264368,87,-0.011494252873563204
23,Estonia,,2020-09-07,2532,64,2176,392,0,100,0.25510204081632654,0.0,1.0,100,0.011494252873563204
24,Estonia,,2020-09-17,2778,64,2337,538,0,161,0.2992565055762082,0.0,1.0,161,0.0
25,Estonia,,2020-09-27,3200,64,2506,799,0,169,0.21151439299123906,0.0,1.0,169,0.0
26,Estonia,,2020-10-07,3715,67,2813,1145,3,307,0.27074235807860264,0.00967741935483871,0.9903225806451613,310,-0.009677419354838679
27,Estonia,,2020-10-17,4052,68,3198,1172,1,385,0.3293515358361775,0.0025906735751295338,0.9974093264248705,386,0.007086745779709136
28,Estonia,,2020-10-27,4465,73,3561,1199,5,363,0.30692243536280234,0.01358695652173913,0.9864130434782609,368,-0.010996282946609592
29,Estonia,,2020-11-06,5705,73,4103,2071,0,542,0.26170931916948337,0.0,1.0,542,0.013586956521739135
30,Estonia,,2020-11-16,7848,81,4749,3672,8,646,0.1781045751633987,0.012232415902140673,0.9877675840978594,654,-0.012232415902140636
31,Estonia,,2020-11-26,10955,99,6497,6125,18,1748,0.2883265306122449,0.010192525481313703,0.9898074745186863,1766,0.002039890420826973
32,Estonia,,2020-12-06,14978,131,8959,8382,32,2462,0.2975423526604629,0.012830793905372895,0.9871692060946271,2494,-0.0026382684240592313
33,Estonia,,2020-12-16,19271,160,12117,10181,29,3158,0.3130340830959631,0.009099466582993411,0.9909005334170066,3187,0.003731327322379463
34,Estonia,,2020-12-18,20658,168,12922,8381,8,805,0.09700513065266675,0.00984009840098401,0.990159901599016,813,-0.0007406318179905558
