Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
5,France,St Martin,2020-03-11,2,0,0,2,0,0,0.0,,,0,
6,France,St Martin,2020-03-21,4,0,0,4,0,0,0.0,,,0,
7,France,St Martin,2020-03-31,15,1,2,15,1,2,0.2,0.3333333333333333,0.6666666666666666,3,
8,France,St Martin,2020-04-10,32,2,11,29,1,9,0.3448275862068966,0.1,0.9,10,0.2333333333333334
9,France,St Martin,2020-04-20,37,2,19,24,0,8,0.3333333333333333,0.0,1.0,8,0.09999999999999998
10,France,St Martin,2020-04-30,38,3,24,17,1,5,0.35294117647058826,0.16666666666666666,0.8333333333333334,6,-0.16666666666666663
11,France,St Martin,2020-05-10,39,3,30,12,0,6,0.5,0.0,1.0,6,0.16666666666666663
12,France,St Martin,2020-05-20,40,3,33,7,0,3,0.42857142857142855,0.0,1.0,3,0.0
13,France,St Martin,2020-05-30,41,3,33,5,0,0,0.0,,,0,
14,France,St Martin,2020-06-09,41,3,33,5,0,0,0.0,,,0,
15,France,St Martin,2020-06-19,42,3,36,6,0,3,0.5,0.0,1.0,3,
16,France,St Martin,2020-06-29,43,3,37,4,0,1,0.25,0.0,1.0,1,0.0
17,France,St Martin,2020-07-09,43,3,37,3,0,0,0.0,,,0,
18,France,St Martin,2020-07-19,46,3,39,6,0,2,0.3333333333333333,0.0,1.0,2,
19,France,St Martin,2020-07-29,49,3,41,7,0,2,0.2857142857142857,0.0,1.0,2,0.0
20,France,St Martin,2020-08-08,53,3,41,9,0,0,0.0,,,0,
21,France,St Martin,2020-08-18,121,5,49,77,2,8,0.12987012987012986,0.2,0.8,10,
22,France,St Martin,2020-08-28,213,5,79,159,0,30,0.18867924528301888,0.0,1.0,30,0.19999999999999996
23,France,St Martin,2020-09-07,239,6,79,155,1,0,0.0064516129032258064,1.0,0.0,1,-1.0
24,France,St Martin,2020-09-17,330,6,206,245,0,127,0.5183673469387755,0.0,1.0,127,1.0
25,France,St Martin,2020-09-27,383,8,273,171,2,67,0.40350877192982454,0.028985507246376812,0.9710144927536232,69,-0.02898550724637683
26,France,St Martin,2020-10-07,412,8,309,131,0,36,0.2748091603053435,0.0,1.0,36,0.02898550724637683
27,France,St Martin,2020-10-17,531,8,380,214,0,71,0.3317757009345794,0.0,1.0,71,0.0
28,France,St Martin,2020-10-27,566,9,488,178,1,108,0.6123595505617978,0.009174311926605505,0.9908256880733946,109,-0.00917431192660545
29,France,St Martin,2020-11-06,604,12,522,107,3,34,0.34579439252336447,0.08108108108108109,0.918918918918919,37,-0.07190676915447558
30,France,St Martin,2020-11-16,655,12,551,121,0,29,0.2396694214876033,0.0,1.0,29,0.08108108108108103
31,France,St Martin,2020-11-26,690,12,598,127,0,47,0.3700787401574803,0.0,1.0,47,0.0
32,France,St Martin,2020-12-06,717,12,641,107,0,43,0.40186915887850466,0.0,1.0,43,0.0
33,France,St Martin,2020-12-16,801,12,675,148,0,34,0.22972972972972974,0.0,1.0,34,0.0
34,France,St Martin,2020-12-23,961,12,855,274,0,180,0.656934306569343,0.0,1.0,180,0.0
