Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
19,India,Lakshadweep,2020-07-29,0,0,0,0,0,0,,,,0,
20,India,Lakshadweep,2020-08-08,0,0,0,0,0,0,,,,0,
21,India,Lakshadweep,2020-08-18,0,0,0,0,0,0,,,,0,
22,India,Lakshadweep,2020-08-28,0,0,0,0,0,0,,,,0,
23,India,Lakshadweep,2020-09-07,0,0,0,0,0,0,,,,0,
24,India,Lakshadweep,2020-09-17,0,0,0,0,0,0,,,,0,
25,India,Lakshadweep,2020-09-27,0,0,0,0,0,0,,,,0,
26,India,Lakshadweep,2020-10-07,0,0,0,0,0,0,,,,0,
27,India,Lakshadweep,2020-10-17,0,0,0,0,0,0,,,,0,
28,India,Lakshadweep,2020-10-27,0,0,0,0,0,0,,,,0,
29,India,Lakshadweep,2020-11-06,0,0,0,0,0,0,,,,0,
30,India,Lakshadweep,2020-11-16,0,0,0,0,0,0,,,,0,
31,India,Lakshadweep,2020-11-26,0,0,0,0,0,0,,,,0,
32,India,Lakshadweep,2020-12-06,0,0,0,0,0,0,,,,0,
33,India,Lakshadweep,2020-12-16,0,0,0,0,0,0,,,,0,
34,India,Lakshadweep,2020-12-26,0,0,0,0,0,0,,,,0,
35,India,Lakshadweep,2021-01-05,0,0,0,0,0,0,,,,0,
36,India,Lakshadweep,2021-01-15,0,0,0,0,0,0,,,,0,
37,India,Lakshadweep,2021-01-25,67,0,0,67,0,0,0.0,,,0,
38,India,Lakshadweep,2021-02-04,126,0,61,126,0,61,0.48412698412698413,0.0,1.0,61,
39,India,Lakshadweep,2021-02-14,233,0,136,172,0,75,0.436046511627907,0.0,1.0,75,0.0
40,India,Lakshadweep,2021-02-24,322,0,236,186,0,100,0.5376344086021505,0.0,1.0,100,0.0
41,India,Lakshadweep,2021-03-06,473,1,313,237,1,77,0.3291139240506329,0.01282051282051282,0.9871794871794872,78,-0.012820512820512775
42,India,Lakshadweep,2021-03-16,625,1,457,311,0,144,0.4630225080385852,0.0,1.0,144,0.012820512820512775
43,India,Lakshadweep,2021-03-26,714,1,614,256,0,157,0.61328125,0.0,1.0,157,0.0
44,India,Lakshadweep,2021-04-05,744,1,712,129,0,98,0.7596899224806202,0.0,1.0,98,0.0
45,India,Lakshadweep,2021-04-15,901,1,754,188,0,42,0.22340425531914893,0.0,1.0,42,0.0
46,India,Lakshadweep,2021-04-25,2126,1,947,1371,0,193,0.14077315827862874,0.0,1.0,193,0.0
47,India,Lakshadweep,2021-05-05,3376,7,2240,2428,6,1293,0.53500823723229,0.004618937644341801,0.9953810623556582,1299,-0.004618937644341847
48,India,Lakshadweep,2021-05-15,4650,13,3487,2403,6,1247,0.521431543903454,0.004788507581803671,0.9952114924181963,1253,-0.00016956993746186644
49,India,Lakshadweep,2021-05-25,7111,26,4765,3611,13,1278,0.3575186928828579,0.010069713400464756,0.9899302865995352,1291,-0.005281205818661094
50,India,Lakshadweep,2021-06-04,8568,36,7324,3777,10,2559,0.680169446650781,0.003892565200467108,0.9961074347995329,2569,0.006177148199997706
51,India,Lakshadweep,2021-06-14,9236,44,8672,1876,8,1348,0.7228144989339019,0.0058997050147492625,0.9941002949852508,1356,-0.002007139814282133
52,India,Lakshadweep,2021-06-24,9601,47,9232,885,3,560,0.6361581920903955,0.0053285968028419185,0.9946714031971581,563,0.0005711082119073119
53,India,Lakshadweep,2021-07-04,9900,49,9577,621,2,345,0.5587761674718197,0.005763688760806916,0.9942363112391931,347,-0.0004350919579649837
54,India,Lakshadweep,2021-07-05,9900,49,9577,274,0,0,0.0,,,0,
