Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
12,Italy,Lazio,2020-05-20,7533,647,3100,7533,647,3100,0.49741138988450817,0.17267147050974113,0.8273285294902589,3747,
13,Italy,Lazio,2020-05-30,7715,728,3932,3968,81,832,0.23009072580645162,0.0887185104052574,0.9112814895947426,913,0.08395296010448372
14,Italy,Lazio,2020-06-09,7851,766,4515,3191,38,583,0.19460984017549357,0.061191626409017714,0.9388083735909822,621,0.027526883996239593
15,Italy,Lazio,2020-06-19,7995,826,6181,2714,60,1666,0.6359616801768607,0.03476245654692932,0.9652375434530707,1726,0.02642916986208843
16,Italy,Lazio,2020-06-29,8105,837,6428,1098,11,247,0.23497267759562843,0.04263565891472868,0.9573643410852714,258,-0.007873202367799315
17,Italy,Lazio,2020-07-09,8252,843,6520,987,6,92,0.09929078014184398,0.061224489795918366,0.9387755102040817,98,-0.018588830881189677
18,Italy,Lazio,2020-07-19,8436,851,6713,1073,8,193,0.18732525629077354,0.03980099502487562,0.9601990049751243,201,0.02142349477104266
19,Italy,Lazio,2020-07-29,8611,862,6780,1047,11,67,0.07449856733524356,0.14102564102564102,0.8589743589743589,78,-0.10122464600076542
20,Italy,Lazio,2020-08-08,8784,866,6901,1142,4,121,0.10945709281961472,0.032,0.968,125,0.10902564102564105
21,Italy,Lazio,2020-08-18,9221,871,6991,1454,5,90,0.06533700137551582,0.05263157894736842,0.9473684210526315,95,-0.020631578947368445
22,Italy,Lazio,2020-08-28,10716,878,7122,2854,7,131,0.04835318850735809,0.050724637681159424,0.9492753623188406,138,0.0019069412662090501
23,Italy,Lazio,2020-09-07,12210,881,7294,4210,3,172,0.04156769596199525,0.017142857142857144,0.9828571428571429,175,0.0335817805383023
24,Italy,Lazio,2020-09-17,13789,889,7617,5614,8,323,0.05895974349839687,0.02416918429003021,0.9758308157099698,331,-0.007026327147173106
25,Italy,Lazio,2020-09-27,15835,907,8119,7329,18,502,0.07095101650975577,0.03461538461538462,0.9653846153846154,520,-0.010446200325354371
26,Italy,Lazio,2020-10-07,18389,954,8855,9363,47,736,0.08362704261454662,0.06002554278416347,0.9399744572158365,783,-0.025410158168778896
27,Italy,Lazio,2020-10-17,23790,1018,9535,13981,64,680,0.05321507760532151,0.08602150537634409,0.9139784946236559,744,-0.02599596259218062
28,Italy,Lazio,2020-10-27,37929,1139,10648,27376,121,1113,0.045075978959672705,0.09805510534846029,0.9019448946515397,1234,-0.012033599972116171
29,Italy,Lazio,2020-11-06,60707,1370,12653,48920,231,2005,0.04570727718724448,0.10330948121645796,0.896690518783542,2236,-0.005254375867997707
30,Italy,Lazio,2020-11-16,86681,1680,15731,72658,310,3078,0.04662941451732776,0.09149940968122787,0.9085005903187722,3388,0.011810071535230171
31,Italy,Lazio,2020-11-26,111852,2215,22334,94441,535,6603,0.07558158003409536,0.07495096665732698,0.925049033342673,7138,0.016548443023900794
32,Italy,Lazio,2020-12-06,130255,2622,33422,105706,407,11088,0.10874500974400696,0.0354066985645933,0.9645933014354067,11495,0.0395442680927337
33,Italy,Lazio,2020-12-16,143370,3099,59004,107326,477,25582,0.24280230326295585,0.01830461644729268,0.9816953835527074,26059,0.017102082117300688
34,Italy,Lazio,2020-12-26,156790,3513,76983,94687,414,17979,0.19425053069587167,0.022508563040287064,0.977491436959713,18393,-0.00420394659299439
35,Italy,Lazio,2021-01-05,170973,3935,89730,90477,422,12747,0.14555080296649978,0.032044954058774396,0.9679550459412256,13169,-0.009536391018487356
36,Italy,Lazio,2021-01-15,187118,4342,105021,93453,407,15291,0.16797748600900989,0.025926869664925467,0.9740731303350745,15698,0.006118084393848866
37,Italy,Lazio,2021-01-25,198567,4722,126184,89204,380,21163,0.24150262320075333,0.017639140324003155,0.9823608596759968,21543,0.008287729340922367
38,Italy,Lazio,2021-02-04,209345,5165,146154,78439,443,19970,0.26024044161705273,0.021701856659971586,0.9782981433400284,20413,-0.0040627163359684415
39,Italy,Lazio,2021-02-14,219305,5472,174244,67986,307,28090,0.417688935957403,0.010811001162094587,0.9891889988379055,28397,0.01089085549787705
40,Italy,Lazio,2021-02-16,220959,5538,178160,41243,66,3916,0.0965497175278229,0.016574585635359115,0.9834254143646409,3982,-0.005763584473264527
