Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
13,Japan,Ehime,2020-05-30,82,4,54,82,4,54,0.7073170731707317,0.06896551724137931,0.9310344827586207,58,
14,Japan,Ehime,2020-06-09,82,4,66,24,0,12,0.5,0.0,1.0,12,0.06896551724137934
15,Japan,Ehime,2020-06-19,82,4,73,12,0,7,0.5833333333333334,0.0,1.0,7,0.0
16,Japan,Ehime,2020-06-29,82,4,77,5,0,4,0.8,0.0,1.0,4,0.0
17,Japan,Ehime,2020-07-09,82,5,77,1,1,0,1.0,1.0,0.0,1,-1.0
18,Japan,Ehime,2020-07-19,83,5,77,1,0,0,0.0,,,0,
19,Japan,Ehime,2020-07-29,89,5,77,7,0,0,0.0,,,0,
20,Japan,Ehime,2020-08-08,102,5,84,20,0,7,0.35,0.0,1.0,7,
21,Japan,Ehime,2020-08-18,110,6,94,21,1,10,0.5238095238095238,0.09090909090909091,0.9090909090909091,11,-0.09090909090909094
22,Japan,Ehime,2020-08-28,114,6,101,14,0,7,0.5,0.0,1.0,7,0.09090909090909094
23,Japan,Ehime,2020-09-07,114,6,107,7,0,6,0.8571428571428571,0.0,1.0,6,0.0
24,Japan,Ehime,2020-09-17,114,6,107,1,0,0,0.0,,,0,
25,Japan,Ehime,2020-09-27,114,6,108,1,0,1,1.0,0.0,1.0,1,
26,Japan,Ehime,2020-10-07,115,6,108,1,0,0,0.0,,,0,
27,Japan,Ehime,2020-10-17,116,6,108,2,0,0,0.0,,,0,
28,Japan,Ehime,2020-10-27,116,6,110,2,0,2,1.0,0.0,1.0,2,
29,Japan,Ehime,2020-11-06,117,6,110,1,0,0,0.0,,,0,
30,Japan,Ehime,2020-11-16,130,6,110,14,0,0,0.0,,,0,
31,Japan,Ehime,2020-11-26,283,6,129,167,0,19,0.11377245508982035,0.0,1.0,19,
32,Japan,Ehime,2020-12-04,339,6,184,204,0,55,0.2696078431372549,0.0,1.0,55,0.0
