Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
13,Japan,Nagasaki,2020-05-30,17,1,16,17,1,16,1.0,0.058823529411764705,0.9411764705882353,17,
14,Japan,Nagasaki,2020-06-09,17,1,16,0,0,0,,,,0,
15,Japan,Nagasaki,2020-06-19,17,1,16,0,0,0,,,,0,
16,Japan,Nagasaki,2020-06-29,17,1,16,0,0,0,,,,0,
17,Japan,Nagasaki,2020-07-09,19,1,16,2,0,0,0.0,,,0,
18,Japan,Nagasaki,2020-07-19,40,1,17,23,0,1,0.043478260869565216,0.0,1.0,1,
19,Japan,Nagasaki,2020-07-29,61,2,22,43,1,5,0.13953488372093023,0.16666666666666666,0.8333333333333334,6,-0.16666666666666663
20,Japan,Nagasaki,2020-08-08,159,3,32,135,1,10,0.08148148148148149,0.09090909090909091,0.9090909090909091,11,0.07575757575757569
21,Japan,Nagasaki,2020-08-18,189,3,36,154,0,4,0.025974025974025976,0.0,1.0,4,0.09090909090909094
22,Japan,Nagasaki,2020-08-28,223,3,36,184,0,0,0.0,,,0,
23,Japan,Nagasaki,2020-09-07,234,3,201,195,0,165,0.8461538461538461,0.0,1.0,165,
24,Japan,Nagasaki,2020-09-17,236,3,226,32,0,25,0.78125,0.0,1.0,25,0.0
25,Japan,Nagasaki,2020-09-27,236,3,230,7,0,4,0.5714285714285714,0.0,1.0,4,0.0
26,Japan,Nagasaki,2020-10-07,238,3,233,5,0,3,0.6,0.0,1.0,3,0.0
27,Japan,Nagasaki,2020-10-17,242,3,235,6,0,2,0.3333333333333333,0.0,1.0,2,0.0
28,Japan,Nagasaki,2020-10-27,244,3,239,6,0,4,0.6666666666666666,0.0,1.0,4,0.0
29,Japan,Nagasaki,2020-11-06,249,3,241,7,0,2,0.2857142857142857,0.0,1.0,2,0.0
30,Japan,Nagasaki,2020-11-16,251,3,242,7,0,1,0.14285714285714285,0.0,1.0,1,0.0
31,Japan,Nagasaki,2020-11-26,265,3,245,20,0,3,0.15,0.0,1.0,3,0.0
32,Japan,Nagasaki,2020-12-06,276,3,257,28,0,12,0.42857142857142855,0.0,1.0,12,0.0
33,Japan,Nagasaki,2020-12-16,345,3,272,85,0,15,0.17647058823529413,0.0,1.0,15,0.0
34,Japan,Nagasaki,2020-12-26,537,3,298,262,0,26,0.09923664122137404,0.0,1.0,26,0.0
35,Japan,Nagasaki,2021-01-05,812,5,444,511,2,146,0.2896281800391389,0.013513513513513514,0.9864864864864865,148,-0.013513513513513487
36,Japan,Nagasaki,2021-01-08,956,7,500,507,2,56,0.11439842209072978,0.034482758620689655,0.9655172413793104,58,-0.020969245107176127
