Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
30,Mexico,Unknown,2020-11-16,0,0,754200,0,0,754200,,0.0,1.0,754200,
31,Mexico,Unknown,2020-11-26,0,0,803581,-754200,0,49381,-0.06547467515247944,0.0,1.0,49381,0.0
32,Mexico,Unknown,2020-12-06,0,0,866186,-803581,0,62605,-0.07790751647935927,0.0,1.0,62605,0.0
33,Mexico,Unknown,2020-12-16,0,0,945673,-866186,0,79487,-0.09176666443465953,0.0,1.0,79487,0.0
34,Mexico,Unknown,2020-12-26,0,0,1031864,-945673,0,86191,-0.09114249851692921,0.0,1.0,86191,0.0
35,Mexico,Unknown,2021-01-05,0,0,1113137,-1031864,0,81273,-0.07876328663467279,0.0,1.0,81273,0.0
36,Mexico,Unknown,2021-01-15,0,0,1199810,-1113137,0,86673,-0.07786373105915984,0.0,1.0,86673,0.0
37,Mexico,Unknown,2021-01-25,0,0,1335876,-1199810,0,136066,-0.11340628932914378,0.0,1.0,136066,0.0
38,Mexico,Unknown,2021-02-04,0,0,1450237,-1335876,0,114361,-0.08560749650416656,0.0,1.0,114361,0.0
39,Mexico,Unknown,2021-02-10,0,0,1519572,-1450237,0,69335,-0.04780942701089546,0.0,1.0,69335,0.0
