Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
4,New Zealand,,2020-03-01,1,0,0,1,0,0,0.0,,,0,
5,New Zealand,,2020-03-11,5,0,0,5,0,0,0.0,,,0,
6,New Zealand,,2020-03-21,52,0,0,52,0,0,0.0,,,0,
7,New Zealand,,2020-03-31,647,1,74,647,1,74,0.11591962905718702,0.013333333333333334,0.9866666666666667,75,
8,New Zealand,,2020-04-10,1283,2,373,1208,1,299,0.24834437086092714,0.0033333333333333335,0.9966666666666667,300,0.010000000000000009
9,New Zealand,,2020-04-20,1440,12,974,1065,10,601,0.5737089201877934,0.016366612111292964,0.983633387888707,611,-0.013033278777959678
10,New Zealand,,2020-04-30,1479,19,1252,493,7,278,0.5780933062880325,0.02456140350877193,0.9754385964912281,285,-0.008194791397478918
11,New Zealand,,2020-05-10,1497,21,1386,226,2,134,0.6017699115044248,0.014705882352941176,0.9852941176470589,136,0.009855521155830771
12,New Zealand,,2020-05-20,1503,21,1452,96,0,66,0.6875,0.0,1.0,66,0.014705882352941124
13,New Zealand,,2020-05-30,1504,22,1481,31,1,29,0.967741935483871,0.03333333333333333,0.9666666666666667,30,-0.033333333333333326
14,New Zealand,,2020-06-09,1504,22,1482,1,0,1,1.0,0.0,1.0,1,0.033333333333333326
15,New Zealand,,2020-06-19,1509,22,1482,5,0,0,0.0,,,0,
16,New Zealand,,2020-06-29,1528,22,1484,24,0,2,0.08333333333333333,0.0,1.0,2,
17,New Zealand,,2020-07-09,1542,22,1497,36,0,13,0.3611111111111111,0.0,1.0,13,0.0
18,New Zealand,,2020-07-19,1554,22,1506,35,0,9,0.2571428571428571,0.0,1.0,9,0.0
19,New Zealand,,2020-07-29,1560,22,1514,32,0,8,0.25,0.0,1.0,8,0.0
20,New Zealand,,2020-08-08,1569,22,1524,33,0,10,0.30303030303030304,0.0,1.0,10,0.0
21,New Zealand,,2020-08-18,1649,22,1531,103,0,7,0.06796116504854369,0.0,1.0,7,0.0
22,New Zealand,,2020-08-28,1727,22,1568,174,0,37,0.21264367816091953,0.0,1.0,37,0.0
23,New Zealand,,2020-09-07,1782,24,1635,192,2,67,0.359375,0.028985507246376812,0.9710144927536232,69,-0.02898550724637683
24,New Zealand,,2020-09-17,1809,25,1714,150,1,79,0.5333333333333333,0.0125,0.9875,80,0.016485507246376874
25,New Zealand,,2020-09-27,1833,25,1753,94,0,39,0.4148936170212766,0.0,1.0,39,0.012499999999999956
26,New Zealand,,2020-10-07,1864,25,1800,86,0,47,0.5465116279069767,0.0,1.0,47,0.0
27,New Zealand,,2020-10-17,1886,25,1819,61,0,19,0.3114754098360656,0.0,1.0,19,0.0
28,New Zealand,,2020-10-27,1943,25,1852,99,0,33,0.3333333333333333,0.0,1.0,33,0.0
29,New Zealand,,2020-11-06,1976,25,1908,99,0,56,0.5656565656565656,0.0,1.0,56,0.0
30,New Zealand,,2020-11-16,2005,25,1919,72,0,11,0.1527777777777778,0.0,1.0,11,0.0
31,New Zealand,,2020-11-26,2047,25,1956,103,0,37,0.3592233009708738,0.0,1.0,37,0.0
32,New Zealand,,2020-12-06,2079,25,1998,98,0,42,0.42857142857142855,0.0,1.0,42,0.0
33,New Zealand,,2020-12-16,2100,25,2032,77,0,34,0.44155844155844154,0.0,1.0,34,0.0
34,New Zealand,,2020-12-26,2144,25,2069,87,0,37,0.42528735632183906,0.0,1.0,37,0.0
35,New Zealand,,2021-01-05,2186,25,2100,92,0,31,0.33695652173913043,0.0,1.0,31,0.0
36,New Zealand,,2021-01-15,2246,25,2145,121,0,45,0.371900826446281,0.0,1.0,45,0.0
37,New Zealand,,2021-01-25,2290,25,2200,120,0,55,0.4583333333333333,0.0,1.0,55,0.0
38,New Zealand,,2021-02-04,2315,25,2228,90,0,28,0.3111111111111111,0.0,1.0,28,0.0
39,New Zealand,,2021-02-14,2336,25,2264,83,0,36,0.43373493975903615,0.0,1.0,36,0.0
40,New Zealand,,2021-02-24,2368,26,2277,79,1,13,0.17721518987341772,0.07142857142857142,0.9285714285714286,14,-0.0714285714285714
41,New Zealand,,2021-03-06,2399,26,2301,96,0,24,0.25,0.0,1.0,24,0.0714285714285714
42,New Zealand,,2021-03-16,2434,26,2311,107,0,10,0.09345794392523364,0.0,1.0,10,0.0
43,New Zealand,,2021-03-26,2481,26,2381,144,0,70,0.4861111111111111,0.0,1.0,70,0.0
44,New Zealand,,2021-04-05,2524,26,2424,117,0,43,0.36752136752136755,0.0,1.0,43,0.0
45,New Zealand,,2021-04-15,2591,26,2464,141,0,40,0.28368794326241137,0.0,1.0,40,0.0
46,New Zealand,,2021-04-25,2601,26,2542,111,0,78,0.7027027027027027,0.0,1.0,78,0.0
47,New Zealand,,2021-05-05,2633,26,2579,65,0,37,0.5692307692307692,0.0,1.0,37,0.0
48,New Zealand,,2021-05-15,2646,26,2601,41,0,22,0.5365853658536586,0.0,1.0,22,0.0
49,New Zealand,,2021-05-22,2668,26,2615,41,0,14,0.34146341463414637,0.0,1.0,14,0.0
