Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
14,Russia,Tomsk Oblast,2020-06-09,1018,11,499,1018,11,499,0.5009823182711198,0.021568627450980392,0.9784313725490196,510,
15,Russia,Tomsk Oblast,2020-06-19,1598,14,750,1088,3,251,0.23345588235294118,0.011811023622047244,0.9881889763779528,254,0.009757603828933203
16,Russia,Tomsk Oblast,2020-06-29,2197,14,963,1433,0,213,0.14863921842288905,0.0,1.0,213,0.011811023622047223
17,Russia,Tomsk Oblast,2020-07-09,2771,21,1571,1794,7,608,0.342809364548495,0.011382113821138212,0.9886178861788618,615,-0.011382113821138184
18,Russia,Tomsk Oblast,2020-07-19,3435,26,1925,1843,5,354,0.19479110146500273,0.013927576601671309,0.9860724233983287,359,-0.0025454627805331365
19,Russia,Tomsk Oblast,2020-07-29,4040,33,2544,2089,7,619,0.2996649114408808,0.011182108626198083,0.9888178913738019,626,0.002745467975473259
20,Russia,Tomsk Oblast,2020-08-08,4576,43,3161,1999,10,617,0.3136568284142071,0.01594896331738437,0.9840510366826156,627,-0.0047668546911863174
21,Russia,Tomsk Oblast,2020-08-18,5068,54,3790,1864,11,629,0.34334763948497854,0.0171875,0.9828125,640,-0.001238536682615643
22,Russia,Tomsk Oblast,2020-08-28,5494,65,4545,1650,11,755,0.46424242424242423,0.014360313315926894,0.9856396866840731,766,0.002827186684073113
23,Russia,Tomsk Oblast,2020-09-07,6039,72,4963,1429,7,418,0.2974107767669699,0.01647058823529412,0.9835294117647059,425,-0.0021102749193672166
24,Russia,Tomsk Oblast,2020-09-17,6583,77,5339,1548,5,376,0.24612403100775193,0.013123359580052493,0.9868766404199475,381,0.0033472286552416186
25,Russia,Tomsk Oblast,2020-09-27,7249,84,6039,1833,7,700,0.38570649208947083,0.009900990099009901,0.9900990099009901,707,0.0032223694810425974
26,Russia,Tomsk Oblast,2020-10-07,8213,88,6583,2090,4,544,0.26220095693779905,0.0072992700729927005,0.9927007299270073,548,0.002601720026017218
27,Russia,Tomsk Oblast,2020-10-17,9755,101,7256,3084,13,673,0.22243839169909208,0.018950437317784258,0.9810495626822158,686,-0.011651167244791538
28,Russia,Tomsk Oblast,2020-10-27,11569,116,7830,4212,15,574,0.13983855650522317,0.025466893039049237,0.9745331069609507,589,-0.006516455721265024
29,Russia,Tomsk Oblast,2020-11-06,13536,128,8795,5590,12,965,0.17477638640429338,0.012282497441146366,0.9877175025588536,977,0.013184395597902854
30,Russia,Tomsk Oblast,2020-11-16,15634,140,10151,6711,12,1356,0.20384443451050513,0.008771929824561403,0.9912280701754386,1368,0.0035105676165849697
31,Russia,Tomsk Oblast,2020-11-26,17659,157,12431,7368,17,2280,0.3117535287730728,0.007400957771005659,0.9925990422289943,2297,0.0013709720535557413
32,Russia,Tomsk Oblast,2020-12-06,19653,178,14825,7065,21,2394,0.34182590233545646,0.008695652173913044,0.991304347826087,2415,-0.0012946944029073038
33,Russia,Tomsk Oblast,2020-12-16,21612,198,16911,6609,20,2086,0.318656377666818,0.00949667616334283,0.9905033238366572,2106,-0.0008010239894298277
34,Russia,Tomsk Oblast,2020-12-26,23490,214,19029,6381,16,2118,0.334430340072089,0.007497656982193065,0.9925023430178069,2134,0.0019990191811497526
35,Russia,Tomsk Oblast,2021-01-05,25211,222,21070,5968,8,2041,0.3433310991957105,0.003904343582235237,0.9960956564177648,2049,0.0035933133999578315
36,Russia,Tomsk Oblast,2021-01-15,26496,235,23216,5204,13,2146,0.41487317448116834,0.006021306160259379,0.9939786938397406,2159,-0.002116962578024184
37,Russia,Tomsk Oblast,2021-01-25,27632,251,24641,4181,16,1425,0.34465438890217653,0.011103400416377515,0.9888965995836225,1441,-0.005082094256118053
38,Russia,Tomsk Oblast,2021-02-04,28599,271,25839,3707,20,1198,0.32856757485837607,0.016420361247947456,0.9835796387520526,1218,-0.005316960831569961
39,Russia,Tomsk Oblast,2021-02-14,29411,290,27068,3301,19,1229,0.3780672523477734,0.015224358974358974,0.9847756410256411,1248,0.0011960022735885145
40,Russia,Tomsk Oblast,2021-02-24,30057,303,27946,2699,13,878,0.3301222675064839,0.014590347923681257,0.9854096520763187,891,0.0006340110506776186
41,Russia,Tomsk Oblast,2021-03-06,30517,326,28679,2268,23,733,0.3333333333333333,0.03042328042328042,0.9695767195767195,756,-0.01583293249959916
42,Russia,Tomsk Oblast,2021-03-16,30892,334,29522,1887,8,843,0.45098039215686275,0.009400705052878966,0.9905992949471211,851,0.02102257537040153
43,Russia,Tomsk Oblast,2021-03-17,30935,334,29606,1079,0,84,0.0778498609823911,0.0,1.0,84,0.009400705052878933
