Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
14,Russia,Vologda Oblast,2020-06-09,1137,11,567,1137,11,567,0.5083553210202286,0.01903114186851211,0.9809688581314879,578,
15,Russia,Vologda Oblast,2020-06-19,1386,16,930,808,5,363,0.45544554455445546,0.01358695652173913,0.9864130434782609,368,0.005444185346772934
16,Russia,Vologda Oblast,2020-06-29,1586,17,1154,640,1,224,0.3515625,0.0044444444444444444,0.9955555555555555,225,0.009142512077294662
17,Russia,Vologda Oblast,2020-07-09,1790,17,1427,619,0,273,0.4410339256865913,0.0,1.0,273,0.004444444444444473
18,Russia,Vologda Oblast,2020-07-19,2088,19,1621,644,2,194,0.30434782608695654,0.01020408163265306,0.9897959183673469,196,-0.010204081632653073
19,Russia,Vologda Oblast,2020-07-29,2351,24,1948,711,5,327,0.4669479606188467,0.015060240963855422,0.9849397590361446,332,-0.004856159331202314
20,Russia,Vologda Oblast,2020-08-08,2628,26,2091,656,2,143,0.22103658536585366,0.013793103448275862,0.9862068965517241,145,0.0012671375155794973
21,Russia,Vologda Oblast,2020-08-18,2952,30,2437,835,4,346,0.41916167664670656,0.011428571428571429,0.9885714285714285,350,0.002364532019704435
22,Russia,Vologda Oblast,2020-08-28,3278,34,2823,811,4,386,0.4808877928483354,0.010256410256410256,0.9897435897435898,390,0.0011721611721612346
23,Russia,Vologda Oblast,2020-09-07,3632,43,3119,775,9,296,0.3935483870967742,0.029508196721311476,0.9704918032786886,305,-0.01925178646490122
24,Russia,Vologda Oblast,2020-09-17,4037,45,3460,875,2,341,0.392,0.0058309037900874635,0.9941690962099126,343,0.023677292931224003
25,Russia,Vologda Oblast,2020-09-27,4483,46,3654,978,1,194,0.19938650306748465,0.005128205128205128,0.9948717948717949,195,0.0007026986618823283
26,Russia,Vologda Oblast,2020-10-07,5009,50,3921,1309,4,267,0.20702826585179526,0.014760147601476014,0.985239852398524,271,-0.009631942473270927
27,Russia,Vologda Oblast,2020-10-17,5726,57,4303,1755,7,382,0.22165242165242166,0.017994858611825194,0.9820051413881749,389,-0.0032347110103491117
28,Russia,Vologda Oblast,2020-10-27,6627,61,4843,2267,4,540,0.2399647110719012,0.007352941176470588,0.9926470588235294,544,0.010641917435354586
29,Russia,Vologda Oblast,2020-11-06,7663,73,5861,2759,12,1018,0.3733236679956506,0.011650485436893204,0.9883495145631068,1030,-0.004297544260422614
30,Russia,Vologda Oblast,2020-11-16,8999,74,7465,3065,1,1604,0.5236541598694943,0.0006230529595015577,0.9993769470404984,1605,0.011027432477391574
31,Russia,Vologda Oblast,2020-11-26,11037,119,9602,3498,45,2137,0.6237850200114351,0.020623281393217233,0.9793767186067828,2182,-0.020000228433715628
32,Russia,Vologda Oblast,2020-12-06,14308,226,11106,4587,107,1504,0.3512099411379987,0.06641837368094351,0.9335816263190565,1611,-0.04579509228772627
33,Russia,Vologda Oblast,2020-12-16,17990,304,13379,6658,78,2273,0.35310904175428054,0.03317737133134836,0.9668226286686517,2351,0.03324100234959515
34,Russia,Vologda Oblast,2020-12-26,21656,375,16856,7973,71,3477,0.44500188134955476,0.020011273957158963,0.979988726042841,3548,0.01316609737418939
35,Russia,Vologda Oblast,2021-01-05,25019,454,20350,7788,79,3494,0.45878274268104774,0.02211027148054856,0.9778897285194514,3573,-0.0020989975233896008
36,Russia,Vologda Oblast,2021-01-15,28067,512,23413,7263,58,3063,0.42971224012116205,0.018583787247677026,0.9814162127523229,3121,0.0035264842328714963
37,Russia,Vologda Oblast,2021-01-25,31111,583,26407,7186,71,2994,0.426523796270526,0.023164763458401304,0.9768352365415987,3065,-0.004580976210724286
38,Russia,Vologda Oblast,2021-02-04,33967,649,29129,6977,66,2722,0.3995986813816827,0.023672883787661407,0.9763271162123386,2788,-0.0005081203292600645
39,Russia,Vologda Oblast,2021-02-14,36451,708,31670,6673,59,2541,0.3896298516409411,0.022692307692307692,0.9773076923076923,2600,0.0009805760953537357
40,Russia,Vologda Oblast,2021-02-24,38583,779,34768,6205,71,3098,0.5107171635777599,0.022404544020195646,0.9775954559798044,3169,0.00028776367211202913
41,Russia,Vologda Oblast,2021-03-06,40146,825,37084,4599,46,2316,0.5135899108501848,0.01947502116850127,0.9805249788314987,2362,0.002929522851694344
42,Russia,Vologda Oblast,2021-03-16,41246,858,38429,3337,33,1345,0.4129457596643692,0.023947750362844702,0.9760522496371553,1378,-0.004472729194343383
43,Russia,Vologda Oblast,2021-03-26,42249,889,39363,2962,31,934,0.32579338284942605,0.03212435233160622,0.9678756476683937,965,-0.008176601968761577
44,Russia,Vologda Oblast,2021-04-05,43149,917,40217,2897,28,854,0.3044528822920262,0.031746031746031744,0.9682539682539683,882,0.00037832058557452086
45,Russia,Vologda Oblast,2021-04-13,43766,941,40778,2632,24,561,0.22226443768996962,0.041025641025641026,0.958974358974359,585,-0.009279609279609247
