Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
7,Samoa,,2020-03-31,0,0,0,0,0,0,,,,0,
8,Samoa,,2020-04-10,0,0,0,0,0,0,,,,0,
9,Samoa,,2020-04-20,0,0,0,0,0,0,,,,0,
10,Samoa,,2020-04-30,0,0,0,0,0,0,,,,0,
11,Samoa,,2020-05-10,0,0,0,0,0,0,,,,0,
12,Samoa,,2020-05-20,0,0,0,0,0,0,,,,0,
13,Samoa,,2020-05-30,0,0,0,0,0,0,,,,0,
14,Samoa,,2020-06-09,0,0,0,0,0,0,,,,0,
15,Samoa,,2020-06-19,0,0,0,0,0,0,,,,0,
16,Samoa,,2020-06-29,0,0,0,0,0,0,,,,0,
17,Samoa,,2020-07-09,0,0,0,0,0,0,,,,0,
18,Samoa,,2020-07-19,0,0,0,0,0,0,,,,0,
19,Samoa,,2020-07-29,0,0,0,0,0,0,,,,0,
20,Samoa,,2020-08-08,0,0,0,0,0,0,,,,0,
21,Samoa,,2020-08-18,0,0,0,0,0,0,,,,0,
22,Samoa,,2020-08-28,0,0,0,0,0,0,,,,0,
23,Samoa,,2020-09-07,0,0,0,0,0,0,,,,0,
24,Samoa,,2020-09-17,0,0,0,0,0,0,,,,0,
25,Samoa,,2020-09-27,0,0,0,0,0,0,,,,0,
26,Samoa,,2020-10-07,0,0,0,0,0,0,,,,0,
27,Samoa,,2020-10-17,0,0,0,0,0,0,,,,0,
28,Samoa,,2020-10-27,0,0,0,0,0,0,,,,0,
29,Samoa,,2020-11-06,0,0,0,0,0,0,,,,0,
30,Samoa,,2020-11-16,0,0,0,0,0,0,,,,0,
31,Samoa,,2020-11-26,1,0,0,1,0,0,0.0,,,0,
32,Samoa,,2020-12-06,2,0,0,2,0,0,0.0,,,0,
33,Samoa,,2020-12-16,2,0,2,2,0,2,1.0,0.0,1.0,2,
34,Samoa,,2020-12-26,2,0,2,0,0,0,,,,0,
35,Samoa,,2021-01-01,2,0,2,0,0,0,,,,0,
