Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
14,Sweden,Blekinge,2020-06-09,307,7,0,307,7,0,0.02280130293159609,1.0,0.0,7,
15,Sweden,Blekinge,2020-06-19,402,9,0,395,2,0,0.005063291139240506,1.0,0.0,2,0.0
16,Sweden,Blekinge,2020-06-29,444,12,0,435,3,0,0.006896551724137931,1.0,0.0,3,0.0
17,Sweden,Blekinge,2020-07-09,468,14,0,456,2,0,0.0043859649122807015,1.0,0.0,2,0.0
18,Sweden,Blekinge,2020-07-19,478,14,0,464,0,0,0.0,,,0,
19,Sweden,Blekinge,2020-07-29,487,14,0,473,0,0,0.0,,,0,
20,Sweden,Blekinge,2020-08-08,514,15,0,500,1,0,0.002,1.0,0.0,1,
21,Sweden,Blekinge,2020-08-18,575,15,0,560,0,0,0.0,,,0,
22,Sweden,Blekinge,2020-08-28,600,16,0,585,1,0,0.0017094017094017094,1.0,0.0,1,
23,Sweden,Blekinge,2020-09-07,612,17,0,596,1,0,0.0016778523489932886,1.0,0.0,1,0.0
24,Sweden,Blekinge,2020-09-17,621,17,0,604,0,0,0.0,,,0,
25,Sweden,Blekinge,2020-09-27,678,17,0,661,0,0,0.0,,,0,
26,Sweden,Blekinge,2020-10-07,795,17,0,778,0,0,0.0,,,0,
27,Sweden,Blekinge,2020-10-17,858,18,0,841,1,0,0.0011890606420927466,1.0,0.0,1,
28,Sweden,Blekinge,2020-10-27,945,18,0,927,0,0,0.0,,,0,
29,Sweden,Blekinge,2020-11-06,1154,19,0,1136,1,0,0.0008802816901408451,1.0,0.0,1,
30,Sweden,Blekinge,2020-11-16,1345,19,0,1326,0,0,0.0,,,0,
31,Sweden,Blekinge,2020-11-26,1840,23,0,1821,4,0,0.002196595277320154,1.0,0.0,4,
32,Sweden,Blekinge,2020-12-06,2329,23,0,2306,0,0,0.0,,,0,
33,Sweden,Blekinge,2020-12-16,3261,32,0,3238,9,0,0.002779493514515133,1.0,0.0,9,
34,Sweden,Blekinge,2020-12-26,3929,33,0,3897,1,0,0.00025660764690787786,1.0,0.0,1,0.0
35,Sweden,Blekinge,2021-01-05,5338,50,0,5305,17,0,0.0032045240339302543,1.0,0.0,17,0.0
36,Sweden,Blekinge,2021-01-15,6577,66,0,6527,16,0,0.0024513559062356366,1.0,0.0,16,0.0
37,Sweden,Blekinge,2021-01-25,7014,81,0,6948,15,0,0.002158894645941278,1.0,0.0,15,0.0
38,Sweden,Blekinge,2021-02-04,7446,106,0,7365,25,0,0.0033944331296673455,1.0,0.0,25,0.0
39,Sweden,Blekinge,2021-02-14,7646,112,0,7540,6,0,0.0007957559681697613,1.0,0.0,6,0.0
40,Sweden,Blekinge,2021-02-24,7903,114,0,7791,2,0,0.0002567064561673726,1.0,0.0,2,0.0
41,Sweden,Blekinge,2021-03-06,8094,116,0,7980,2,0,0.0002506265664160401,1.0,0.0,2,0.0
42,Sweden,Blekinge,2021-03-16,8335,117,0,8219,1,0,0.00012166930283489475,1.0,0.0,1,0.0
43,Sweden,Blekinge,2021-03-26,8744,120,0,8627,3,0,0.0003477454503303582,1.0,0.0,3,0.0
44,Sweden,Blekinge,2021-04-05,9026,120,0,8906,0,0,0.0,,,0,
45,Sweden,Blekinge,2021-04-15,9988,122,0,9868,2,0,0.00020267531414673692,1.0,0.0,2,
46,Sweden,Blekinge,2021-04-25,10724,125,0,10602,3,0,0.0002829654782116582,1.0,0.0,3,0.0
47,Sweden,Blekinge,2021-05-05,11650,128,0,11525,3,0,0.0002603036876355748,1.0,0.0,3,0.0
48,Sweden,Blekinge,2021-05-15,12168,128,0,12040,0,0,0.0,,,0,
49,Sweden,Blekinge,2021-05-25,12449,128,0,12321,0,0,0.0,,,0,
50,Sweden,Blekinge,2021-06-04,12635,128,0,12507,0,0,0.0,,,0,
51,Sweden,Blekinge,2021-06-14,12723,129,0,12595,1,0,7.939658594680428e-05,1.0,0.0,1,
52,Sweden,Blekinge,2021-06-21,12749,129,0,12620,0,0,0.0,,,0,
