Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
14,Sweden,Sormland,2020-06-09,1673,230,0,1673,230,0,0.13747758517632994,1.0,0.0,230,
15,Sweden,Sormland,2020-06-19,1815,236,0,1585,6,0,0.0037854889589905363,1.0,0.0,6,0.0
16,Sweden,Sormland,2020-06-29,2074,242,0,1838,6,0,0.003264417845484222,1.0,0.0,6,0.0
17,Sweden,Sormland,2020-07-09,2282,246,0,2040,4,0,0.00196078431372549,1.0,0.0,4,0.0
18,Sweden,Sormland,2020-07-19,2341,248,0,2095,2,0,0.0009546539379474941,1.0,0.0,2,0.0
19,Sweden,Sormland,2020-07-29,2389,253,0,2141,5,0,0.002335357309668379,1.0,0.0,5,0.0
20,Sweden,Sormland,2020-08-08,2399,253,0,2146,0,0,0.0,,,0,
21,Sweden,Sormland,2020-08-18,2423,253,0,2170,0,0,0.0,,,0,
22,Sweden,Sormland,2020-08-28,2422,253,0,2169,0,0,0.0,,,0,
23,Sweden,Sormland,2020-09-07,2431,253,0,2178,0,0,0.0,,,0,
24,Sweden,Sormland,2020-09-17,2454,254,0,2201,1,0,0.00045433893684688776,1.0,0.0,1,
25,Sweden,Sormland,2020-09-27,2501,254,0,2247,0,0,0.0,,,0,
26,Sweden,Sormland,2020-10-07,2558,254,0,2304,0,0,0.0,,,0,
27,Sweden,Sormland,2020-10-17,2664,255,0,2410,1,0,0.0004149377593360996,1.0,0.0,1,
28,Sweden,Sormland,2020-10-27,2867,256,0,2612,1,0,0.00038284839203675346,1.0,0.0,1,0.0
29,Sweden,Sormland,2020-11-06,3587,257,0,3331,1,0,0.0003002101471029721,1.0,0.0,1,0.0
30,Sweden,Sormland,2020-11-16,4282,259,0,4025,2,0,0.0004968944099378882,1.0,0.0,2,0.0
31,Sweden,Sormland,2020-11-26,5691,270,0,5432,11,0,0.002025036818851252,1.0,0.0,11,0.0
32,Sweden,Sormland,2020-12-06,6347,281,0,6077,11,0,0.0018101036695738028,1.0,0.0,11,0.0
33,Sweden,Sormland,2020-12-16,7449,292,0,7168,11,0,0.0015345982142857143,1.0,0.0,11,0.0
34,Sweden,Sormland,2020-12-26,8227,304,0,7935,12,0,0.0015122873345935729,1.0,0.0,12,0.0
35,Sweden,Sormland,2021-01-04,9036,308,0,8732,4,0,0.0004580852038479157,1.0,0.0,4,0.0
