Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
1,US,,2020-01-31,6,0,0,6,0,0,0.0,,,0,
2,US,,2020-02-10,12,0,3,12,0,3,0.25,0.0,1.0,3,
3,US,,2020-02-20,15,0,3,12,0,0,0.0,,,0,
4,US,,2020-03-01,76,1,7,73,1,4,0.0684931506849315,0.2,0.8,5,
5,US,,2020-03-11,1281,36,8,1273,35,1,0.028279654359780047,0.9722222222222222,0.027777777777777776,36,-0.7722222222222223
6,US,,2020-03-21,25514,307,171,25470,271,163,0.017039654495484884,0.6244239631336406,0.37557603686635943,434,0.34779825908858164
7,US,,2020-03-31,188417,3895,7024,187939,3588,6853,0.055555259951367196,0.3436452447083613,0.6563547552916388,10441,0.28077871842527935
8,US,,2020-04-10,496964,18862,28790,486045,14967,21766,0.07557530681315516,0.40745378814689787,0.5925462118531021,36733,-0.0638085434385367
9,US,,2020-04-20,784829,42447,72329,737177,23585,43539,0.09105547243063741,0.3513646385793457,0.6486353614206544,67124,0.05608914956755229
9,US,,2020-04-20,0,0,72329,-114776,-42447,0,0.3698247020282986,1.0,-0.0,-42447,-0.6486353614206544
10,US,,2020-04-30,1070402,62981,153947,998073,62981,81618,0.1448781802533482,0.43555626249144186,0.5644437375085581,144599,0.5644437375085581
11,US,,2020-05-10,1330610,79494,216169,1113682,16513,62222,0.07069791915465995,0.20972883723883914,0.7902711627611608,78735,0.2258274252526027
12,US,,2020-05-20,1553351,93292,294312,1257688,13798,78143,0.07310318616381806,0.1500745043016717,0.8499254956983283,91941,0.05965433293716749
13,US,,2020-05-30,1772230,103321,416461,1384626,10029,122149,0.09546115702001841,0.07587495649805565,0.9241250435019444,132178,0.07419954780361604
14,US,,2020-06-09,1982343,111212,524860,1462561,7891,108399,0.07951121354938358,0.06785622151517758,0.9321437784848224,116290,0.008018734982878084
15,US,,2020-06-19,2228174,118181,606715,1592102,6969,81855,0.0557903953389921,0.07845852472304783,0.9215414752769522,88824,-0.010602303207870256
