Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
9,US,California,2020-04-20,33946,1225,,33946,1225,,,,,,
10,US,California,2020-04-30,50712,2031,0,,806,,,,,,
11,US,California,2020-05-10,68231,2716,,66200,685,,,,,,
12,US,California,2020-05-20,86818,3497,,,781,,,,,,
13,US,California,2020-05-30,110937,4144,,,647,,,,,,
14,US,California,2020-06-09,138148,4745,,,601,,,,,,
15,US,California,2020-06-19,174428,5426,,,681,,,,,,
16,US,California,2020-06-29,231578,5983,,,557,,,,,,
17,US,California,2020-07-09,310753,6859,,,876,,,,,,
18,US,California,2020-07-19,394389,7715,,,856,,,,,,
19,US,California,2020-07-29,491537,8908,,,1193,,,,,,
20,US,California,2020-08-08,560936,10307,,,1399,,,,,,
21,US,California,2020-08-18,641991,11504,,,1197,,,,,,
22,US,California,2020-08-28,699805,12805,,,1301,,,,,,
23,US,California,2020-09-07,742903,13758,,,953,,,,,,
24,US,California,2020-09-17,777473,14804,,,1046,,,,,,
25,US,California,2020-09-27,812602,15606,,,802,,,,,,
26,US,California,2020-10-07,845116,16338,,,732,,,,,,
27,US,California,2020-10-17,877372,16956,,,618,,,,,,
28,US,California,2020-10-27,918795,17460,,,504,,,,,,
29,US,California,2020-11-06,969497,17938,,,478,,,,,,
30,US,California,2020-11-16,1050688,18306,,,368,,,,,,
31,US,California,2020-11-26,1181614,19026,,,720,,,,,,
32,US,California,2020-12-06,1383556,19939,,,913,,,,,,
33,US,California,2020-12-16,1738097,21889,,,1950,,,,,,
34,US,California,2020-12-26,2144654,24225,,,2336,,,,,,
35,US,California,2021-01-05,2529480,27519,,,3294,,,,,,
36,US,California,2021-01-15,2948054,33002,,,5483,,,,,,
37,US,California,2021-01-25,3213222,37543,,,4541,,,,,,
38,US,California,2021-02-04,3382932,43120,,,5577,,,,,,
39,US,California,2021-02-09,3439978,44909,,,1789,,,,,,
