Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
9,US,Kansas,2020-04-20,2048,102,,2048,102,,,,,,
10,US,Kansas,2020-04-30,4413,134,272,,32,,,,,,
11,US,Kansas,2020-05-10,6951,174,371,6545,40,99,0.021237585943468296,0.28776978417266186,0.7122302158273381,139,
12,US,Kansas,2020-05-20,8507,202,473,7962,28,102,0.016327555890479777,0.2153846153846154,0.7846153846153846,130,0.07238516878804646
13,US,Kansas,2020-05-30,9690,215,547,9015,13,74,0.009650582362728786,0.14942528735632185,0.8505747126436781,87,0.06595932802829352
14,US,Kansas,2020-06-09,10609,237,625,9847,22,78,0.010155377272265665,0.22,0.78,100,-0.0705747126436781
15,US,Kansas,2020-06-19,12021,254,715,11159,17,90,0.009588672820145173,0.1588785046728972,0.8411214953271028,107,0.06112149532710276
16,US,Kansas,2020-06-29,14209,273,794,13240,19,79,0.007401812688821752,0.19387755102040816,0.8061224489795918,98,-0.03499904634751094
17,US,Kansas,2020-07-09,17785,293,879,16718,20,85,0.006280655580811102,0.19047619047619047,0.8095238095238095,105,0.003401360544217691
18,US,Kansas,2020-07-19,21996,309,983,20824,16,104,0.005762581636573185,0.13333333333333333,0.8666666666666667,120,0.05714285714285716
19,US,Kansas,2020-07-29,26588,349,1149,25296,40,166,0.008143580012650222,0.1941747572815534,0.8058252427184466,206,-0.06084142394822012
20,US,Kansas,2020-08-08,30445,380,1293,28947,31,144,0.006045531488582582,0.17714285714285713,0.8228571428571428,175,0.017031900138696265
21,US,Kansas,2020-08-18,34859,411,1409,33186,31,116,0.0044295787380220575,0.2108843537414966,0.7891156462585034,147,-0.03374149659863945
22,US,Kansas,2020-08-28,41027,445,1658,39207,34,249,0.007218098808886168,0.12014134275618374,0.8798586572438163,283,0.0907430109853129
23,US,Kansas,2020-09-07,46313,485,1796,44210,40,138,0.0040262384076000905,0.2247191011235955,0.7752808988764045,178,-0.10457775836741179
24,US,Kansas,2020-09-17,51106,586,1920,48825,101,124,0.004608294930875576,0.4488888888888889,0.5511111111111111,225,-0.2241697877652934
25,US,Kansas,2020-09-27,59528,635,2039,57022,49,119,0.0029462312791554137,0.2916666666666667,0.7083333333333334,168,0.15722222222222226
26,US,Kansas,2020-10-07,65274,723,2231,62600,88,192,0.0044728434504792336,0.3142857142857143,0.6857142857142857,280,-0.02261904761904765
27,US,Kansas,2020-10-17,72512,859,2379,69558,136,148,0.0040829236033238445,0.4788732394366197,0.5211267605633803,284,-0.16458752515090547
28,US,Kansas,2020-10-27,83159,983,2549,79921,124,170,0.0036786326497416197,0.4217687074829932,0.5782312925170068,294,0.057104531953626525
29,US,Kansas,2020-11-06,99407,1166,2808,95875,183,259,0.0046101694915254236,0.41402714932126694,0.5859728506787331,442,0.007741558161726281
30,US,Kansas,2020-11-16,124585,1266,3006,120611,100,198,0.0024707530822230144,0.33557046979865773,0.6644295302013423,298,0.07845667952260926
31,US,Kansas,2020-11-26,150493,1503,3299,146221,237,293,0.00362465035801971,0.44716981132075473,0.5528301886792453,530,-0.11159934152209705
32,US,Kansas,2020-12-06,171114,1786,3615,166312,283,316,0.003601664341719178,0.4724540901502504,0.5275459098497496,599,-0.025284278829495688
33,US,Kansas,2020-12-16,197429,2247,4051,192028,461,436,0.004671193784239799,0.5139353400222966,0.48606465997770343,897,-0.041481249872046155
34,US,Kansas,2020-12-26,212749,2503,4286,206451,256,235,0.002378288310543422,0.5213849287169042,0.4786150712830957,491,-0.007449588694607712
35,US,Kansas,2021-01-05,233901,2985,4643,227112,482,357,0.0036942125471133187,0.5744934445768772,0.42550655542312277,839,-0.05310851585997295
36,US,Kansas,2021-01-15,258354,3489,5138,250726,504,495,0.003984429217552228,0.5045045045045045,0.4954954954954955,999,0.06998894007237272
37,US,Kansas,2021-01-25,271503,3613,5432,262876,124,294,0.0015901033186749647,0.2966507177033493,0.7033492822966507,418,0.20785378680115524
38,US,Kansas,2021-02-04,281363,3872,5810,272318,259,378,0.0023391769916054025,0.4065934065934066,0.5934065934065934,637,-0.10994268889005732
39,US,Kansas,2021-02-12,288475,4329,6057,278793,457,247,0.0025251710050108863,0.6491477272727273,0.3508522727272727,704,-0.2425543206793207
