Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
9,US,Michigan,2020-04-20,32000,2468,3237,32000,2468,3237,0.17828125,0.43260297984224366,0.5673970201577564,5705,
10,US,Michigan,2020-04-30,41379,3789,8342,35674,1321,5105,0.1801311879800415,0.20557111733582323,0.7944288826641768,6426,0.22703186250642038
11,US,Michigan,2020-05-10,47182,4555,22686,35051,766,14344,0.43108613163675785,0.05069490403706155,0.9493050959629384,15110,0.15487621329876167
12,US,Michigan,2020-05-20,53009,5060,28234,25768,505,5548,0.23490375659733,0.08342970427886998,0.91657029572113,6053,-0.032734800241808415
13,US,Michigan,2020-05-30,56969,5464,38099,23675,404,9865,0.43374868004223865,0.039341708053364496,0.9606582919466355,10269,0.04408799622550552
14,US,Michigan,2020-06-09,64998,5948,42041,21435,484,3942,0.20648472125029158,0.10935381834613647,0.8906461816538636,4426,-0.07001211029277199
15,US,Michigan,2020-06-19,67097,6067,44964,19108,119,2923,0.15920033493824576,0.0391190006574622,0.9608809993425378,3042,0.07023481768867423
16,US,Michigan,2020-06-29,70223,6161,51099,19192,94,6135,0.32456231763234683,0.01509070476802055,0.9849092952319795,6229,0.024028295889441664
17,US,Michigan,2020-07-09,75063,6271,52841,17803,110,1742,0.104027411110487,0.05939524838012959,0.9406047516198704,1852,-0.044304543612109004
18,US,Michigan,2020-07-19,81868,6366,55162,22756,95,2321,0.10616980137106698,0.03932119205298013,0.9606788079470199,2416,0.020074056327149425
19,US,Michigan,2020-07-29,88974,6422,57502,27446,56,2340,0.08729869562049114,0.02337228714524207,0.9766277128547579,2396,0.015948904907738037
20,US,Michigan,2020-08-08,96191,6520,63636,32267,98,6134,0.193138500635324,0.015725288831835688,0.9842747111681643,6232,0.007646998313406428
21,US,Michigan,2020-08-18,103402,6608,67778,33246,88,4142,0.12723335138061723,0.020803782505910164,0.9791962174940898,4230,-0.005078493674074536
22,US,Michigan,2020-08-28,111136,6712,72580,36750,104,4802,0.1334965986394558,0.02119853240929474,0.9788014675907053,4906,-0.0003947499033845059
23,US,Michigan,2020-09-07,118403,6810,80678,39111,98,8098,0.2095574135153793,0.011957052220595413,0.9880429477794046,8196,0.009241480188699303
24,US,Michigan,2020-09-17,126722,6955,85513,39234,145,4835,0.12693072335219452,0.029116465863453816,0.9708835341365462,4980,-0.017159413642858445
25,US,Michigan,2020-09-27,134373,7044,95051,41905,89,9538,0.22973392196635245,0.009244832242650878,0.9907551677573492,9627,0.01987163362080302
26,US,Michigan,2020-10-07,145092,7169,99521,42997,125,4470,0.10686792101774542,0.02720348204570185,0.9727965179542981,4595,-0.017958649803051063
27,US,Michigan,2020-10-17,161105,7340,109539,54415,171,10018,0.18724616374161537,0.016782804985768965,0.983217195014231,10189,0.010420677059932881
