Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
9,US,South Carolina,2020-04-20,4446,123,2063,4446,123,2063,0.4916779127305443,0.05626715462031107,0.9437328453796889,2186,
10,US,South Carolina,2020-04-30,6095,244,3252,3909,121,1189,0.3351240726528524,0.09236641221374046,0.9076335877862596,1310,-0.03609925759342936
11,US,South Carolina,2020-05-10,7653,331,4120,4157,87,868,0.22973298051479432,0.09109947643979058,0.9089005235602095,955,0.0012669357739498732
12,US,South Carolina,2020-05-20,9175,407,5451,4724,76,1331,0.2978408128704488,0.05401563610518834,0.9459843638948117,1407,0.037083840334602214
13,US,South Carolina,2020-05-30,11394,487,6459,5536,80,1008,0.19653179190751446,0.07352941176470588,0.9264705882352942,1088,-0.019513775659517507
14,US,South Carolina,2020-06-09,15228,568,7928,8282,81,1469,0.18715286162762618,0.052258064516129035,0.947741935483871,1550,0.021271347248576822
15,US,South Carolina,2020-06-19,22608,639,10790,14112,71,2862,0.2078373015873016,0.0242072962836686,0.9757927037163314,2933,0.028050768232460443
16,US,South Carolina,2020-06-29,34644,720,13456,23215,81,2666,0.11832866681025199,0.029486712777575537,0.9705132872224245,2747,-0.005279416493906952
17,US,South Carolina,2020-07-09,50691,905,19181,36515,185,5725,0.16185129398877174,0.031302876480541454,0.9686971235194586,5910,-0.0018161637029658895
18,US,South Carolina,2020-07-19,69986,1155,22553,49900,250,3372,0.07258517034068136,0.06902263942573164,0.9309773605742684,3622,-0.037719762945190194
19,US,South Carolina,2020-07-29,85846,1615,32859,62138,460,10306,0.17325951913482893,0.042727103845439346,0.9572728961545607,10766,0.026295535580292295
20,US,South Carolina,2020-08-08,99460,2007,37798,64986,392,4939,0.08203305327301265,0.07353217032451698,0.926467829675483,5331,-0.03080506647907766
21,US,South Carolina,2020-08-18,107672,2343,54194,67867,336,16396,0.24654102877687242,0.02008128137700215,0.9799187186229978,16732,0.05345088894751482
22,US,South Carolina,2020-08-28,115951,2655,51431,59414,312,-2763,-0.041252903356111356,-0.12729498164014688,1.127294981640147,-2451,0.14737626301714912
23,US,South Carolina,2020-09-07,125607,2907,51431,71521,252,0,0.003523440667775898,1.0,0.0,252,-1.127294981640147
24,US,South Carolina,2020-09-17,135446,3158,51431,81108,251,0,0.00309463924643685,1.0,0.0,251,0.0
25,US,South Carolina,2020-09-27,145887,3326,70028,91298,168,18597,0.20553571819755087,0.008952837729816147,0.9910471622701839,18765,0.9910471622701839
26,US,South Carolina,2020-10-07,153705,3502,75768,80351,176,5740,0.07362696170551704,0.029749830966869506,0.9702501690331304,5916,-0.02079699323705342
27,US,South Carolina,2020-10-17,163214,3637,81703,83944,135,5935,0.0723101115029067,0.022240527182866558,0.9777594728171335,6070,0.007509303784003052
28,US,South Carolina,2020-10-27,172579,3842,87892,87239,205,6189,0.07329290798839969,0.03206130747575853,0.9679386925242415,6394,-0.009820780292892017
29,US,South Carolina,2020-11-06,182872,4005,95045,91138,163,7153,0.08027387039434704,0.022279934390377256,0.9777200656096228,7316,0.009781373085381295
30,US,South Carolina,2020-11-16,196617,4143,102038,97567,138,6993,0.07308823680137752,0.019352124526714348,0.9806478754732857,7131,0.0029278098636629224
31,US,South Carolina,2020-11-26,210905,4317,111013,104724,174,8975,0.08736297314846644,0.01901847196414909,0.9809815280358509,9149,0.00033365256256523423
32,US,South Carolina,2020-12-06,232099,4566,119844,116769,249,8831,0.07776036448029872,0.027422907488986785,0.9725770925110132,9080,-0.008404435524837717
33,US,South Carolina,2020-12-16,260119,4800,130905,135709,234,11061,0.08322955736170777,0.020717131474103586,0.9792828685258964,11295,0.006705776014883202
34,US,South Carolina,2020-12-26,288892,5124,143320,153187,324,12415,0.08315979815519593,0.025433707512363606,0.9745662924876364,12739,-0.004716576038260034
35,US,South Carolina,2021-01-05,328073,5498,157106,179629,374,13786,0.07882914228771523,0.026412429378531072,0.973587570621469,14160,-0.0009787218661674313
36,US,South Carolina,2021-01-15,375967,6037,171539,213363,539,14433,0.07017149177692478,0.03600053433075073,0.9639994656692492,14972,-0.009588104952219734
37,US,South Carolina,2021-01-25,421417,6552,187423,243841,515,15884,0.06725284099064555,0.03140435392401976,0.9685956460759803,16399,0.004596180406731043
38,US,South Carolina,2021-02-04,453878,7487,202372,259903,935,14949,0.061115108328876545,0.05886426592797784,0.9411357340720221,15884,-0.027459912003958142
39,US,South Carolina,2021-02-14,487293,7998,218717,277434,511,16345,0.060756792606529844,0.0303156146179402,0.9696843853820598,16856,0.028548651310037698
40,US,South Carolina,2021-02-24,509044,8398,230793,282329,400,12076,0.04418958024149131,0.032061558191728116,0.9679384418082719,12476,-0.0017459435737878781
41,US,South Carolina,2021-03-06,524457,8719,230793,285266,321,0,0.001125265541634825,1.0,0.0,321,-0.9679384418082719
42,US,South Carolina,2021-03-16,534869,8881,,295357,162,,,,,,
43,US,South Carolina,2021-03-26,546670,9092,,,211,,,,,,
44,US,South Carolina,2021-04-05,556469,9203,,,111,,,,,,
45,US,South Carolina,2021-04-15,566018,9307,,,104,,,,,,
46,US,South Carolina,2021-04-25,574985,9430,,,123,,,,,,
47,US,South Carolina,2021-05-05,581835,9536,,,106,,,,,,
48,US,South Carolina,2021-05-15,588110,9638,,,102,,,,,,
49,US,South Carolina,2021-05-25,591525,9705,,,67,,,,,,
50,US,South Carolina,2021-06-04,593727,9744,,,39,,,,,,
51,US,South Carolina,2021-06-13,594877,9780,,,36,,,,,,
