Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
15,United Kingdom,Scotland,2020-06-19,15742,2464,0,15742,2464,0,0.1565239486723415,1.0,0.0,2464,
16,United Kingdom,Scotland,2020-06-29,15818,2482,0,13354,18,0,0.001347910738355549,1.0,0.0,18,0.0
17,United Kingdom,Scotland,2020-07-09,15851,2490,0,13369,8,0,0.0005983992819208617,1.0,0.0,8,0.0
18,United Kingdom,Scotland,2020-07-19,18445,2491,0,15955,1,0,6.267627702914446e-05,1.0,0.0,1,0.0
19,United Kingdom,Scotland,2020-07-29,18580,2491,0,16089,0,0,0.0,,,0,
20,United Kingdom,Scotland,2020-08-08,18950,2491,0,16459,0,0,0.0,,,0,
21,United Kingdom,Scotland,2020-08-18,19407,2491,0,16916,0,0,0.0,,,0,
22,United Kingdom,Scotland,2020-08-28,20107,2494,0,17616,3,0,0.00017029972752043596,1.0,0.0,3,
23,United Kingdom,Scotland,2020-09-07,21543,2496,0,19049,2,0,0.00010499238805186623,1.0,0.0,2,0.0
24,United Kingdom,Scotland,2020-09-17,23573,2501,0,21077,5,0,0.0002372254115860891,1.0,0.0,5,0.0
25,United Kingdom,Scotland,2020-09-27,27576,2512,0,25075,11,0,0.0004386839481555334,1.0,0.0,11,0.0
26,United Kingdom,Scotland,2020-10-07,34760,2533,0,32248,21,0,0.000651203175390722,1.0,0.0,21,0.0
27,United Kingdom,Scotland,2020-10-17,46399,2609,0,43866,76,0,0.0017325491268864268,1.0,0.0,76,0.0
28,United Kingdom,Scotland,2020-10-27,59201,2726,0,56592,117,0,0.0020674300254452924,1.0,0.0,117,0.0
29,United Kingdom,Scotland,2020-11-06,70732,2997,0,68006,271,0,0.0039849425050730814,1.0,0.0,271,0.0
30,United Kingdom,Scotland,2020-11-16,82011,3286,0,79014,289,0,0.0036575796694256714,1.0,0.0,289,0.0
31,United Kingdom,Scotland,2020-11-26,92186,3639,0,88900,353,0,0.003970753655793026,1.0,0.0,353,0.0
32,United Kingdom,Scotland,2020-12-06,100106,3916,0,96467,277,0,0.0028714482672831123,1.0,0.0,277,0.0
33,United Kingdom,Scotland,2020-12-16,108438,4173,0,104522,257,0,0.0024588124988040795,1.0,0.0,257,0.0
34,United Kingdom,Scotland,2020-12-21,113050,4283,0,108877,110,0,0.0010103143914692726,1.0,0.0,110,0.0
